MP_ID,MP_Name,State,Constituency,Total_Projects,Unique_Vendors,Total_Project_Funds,Top_Vendor_ID,Top_Vendor_Name,Top_Vendor_Project_Count,Top_Vendor_Funds,Top_Vendor_Project_Share,Top_Vendor_Fund_Share,Vendor_HHI_Raw,Vendor_HHI_Normalized,Vendor_CR1,Vendor_CR3,Top_Syndicate_ID,Top_Syndicate_Vendor_Count,Top_Syndicate_Funds,Top_Syndicate_Share,Syndicate_HHI_Raw,Syndicate_CR1,Syndicate_CR3,Vendor_HHI_Raw_Percentile,Vendor_CR1_Percentile,Vendor_CR3_Percentile,Syndicate_HHI_Raw_Percentile,Syndicate_CR1_Percentile,Syndicate_CR3_Percentile,High_Vendor_HHI_Flag,High_Vendor_CR1_Flag,High_Vendor_CR3_Flag,High_Syndicate_HHI_Flag,High_Syndicate_CR1_Flag,High_Syndicate_CR3_Flag,Allocation_Risk_Score,Evidence_Reasons
MP0076,MP Representative 0076,Karnataka,KALABURAGI-2,964,953,5003980000,V036559,Contractor Company 036559,2,16450000,0.0021,0.0033,0.001365,0.000316,0.0033,0.0093,SYNDICATE_051,1,8720000,0.0017,0.001365,0.0033,0.0093,96.0,63.0,77.0,96.0,57.0,70.5,True,False,False,True,False,False,74.55,"['Vendor-level allocation HHI (0.001365) is elevated above 90th percentile baseline.', 'Shell syndicate SYNDICATE_051 received INR 8,720,000 (0.17%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0071,MP Representative 0071,Tamil Nadu,SALEM-2,1003,992,5280970000,V029782,Contractor Company 029782,3,18350000,0.003,0.0035,0.001292,0.000284,0.0035,0.01,SYNDICATE_059,2,15280000,0.0029,0.001299,0.0035,0.01,49.0,82.5,94.0,50.5,79.5,90.0,False,False,True,False,False,True,74.47,"['Shell syndicate SYNDICATE_059 received INR 15,280,000 (0.29%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0049,MP Representative 0049,Rajasthan,AJMER-5,966,956,5133980000,V049961,Contractor Company 049961,2,17460000,0.0021,0.0034,0.001334,0.000288,0.0034,0.009,SYNDICATE_043,2,10950000,0.0021,0.001338,0.0034,0.009,82.0,74.0,68.0,83.0,70.0,59.5,False,False,False,False,False,False,73.35,"['Shell syndicate SYNDICATE_043 received INR 10,950,000 (0.21%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0051,MP Representative 0051,Rajasthan,JAIPUR-5,989,974,5229550000,V048322,Contractor Company 048322,2,17720000,0.002,0.0034,0.001314,0.000287,0.0034,0.0095,SYNDICATE_068,1,9180000,0.0018,0.001314,0.0034,0.0095,67.0,74.0,85.5,65.0,70.0,79.5,False,False,False,False,False,False,73.18,"['Shell syndicate SYNDICATE_068 received INR 9,180,000 (0.18%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0040,MP Representative 0040,Rajasthan,JODHPUR-5,967,958,5060270000,V033674,Contractor Company 033674,2,16870000,0.0021,0.0033,0.001341,0.000298,0.0033,0.0094,SYNDICATE_048,1,9760000,0.0019,0.001344,0.0033,0.0094,87.0,63.0,80.5,88.5,57.0,74.5,False,False,False,False,False,False,72.93,"['Shell syndicate SYNDICATE_048 received INR 9,760,000 (0.19%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0059,MP Representative 0059,Uttar Pradesh,AGRA-4,1024,1012,5529450000,V043406,Contractor Company 043406,2,19810000,0.002,0.0036,0.001268,0.00028,0.0036,0.0103,SYNDICATE_054,1,9720000,0.0018,0.001268,0.0036,0.0103,32.0,90.0,97.5,25.0,86.5,94.5,False,True,True,False,False,True,72.78,"['Top vendor V043406 captured 0.36% of funds (Percentile: 90.0%).', 'Shell syndicate SYNDICATE_054 received INR 9,720,000 (0.18%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0005,MP Representative 0005,Bihar,MUZAFFARPUR-5,1024,1013,5405010000,V002350,Contractor Company 002350,2,19300000,0.002,0.0036,0.001261,0.000274,0.0036,0.0104,SYNDICATE_082,2,13810000,0.0026,0.001266,0.0036,0.0104,23.0,90.0,99.0,24.0,86.5,96.0,False,True,True,False,False,True,71.25,"['Top vendor V002350 captured 0.36% of funds (Percentile: 90.0%).', 'Shell syndicate SYNDICATE_082 received INR 13,810,000 (0.26%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0088,MP Representative 0088,Madhya Pradesh,INDORE-4,1006,993,5245640000,V031349,Contractor Company 031349,2,17870000,0.002,0.0034,0.001296,0.000289,0.0034,0.0097,SYNDICATE_076,1,17690000,0.0034,0.001301,0.0034,0.0097,53.0,74.0,90.0,52.5,70.0,87.5,False,False,True,False,False,False,70.6,"['Shell syndicate SYNDICATE_076 received INR 17,690,000 (0.34%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0001,MP Representative 0001,Karnataka,BELAGAVI-3,965,959,5053190000,V029104,Contractor Company 029104,2,16790000,0.0021,0.0033,0.001335,0.000292,0.0033,0.0092,SYNDICATE_020,2,13890000,0.0027,0.001341,0.0033,0.0092,84.5,63.0,75.0,84.5,57.0,68.0,False,False,False,False,False,False,70.55,"['Shell syndicate SYNDICATE_020 received INR 13,890,000 (0.27%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0091,MP Representative 0091,Madhya Pradesh,BHOPAL-1,967,956,5115410000,V025552,Contractor Company 025552,2,16430000,0.0021,0.0032,0.001348,0.000302,0.0032,0.0096,SYNDICATE_029,2,15490000,0.003,0.001352,0.0032,0.0096,90.0,49.5,88.5,91.0,42.0,84.0,True,False,False,True,False,False,69.55,"['Vendor-level allocation HHI (0.001348) is elevated above 90th percentile baseline.', 'Shell syndicate SYNDICATE_029 received INR 15,490,000 (0.30%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0003,MP Representative 0003,Tamil Nadu,CHENNAI-5,1024,1010,5468670000,V022568,Contractor Company 022568,3,21850000,0.0029,0.004,0.001266,0.000276,0.004,0.009,SYNDICATE_046,2,14330000,0.0026,0.001273,0.004,0.0091,28.5,99.0,68.0,29.5,96.0,64.5,False,True,False,False,True,False,69.25,"['Top vendor V022568 captured 0.40% of funds (Percentile: 99.0%).', 'Shell syndicate SYNDICATE_046 received INR 14,330,000 (0.26%) across 2 member contractors.', 'Syndicate-adjusted CR1 (0.40%) indicates heightened network concentration.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0050,MP Representative 0050,Karnataka,HUBBALLI-2,957,951,5032810000,V042514,Contractor Company 042514,2,17720000,0.0021,0.0035,0.001341,0.000289,0.0035,0.008,SYNDICATE_100,1,9810000,0.0019,0.001341,0.0035,0.008,87.0,82.5,27.5,84.5,79.5,19.0,False,False,False,False,False,False,68.4,"['Shell syndicate SYNDICATE_100 received INR 9,810,000 (0.19%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0097,MP Representative 0097,Madhya Pradesh,INDORE-4,996,986,5317020000,V049785,Contractor Company 049785,2,17920000,0.002,0.0034,0.001294,0.00028,0.0034,0.0095,SYNDICATE_056,1,9040000,0.0017,0.001294,0.0034,0.0095,51.0,74.0,85.5,47.0,70.0,79.5,False,False,False,False,False,False,68.18,"['Shell syndicate SYNDICATE_056 received INR 9,040,000 (0.17%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0032,MP Representative 0032,Karnataka,MYSURU-4,1027,1015,5203350000,V016890,Contractor Company 016890,2,17720000,0.0019,0.0034,0.001267,0.000283,0.0034,0.0094,SYNDICATE_053,3,19390000,0.0037,0.001283,0.0037,0.0102,30.5,74.0,80.5,38.0,92.5,92.0,False,False,False,False,True,True,68.18,"['Shell syndicate SYNDICATE_053 received INR 19,390,000 (0.37%) across 3 member contractors.', 'Syndicate-adjusted CR1 (0.37%) indicates heightened network concentration.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0093,MP Representative 0093,West Bengal,HOWRAH-3,1039,1026,5341760000,V025798,Contractor Company 025798,2,19240000,0.0019,0.0036,0.001256,0.000281,0.0036,0.0098,SYNDICATE_041,1,9600000,0.0018,0.001256,0.0036,0.0098,19.0,90.0,92.0,17.5,86.5,89.0,False,True,True,False,False,False,68.05,"['Top vendor V025798 captured 0.36% of funds (Percentile: 90.0%).', 'Shell syndicate SYNDICATE_041 received INR 9,600,000 (0.18%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0079,MP Representative 0079,West Bengal,KOLKATA-5,993,988,5378200000,V017172,Contractor Company 017172,2,19010000,0.002,0.0035,0.00129,0.000278,0.0035,0.0091,SYNDICATE_097,1,9920000,0.0018,0.00129,0.0035,0.0091,46.0,82.5,72.0,43.5,79.5,64.5,False,False,False,False,False,False,67.32,"['Shell syndicate SYNDICATE_097 received INR 9,920,000 (0.18%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0098,MP Representative 0098,Uttar Pradesh,PRAYAGRAJ-1,1005,996,5267480000,V001279,Contractor Company 001279,2,18030000,0.002,0.0034,0.001297,0.000293,0.0034,0.0088,SYNDICATE_053,2,16590000,0.0031,0.001302,0.0034,0.0097,54.0,74.0,61.0,54.0,70.0,87.5,False,False,False,False,False,False,66.6,"['Shell syndicate SYNDICATE_053 received INR 16,590,000 (0.31%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0095,MP Representative 0095,Maharashtra,SOLAPUR-4,994,986,5140320000,V046080,Contractor Company 046080,2,18020000,0.002,0.0035,0.00131,0.000296,0.0035,0.0084,SYNDICATE_072,2,12350000,0.0024,0.001315,0.0035,0.0084,61.5,82.5,44.0,67.0,79.5,34.0,False,False,False,False,False,False,65.53,"['Shell syndicate SYNDICATE_072 received INR 12,350,000 (0.24%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0022,MP Representative 0022,Tamil Nadu,MADURAI-3,999,985,5194660000,V026980,Contractor Company 026980,2,18760000,0.002,0.0036,0.001288,0.000274,0.0036,0.0086,SYNDICATE_029,2,11380000,0.0022,0.00129,0.0036,0.0086,43.0,90.0,51.5,43.5,86.5,41.5,False,True,False,False,False,False,64.62,"['Top vendor V026980 captured 0.36% of funds (Percentile: 90.0%).', 'Shell syndicate SYNDICATE_029 received INR 11,380,000 (0.22%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0027,MP Representative 0027,Bihar,MUZAFFARPUR-5,991,976,5201840000,V039533,Contractor Company 039533,2,17420000,0.002,0.0033,0.001319,0.000294,0.0033,0.009,SYNDICATE_070,1,12420000,0.0024,0.00132,0.0033,0.009,71.0,63.0,68.0,70.0,57.0,59.5,False,False,False,False,False,False,64.5,"['Shell syndicate SYNDICATE_070 received INR 12,420,000 (0.24%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0075,MP Representative 0075,Tamil Nadu,MADURAI-1,974,964,5238250000,V036193,Contractor Company 036193,2,17460000,0.0021,0.0033,0.001314,0.000277,0.0033,0.009,SYNDICATE_093,1,9380000,0.0018,0.001314,0.0033,0.009,67.0,63.0,68.0,65.0,57.0,59.5,False,False,False,False,False,False,63.2,"['Shell syndicate SYNDICATE_093 received INR 9,380,000 (0.18%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0077,MP Representative 0077,West Bengal,KOLKATA-2,982,972,5168100000,V005386,Contractor Company 005386,2,16510000,0.002,0.0032,0.001334,0.000306,0.0032,0.009,SYNDICATE_019,1,9750000,0.0019,0.001334,0.0032,0.009,82.0,49.5,68.0,79.5,42.0,59.5,False,False,False,False,False,False,61.28,"['Shell syndicate SYNDICATE_019 received INR 9,750,000 (0.19%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0090,MP Representative 0090,Tamil Nadu,COIMBATORE-1,1010,1005,5310960000,V009609,Contractor Company 009609,2,19270000,0.002,0.0036,0.001263,0.000268,0.0036,0.0087,SYNDICATE_037,2,10870000,0.002,0.001265,0.0036,0.0087,25.5,90.0,56.0,22.5,86.5,47.0,False,True,False,False,False,False,60.25,"['Top vendor V009609 captured 0.36% of funds (Percentile: 90.0%).', 'Shell syndicate SYNDICATE_037 received INR 10,870,000 (0.20%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0081,MP Representative 0081,Rajasthan,KOTA-2,1030,1021,5258660000,V015973,Contractor Company 015973,2,17470000,0.0019,0.0033,0.001286,0.000307,0.0033,0.0094,SYNDICATE_069,1,9440000,0.0018,0.001286,0.0033,0.0094,42.0,63.0,80.5,39.5,57.0,74.5,False,False,False,False,False,False,59.02,"['Shell syndicate SYNDICATE_069 received INR 9,440,000 (0.18%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0017,MP Representative 0017,Uttar Pradesh,AGRA-4,1031,1014,5364540000,V033277,Contractor Company 033277,2,17510000,0.0019,0.0033,0.001271,0.000285,0.0033,0.0096,SYNDICATE_011,2,11230000,0.0021,0.001273,0.0033,0.0096,34.0,63.0,88.5,29.5,57.0,84.0,False,False,False,False,False,False,58.58,"['Shell syndicate SYNDICATE_011 received INR 11,230,000 (0.21%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0061,MP Representative 0061,Uttar Pradesh,AGRA-1,997,986,5175040000,V036155,Contractor Company 036155,2,16870000,0.002,0.0033,0.00131,0.000296,0.0033,0.0087,SYNDICATE_068,1,9510000,0.0018,0.00131,0.0033,0.0087,61.5,63.0,56.0,59.0,57.0,47.0,False,False,False,False,False,False,58.45,"['Shell syndicate SYNDICATE_068 received INR 9,510,000 (0.18%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0007,MP Representative 0007,Bihar,BHAGALPUR-5,962,952,5335210000,V037043,Contractor Company 037043,2,18240000,0.0021,0.0034,0.001314,0.000264,0.0034,0.008,SYNDICATE_059,1,9070000,0.0017,0.001314,0.0034,0.008,67.0,74.0,27.5,65.0,70.0,19.0,False,False,False,False,False,False,58.42,"['Shell syndicate SYNDICATE_059 received INR 9,070,000 (0.17%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0067,MP Representative 0067,Gujarat,RAJKOT-4,977,968,5322290000,V011381,Contractor Company 011381,2,17920000,0.002,0.0034,0.001304,0.000271,0.0034,0.0083,SYNDICATE_100,2,11120000,0.0021,0.001306,0.0034,0.0083,56.0,74.0,38.5,56.0,70.0,30.0,False,False,False,False,False,False,58.08,"['Shell syndicate SYNDICATE_100 received INR 11,120,000 (0.21%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0060,MP Representative 0060,Telangana,HYDERABAD-1,995,984,5260440000,V009824,Contractor Company 009824,2,17970000,0.002,0.0034,0.001293,0.000278,0.0034,0.0081,SYNDICATE_063,2,14240000,0.0027,0.001297,0.0034,0.0085,50.0,74.0,31.5,48.0,70.0,37.5,False,False,False,False,False,False,55.78,"['Shell syndicate SYNDICATE_063 received INR 14,240,000 (0.27%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0025,MP Representative 0025,Rajasthan,JODHPUR-4,999,993,5408990000,V043714,Contractor Company 043714,2,18340000,0.002,0.0034,0.001273,0.000267,0.0034,0.0086,SYNDICATE_067,1,13450000,0.0025,0.001275,0.0034,0.0086,35.5,74.0,51.5,33.0,70.0,41.5,False,False,False,False,False,False,54.78,"['Shell syndicate SYNDICATE_067 received INR 13,450,000 (0.25%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0043,MP Representative 0043,Bihar,PATNA-2,967,956,5173040000,V030910,Contractor Company 030910,2,16160000,0.0021,0.0031,0.001341,0.000295,0.0031,0.0087,SYNDICATE_046,2,12440000,0.0024,0.001343,0.0031,0.0087,87.0,37.5,56.0,87.0,30.0,47.0,False,False,False,False,False,False,54.58,"['Shell syndicate SYNDICATE_046 received INR 12,440,000 (0.24%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0096,MP Representative 0096,Maharashtra,PUNE-3,1004,991,5286700000,V014278,Contractor Company 014278,2,16710000,0.002,0.0032,0.001291,0.000282,0.0032,0.0092,SYNDICATE_060,2,16660000,0.0032,0.001299,0.0032,0.0094,48.0,49.5,75.0,50.5,42.0,74.5,False,False,False,False,False,False,54.12,"['Shell syndicate SYNDICATE_060 received INR 16,660,000 (0.32%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0023,MP Representative 0023,Bihar,PATNA-3,999,986,5244820000,V037593,Contractor Company 037593,2,16850000,0.002,0.0032,0.001289,0.000275,0.0032,0.0094,SYNDICATE_088,2,14560000,0.0028,0.001293,0.0032,0.0094,44.0,49.5,80.5,46.0,42.0,74.5,False,False,False,False,False,False,53.7,"['Shell syndicate SYNDICATE_088 received INR 14,560,000 (0.28%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0042,MP Representative 0042,Maharashtra,SOLAPUR-3,979,970,5331460000,V007255,Contractor Company 007255,2,16930000,0.002,0.0032,0.001295,0.000264,0.0032,0.0091,SYNDICATE_089,3,12910000,0.0024,0.001298,0.0032,0.0091,52.0,49.5,72.0,49.0,42.0,64.5,False,False,False,False,False,False,53.32,"['Shell syndicate SYNDICATE_089 received INR 12,910,000 (0.24%) across 3 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0008,MP Representative 0008,Maharashtra,NANDED-4,995,982,5194340000,V006386,Contractor Company 006386,3,16890000,0.003,0.0033,0.001305,0.000286,0.0033,0.0083,SYNDICATE_053,2,12840000,0.0025,0.001308,0.0033,0.0083,57.0,63.0,38.5,57.0,57.0,30.0,False,False,False,False,False,False,53.02,"['Shell syndicate SYNDICATE_053 received INR 12,840,000 (0.25%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0074,MP Representative 0074,Maharashtra,LATUR-4,1001,993,5516220000,V018440,Contractor Company 018440,2,18090000,0.002,0.0033,0.00127,0.000264,0.0033,0.0089,SYNDICATE_054,2,15650000,0.0028,0.001277,0.0033,0.009,33.0,63.0,64.0,36.0,57.0,59.5,False,False,False,False,False,False,52.9,"['Shell syndicate SYNDICATE_054 received INR 15,650,000 (0.28%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0034,MP Representative 0034,Karnataka,BALLARI-5,943,935,4906790000,V042480,Contractor Company 042480,2,13610000,0.0021,0.0028,0.001351,0.000282,0.0028,0.008,SYNDICATE_074,2,15980000,0.0033,0.001357,0.0033,0.0088,92.0,18.0,27.5,92.5,57.0,52.0,True,False,False,True,False,False,52.88,"['Vendor-level allocation HHI (0.001351) is elevated above 90th percentile baseline.', 'Shell syndicate SYNDICATE_074 received INR 15,980,000 (0.33%) across 2 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0084,MP Representative 0084,Karnataka,BELAGAVI-4,1023,1009,5377150000,V022148,Contractor Company 022148,2,17130000,0.002,0.0032,0.001282,0.000291,0.0032,0.0094,SYNDICATE_044,1,9240000,0.0017,0.001282,0.0032,0.0094,40.5,49.5,80.5,37.0,42.0,74.5,False,False,False,False,False,False,52.1,"['Shell syndicate SYNDICATE_044 received INR 9,240,000 (0.17%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
MP0041,MP Representative 0041,Maharashtra,LATUR-3,982,971,5121720000,V014168,Contractor Company 014168,2,16350000,0.002,0.0032,0.001331,0.000301,0.0032,0.0081,SYNDICATE_082,1,9410000,0.0018,0.001331,0.0032,0.0081,80.0,49.5,31.5,78.0,42.0,23.0,False,False,False,False,False,False,51.6,"['Shell syndicate SYNDICATE_082 received INR 9,410,000 (0.18%) across 1 member contractors.', 'Allocation concentration anomaly detected; potential contractor favoritism requiring auditor review.']"
