Syndicate_ID,Bank_Account_ID,Syndicate_Size,Active_Vendor_Count,Total_Projects,Total_Syndicate_Funds_INR,State_Count,District_Count,MP_Count,Constituency_Count,Syndicate_Collusion_Risk,Evidence_Reasons
SYNDICATE_037,BANK000037,12,11,27,144200000,7,12,21,21,85.1,"['Shares bank account BANK000037 with 11 other registered contractors.', 'Belongs to a 12-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 144,200,000 in sanctioned project value across 27 projects.', '11 of 12 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 12 districts across 7 states involving 21 MPs.']"
SYNDICATE_035,BANK000035,13,11,27,142230000,8,13,25,23,85.01,"['Shares bank account BANK000035 with 12 other registered contractors.', 'Belongs to a 13-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 142,230,000 in sanctioned project value across 27 projects.', '11 of 13 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 13 districts across 8 states involving 25 MPs.']"
SYNDICATE_040,BANK000040,11,10,24,153720000,6,8,20,20,84.58,"['Shares bank account BANK000040 with 10 other registered contractors.', 'Belongs to a 11-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 153,720,000 in sanctioned project value across 24 projects.', '10 of 11 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 8 districts across 6 states involving 20 MPs.']"
SYNDICATE_050,BANK000050,15,12,21,121090000,7,14,17,17,84.58,"['Shares bank account BANK000050 with 14 other registered contractors.', 'Belongs to a 15-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 121,090,000 in sanctioned project value across 21 projects.', '12 of 15 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 14 districts across 7 states involving 17 MPs.']"
SYNDICATE_081,BANK000081,10,10,30,149180000,6,9,26,25,84.27,"['Shares bank account BANK000081 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 149,180,000 in sanctioned project value across 30 projects.', '10 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 9 districts across 6 states involving 26 MPs.']"
SYNDICATE_061,BANK000061,10,10,25,142950000,5,9,22,22,83.49,"['Shares bank account BANK000061 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 142,950,000 in sanctioned project value across 25 projects.', '10 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 9 districts across 5 states involving 22 MPs.']"
SYNDICATE_032,BANK000032,14,12,20,112550000,7,13,19,19,83.09,"['Shares bank account BANK000032 with 13 other registered contractors.', 'Belongs to a 14-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 112,550,000 in sanctioned project value across 20 projects.', '12 of 14 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 13 districts across 7 states involving 19 MPs.']"
SYNDICATE_100,BANK000100,11,11,26,125360000,8,11,22,22,82.86,"['Shares bank account BANK000100 with 10 other registered contractors.', 'Belongs to a 11-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 125,360,000 in sanctioned project value across 26 projects.', '11 of 11 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 11 districts across 8 states involving 22 MPs.']"
SYNDICATE_077,BANK000077,14,10,22,131900000,8,13,19,18,82.66,"['Shares bank account BANK000077 with 13 other registered contractors.', 'Belongs to a 14-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 131,900,000 in sanctioned project value across 22 projects.', '10 of 14 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 13 districts across 8 states involving 19 MPs.']"
SYNDICATE_083,BANK000083,12,11,25,122170000,7,12,23,21,82.35,"['Shares bank account BANK000083 with 11 other registered contractors.', 'Belongs to a 12-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 122,170,000 in sanctioned project value across 25 projects.', '11 of 12 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 12 districts across 7 states involving 23 MPs.']"
SYNDICATE_010,BANK000010,11,10,25,133480000,7,11,21,21,82.05,"['Shares bank account BANK000010 with 10 other registered contractors.', 'Belongs to a 11-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 133,480,000 in sanctioned project value across 25 projects.', '10 of 11 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 11 districts across 7 states involving 21 MPs.']"
SYNDICATE_076,BANK000076,11,10,27,133000000,8,11,25,24,81.99,"['Shares bank account BANK000076 with 10 other registered contractors.', 'Belongs to a 11-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 133,000,000 in sanctioned project value across 27 projects.', '10 of 11 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 11 districts across 8 states involving 25 MPs.']"
SYNDICATE_031,BANK000031,11,10,23,132310000,7,11,20,19,81.91,"['Shares bank account BANK000031 with 10 other registered contractors.', 'Belongs to a 11-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 132,310,000 in sanctioned project value across 23 projects.', '10 of 11 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 11 districts across 7 states involving 20 MPs.']"
SYNDICATE_095,BANK000095,11,9,23,137970000,6,11,21,20,80.8,"['Shares bank account BANK000095 with 10 other registered contractors.', 'Belongs to a 11-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 137,970,000 in sanctioned project value across 23 projects.', '9 of 11 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 11 districts across 6 states involving 21 MPs.']"
SYNDICATE_027,BANK000027,11,10,23,117280000,6,10,20,18,80.03,"['Shares bank account BANK000027 with 10 other registered contractors.', 'Belongs to a 11-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 117,280,000 in sanctioned project value across 23 projects.', '10 of 11 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 6 states involving 20 MPs.']"
SYNDICATE_020,BANK000020,10,10,23,109740000,8,10,19,18,79.34,"['Shares bank account BANK000020 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 109,740,000 in sanctioned project value across 23 projects.', '10 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 8 states involving 19 MPs.']"
SYNDICATE_079,BANK000079,11,10,24,111660000,8,11,21,21,79.33,"['Shares bank account BANK000079 with 10 other registered contractors.', 'Belongs to a 11-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 111,660,000 in sanctioned project value across 24 projects.', '10 of 11 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 11 districts across 8 states involving 21 MPs.']"
SYNDICATE_048,BANK000048,9,9,22,121720000,5,6,19,18,79.27,"['Shares bank account BANK000048 with 8 other registered contractors.', 'Belongs to a 9-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 121,720,000 in sanctioned project value across 22 projects.', '9 of 9 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 6 districts across 5 states involving 19 MPs.']"
SYNDICATE_045,BANK000045,10,10,23,107750000,5,9,22,20,79.09,"['Shares bank account BANK000045 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 107,750,000 in sanctioned project value across 23 projects.', '10 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 9 districts across 5 states involving 22 MPs.']"
SYNDICATE_021,BANK000021,10,9,21,120740000,7,10,19,19,78.71,"['Shares bank account BANK000021 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 120,740,000 in sanctioned project value across 21 projects.', '9 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 7 states involving 19 MPs.']"
SYNDICATE_036,BANK000036,10,9,20,119370000,6,10,18,18,78.54,"['Shares bank account BANK000036 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 119,370,000 in sanctioned project value across 20 projects.', '9 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 6 states involving 18 MPs.']"
SYNDICATE_022,BANK000022,11,10,22,104170000,7,9,20,18,78.39,"['Shares bank account BANK000022 with 10 other registered contractors.', 'Belongs to a 11-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 104,170,000 in sanctioned project value across 22 projects.', '10 of 11 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 9 districts across 7 states involving 20 MPs.']"
SYNDICATE_042,BANK000042,10,10,20,97660000,4,6,19,19,77.83,"['Shares bank account BANK000042 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 97,660,000 in sanctioned project value across 20 projects.', '10 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 6 districts across 4 states involving 19 MPs.']"
SYNDICATE_038,BANK000038,10,9,22,111670000,6,10,21,21,77.58,"['Shares bank account BANK000038 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 111,670,000 in sanctioned project value across 22 projects.', '9 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 6 states involving 21 MPs.']"
SYNDICATE_073,BANK000073,10,9,21,109760000,6,10,19,19,77.34,"['Shares bank account BANK000073 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 109,760,000 in sanctioned project value across 21 projects.', '9 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 6 states involving 19 MPs.']"
SYNDICATE_074,BANK000074,12,9,18,108620000,7,11,16,16,77.33,"['Shares bank account BANK000074 with 11 other registered contractors.', 'Belongs to a 12-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 108,620,000 in sanctioned project value across 18 projects.', '9 of 12 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 11 districts across 7 states involving 16 MPs.']"
SYNDICATE_097,BANK000097,10,9,17,107860000,7,9,17,17,77.1,"['Shares bank account BANK000097 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 107,860,000 in sanctioned project value across 17 projects.', '9 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 9 districts across 7 states involving 17 MPs.']"
SYNDICATE_068,BANK000068,10,9,17,107760000,7,9,15,15,77.09,"['Shares bank account BANK000068 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 107,760,000 in sanctioned project value across 17 projects.', '9 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 9 districts across 7 states involving 15 MPs.']"
SYNDICATE_088,BANK000088,12,8,25,110760000,7,11,21,20,75.92,"['Shares bank account BANK000088 with 11 other registered contractors.', 'Belongs to a 12-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 110,760,000 in sanctioned project value across 25 projects.', '8 of 12 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 11 districts across 7 states involving 21 MPs.']"
SYNDICATE_039,BANK000039,10,8,20,112010000,7,10,18,18,75.62,"['Shares bank account BANK000039 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 112,010,000 in sanctioned project value across 20 projects.', '8 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 7 states involving 18 MPs.']"
SYNDICATE_069,BANK000069,12,8,18,107470000,7,11,17,17,75.51,"['Shares bank account BANK000069 with 11 other registered contractors.', 'Belongs to a 12-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 107,470,000 in sanctioned project value across 18 projects.', '8 of 12 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 11 districts across 7 states involving 17 MPs.']"
SYNDICATE_071,BANK000071,9,9,16,90430000,7,9,16,16,75.36,"['Shares bank account BANK000071 with 8 other registered contractors.', 'Belongs to a 9-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 90,430,000 in sanctioned project value across 16 projects.', '9 of 9 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 9 districts across 7 states involving 16 MPs.']"
SYNDICATE_029,BANK000029,10,9,16,91430000,7,10,14,14,75.05,"['Shares bank account BANK000029 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 91,430,000 in sanctioned project value across 16 projects.', '9 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 7 states involving 14 MPs.']"
SYNDICATE_007,BANK000007,8,8,22,99360000,5,7,21,21,74.92,"['Shares bank account BANK000007 with 7 other registered contractors.', 'Belongs to a 8-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 99,360,000 in sanctioned project value across 22 projects.', '8 of 8 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 7 districts across 5 states involving 21 MPs.']"
SYNDICATE_008,BANK000008,8,8,22,97830000,6,8,17,17,74.73,"['Shares bank account BANK000008 with 7 other registered contractors.', 'Belongs to a 8-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 97,830,000 in sanctioned project value across 22 projects.', '8 of 8 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 8 districts across 6 states involving 17 MPs.']"
SYNDICATE_084,BANK000084,11,10,16,74390000,6,9,16,16,74.67,"['Shares bank account BANK000084 with 10 other registered contractors.', 'Belongs to a 11-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 74,390,000 in sanctioned project value across 16 projects.', '10 of 11 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 9 districts across 6 states involving 16 MPs.']"
SYNDICATE_014,BANK000014,9,8,19,98930000,7,9,18,17,74.21,"['Shares bank account BANK000014 with 8 other registered contractors.', 'Belongs to a 9-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 98,930,000 in sanctioned project value across 19 projects.', '8 of 9 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 9 districts across 7 states involving 18 MPs.']"
SYNDICATE_015,BANK000015,8,8,18,91360000,6,8,18,17,73.92,"['Shares bank account BANK000015 with 7 other registered contractors.', 'Belongs to a 8-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 91,360,000 in sanctioned project value across 18 projects.', '8 of 8 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 8 districts across 6 states involving 18 MPs.']"
SYNDICATE_017,BANK000017,10,10,16,64420000,7,10,16,16,73.67,"['Shares bank account BANK000017 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 64,420,000 in sanctioned project value across 16 projects.', '10 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 7 states involving 16 MPs.']"
SYNDICATE_094,BANK000094,10,8,17,94760000,6,9,16,16,73.47,"['Shares bank account BANK000094 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 94,760,000 in sanctioned project value across 17 projects.', '8 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 9 districts across 6 states involving 16 MPs.']"
SYNDICATE_033,BANK000033,10,9,18,76430000,6,8,15,15,73.17,"['Shares bank account BANK000033 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 76,430,000 in sanctioned project value across 18 projects.', '9 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 8 districts across 6 states involving 15 MPs.']"
SYNDICATE_051,BANK000051,10,8,15,87510000,5,7,12,11,72.56,"['Shares bank account BANK000051 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 87,510,000 in sanctioned project value across 15 projects.', '8 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 7 districts across 5 states involving 12 MPs.']"
SYNDICATE_089,BANK000089,10,8,16,86740000,6,9,14,14,72.46,"['Shares bank account BANK000089 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 86,740,000 in sanctioned project value across 16 projects.', '8 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 9 districts across 6 states involving 14 MPs.']"
SYNDICATE_024,BANK000024,9,8,18,84450000,6,7,18,18,72.4,"['Shares bank account BANK000024 with 8 other registered contractors.', 'Belongs to a 9-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 84,450,000 in sanctioned project value across 18 projects.', '8 of 9 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 7 districts across 6 states involving 18 MPs.']"
SYNDICATE_062,BANK000062,9,9,15,58960000,5,9,14,14,71.43,"['Shares bank account BANK000062 with 8 other registered contractors.', 'Belongs to a 9-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 58,960,000 in sanctioned project value across 15 projects.', '9 of 9 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 9 districts across 5 states involving 14 MPs.']"
SYNDICATE_090,BANK000090,12,8,12,73640000,9,12,10,10,71.29,"['Shares bank account BANK000090 with 11 other registered contractors.', 'Belongs to a 12-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 73,640,000 in sanctioned project value across 12 projects.', '8 of 12 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 12 districts across 9 states involving 10 MPs.']"
SYNDICATE_067,BANK000067,8,7,17,89460000,5,7,13,13,71.18,"['Shares bank account BANK000067 with 7 other registered contractors.', 'Belongs to a 8-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 89,460,000 in sanctioned project value across 17 projects.', '7 of 8 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 7 districts across 5 states involving 13 MPs.']"
SYNDICATE_080,BANK000080,8,6,17,101510000,5,7,17,16,70.19,"['Shares bank account BANK000080 with 7 other registered contractors.', 'Belongs to a 8-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 101,510,000 in sanctioned project value across 17 projects.', '6 of 8 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 7 districts across 5 states involving 17 MPs.']"
SYNDICATE_099,BANK000099,9,7,16,82300000,5,8,16,16,69.91,"['Shares bank account BANK000099 with 8 other registered contractors.', 'Belongs to a 9-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 82,300,000 in sanctioned project value across 16 projects.', '7 of 9 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 8 districts across 5 states involving 16 MPs.']"
SYNDICATE_093,BANK000093,6,6,16,83030000,4,5,15,14,69.76,"['Shares bank account BANK000093 with 5 other registered contractors.', 'Belongs to a 6-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 83,030,000 in sanctioned project value across 16 projects.', '6 of 6 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 5 districts across 4 states involving 15 MPs.']"
SYNDICATE_066,BANK000066,10,7,15,79170000,7,10,13,12,69.52,"['Shares bank account BANK000066 with 9 other registered contractors.', 'Belongs to a 10-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 79,170,000 in sanctioned project value across 15 projects.', '7 of 10 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 10 districts across 7 states involving 13 MPs.']"
SYNDICATE_001,BANK000001,7,7,17,68100000,5,7,16,15,69.45,"['Shares bank account BANK000001 with 6 other registered contractors.', 'Belongs to a 7-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 68,100,000 in sanctioned project value across 17 projects.', '7 of 7 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 7 districts across 5 states involving 16 MPs.']"
SYNDICATE_098,BANK000098,7,6,16,87920000,5,6,14,14,69.07,"['Shares bank account BANK000098 with 6 other registered contractors.', 'Belongs to a 7-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 87,920,000 in sanctioned project value across 16 projects.', '6 of 7 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 6 districts across 5 states involving 14 MPs.']"
SYNDICATE_087,BANK000087,7,7,13,62920000,6,7,12,12,68.81,"['Shares bank account BANK000087 with 6 other registered contractors.', 'Belongs to a 7-member contractor network receiving government project awards.', 'The connected contractor group has collectively received INR 62,920,000 in sanctioned project value across 13 projects.', '7 of 7 network members are actively receiving MPLADS projects.', 'The shared-account vendor structure spans 7 districts across 6 states involving 12 MPs.']"
