Project_ID,MP_ID,Contractor_ID,Sanctioned_Amount,Project_Category,Constituency,State,Syndicate_ID,Syndicate_Role,Is_Syndicate_Ringleader,Is_Split_Work,Score_ML_Anomaly,Score_Syndicate_Collusion,Score_MP_Concentration,Score_Work_Splitting,Score_Network_Centrality,Vigilance_Priority_Index,Priority_Tier,Forensic_Explanation
P00095480,MP0081,V032906,3720000.0,Public Infrastructure,KOTA-2,Rajasthan,NONE,INDEPENDENT,False,False,30.7,0.0,59.02,0.0,15.84,20.44,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00094581,MP0094,V018173,660000.0,Sanitation,UJJAIN-4,Madhya Pradesh,NONE,INDEPENDENT,False,False,32.11,0.0,25.52,0.0,28.48,17.73,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00058240,MP0028,V003211,5740000.0,Electricity,SILIGURI-5,West Bengal,NONE,INDEPENDENT,False,False,43.77,0.0,45.08,0.0,37.37,25.5,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00013838,MP0056,V029887,3700000.0,Healthcare,WARANGAL-5,Telangana,NONE,INDEPENDENT,False,False,31.43,0.0,41.58,0.0,22.45,19.03,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00030848,MP0070,V009106,7870000.0,Community Development,NIZAMABAD-4,Telangana,NONE,INDEPENDENT,False,False,45.43,0.0,98.35,0.0,18.17,31.11,MEDIUM,[MP_FAVORITISM] Awarded by high-concentration MP MP0070 (Allocation Risk: 98.3)
P00052495,MP0099,V038516,4170000.0,Agriculture,BALLARI-2,Karnataka,NONE,INDEPENDENT,False,False,58.98,0.0,33.62,0.0,29.76,27.2,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 59.0/100
P00077485,MP0047,V000458,1960000.0,Agriculture,SILIGURI-2,West Bengal,SYNDICATE_061,PRIMARY_RINGLEADER,True,False,22.03,83.49,85.32,0.0,77.13,51.85,HIGH,[SYNDICATE] Contractor in SYNDICATE_061 (Shared Bank Collusion Risk: 83.5); [RINGLEADER] Contractor is primary orchestrator of shell syndicate; [MP_FAVORITISM] Awarded by high-concentration MP MP0047 (Allocation Risk: 85.3)
P00062284,MP0026,V036071,5760000.0,Sports,WARANGAL-3,Telangana,NONE,INDEPENDENT,False,False,47.19,0.0,7.5,0.0,23.98,18.88,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00026605,MP0070,V026951,4700000.0,Electricity,NIZAMABAD-4,Telangana,NONE,INDEPENDENT,False,False,39.26,0.0,98.35,0.0,16.74,29.04,MEDIUM,[MP_FAVORITISM] Awarded by high-concentration MP MP0070 (Allocation Risk: 98.3)
P00062560,MP0009,V020042,2160000.0,Water Supply,INDORE-2,Madhya Pradesh,NONE,INDEPENDENT,False,False,22.5,0.0,49.6,0.0,53.4,22.2,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00002602,MP0055,V024145,5330000.0,Water Supply,MADURAI-3,Tamil Nadu,NONE,INDEPENDENT,False,False,43.58,0.0,40.4,0.0,48.0,26.33,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00093090,MP0006,V014339,8840000.0,Education,MADURAI-5,Tamil Nadu,NONE,INDEPENDENT,False,False,53.68,0.0,39.78,0.0,29.41,26.48,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 53.7/100
P00087904,MP0093,V021819,8960000.0,Community Development,HOWRAH-3,West Bengal,NONE,INDEPENDENT,False,False,76.17,0.0,68.05,0.0,49.31,40.45,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 76.2/100
P00073503,MP0058,V008906,5870000.0,Healthcare,KANPUR-1,Uttar Pradesh,NONE,INDEPENDENT,False,False,47.32,0.0,27.65,0.0,37.88,24.03,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00028213,MP0099,V009922,7880000.0,Agriculture,BALLARI-2,Karnataka,NONE,INDEPENDENT,False,False,49.83,0.0,33.62,0.0,49.54,27.42,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00052449,MP0074,V035269,4460000.0,Public Infrastructure,LATUR-4,Maharashtra,NONE,INDEPENDENT,False,False,43.91,0.0,52.9,0.0,29.09,25.47,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00023672,MP0046,V033264,650000.0,Sanitation,WARANGAL-3,Telangana,NONE,INDEPENDENT,False,False,66.44,0.0,93.72,0.0,32.65,38.89,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 66.4/100; [MP_FAVORITISM] Awarded by high-concentration MP MP0046 (Allocation Risk: 93.7)
P00003437,MP0035,V015444,780000.0,Electricity,JAIPUR-3,Rajasthan,NONE,INDEPENDENT,False,False,30.47,0.0,46.62,0.0,1.96,16.43,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00033771,MP0063,V007695,8180000.0,Electricity,RAJKOT-2,Gujarat,NONE,INDEPENDENT,False,False,55.15,0.0,16.62,0.0,54.43,27.2,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 55.1/100
P00071870,MP0066,V038144,4160000.0,Electricity,CHENNAI-1,Tamil Nadu,NONE,INDEPENDENT,False,False,41.93,0.0,35.1,0.0,32.41,22.71,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00092448,MP0014,V035893,9760000.0,Public Infrastructure,DURGAPUR-5,West Bengal,NONE,INDEPENDENT,False,False,53.91,0.0,38.1,0.0,40.48,27.96,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 53.9/100
P00083830,MP0083,V008250,3750000.0,Community Development,VADODARA-4,Gujarat,NONE,INDEPENDENT,False,False,44.96,0.0,82.3,0.0,49.59,33.27,MEDIUM,[MP_FAVORITISM] Awarded by high-concentration MP MP0083 (Allocation Risk: 82.3)
P00032201,MP0030,V042348,4880000.0,Sanitation,HYDERABAD-1,Telangana,NONE,INDEPENDENT,False,False,44.22,0.0,39.33,0.0,42.41,25.53,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00077424,MP0100,V004475,1280000.0,Healthcare,NASHIK-5,Maharashtra,NONE,INDEPENDENT,False,False,26.94,0.0,18.55,0.0,30.1,15.38,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00093328,MP0079,V018064,9260000.0,Road,KOLKATA-5,West Bengal,NONE,INDEPENDENT,False,False,53.69,0.0,67.32,0.0,50.19,33.73,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 53.7/100
P00053739,MP0004,V039279,2960000.0,Education,PUNE-1,Maharashtra,NONE,INDEPENDENT,False,False,29.11,0.0,39.17,0.0,33.39,19.62,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00052637,MP0044,V021956,2990000.0,Education,BELAGAVI-4,Karnataka,NONE,INDEPENDENT,False,False,24.96,0.0,26.92,0.0,10.87,13.16,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00057941,MP0068,V016847,4080000.0,Public Infrastructure,BHAGALPUR-1,Bihar,NONE,INDEPENDENT,False,False,43.61,0.0,79.25,0.0,31.04,29.63,MEDIUM,[MP_FAVORITISM] Awarded by high-concentration MP MP0068 (Allocation Risk: 79.2)
P00040056,MP0087,V037279,7080000.0,Community Development,JAIPUR-2,Rajasthan,NONE,INDEPENDENT,False,False,59.01,0.0,13.75,0.0,31.23,24.45,LOW,[ML_ANOMALY] Physical/financial anomaly score 59.0/100
P00004139,MP0042,V023778,3060000.0,Electricity,SOLAPUR-3,Maharashtra,NONE,INDEPENDENT,False,False,24.44,0.0,53.32,0.0,29.48,19.75,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00029993,MP0058,V000613,3910000.0,Public Infrastructure,KANPUR-1,Uttar Pradesh,SYNDICATE_080,ACTIVE_PARTICIPANT,False,False,28.22,70.19,27.65,0.0,55.52,38.49,MEDIUM,[SYNDICATE] Contractor in SYNDICATE_080 (Shared Bank Collusion Risk: 70.2)
P00073313,MP0001,V002862,2440000.0,Water Supply,BELAGAVI-3,Karnataka,NONE,INDEPENDENT,False,False,29.77,0.0,70.55,0.0,5.73,20.37,LOW,[MP_FAVORITISM] Awarded by high-concentration MP MP0001 (Allocation Risk: 70.5)
P00064530,MP0049,V000971,1660000.0,Sanitation,AJMER-5,Rajasthan,SYNDICATE_036,ACTIVE_PARTICIPANT,False,False,20.05,78.54,73.35,0.0,47.28,43.74,MEDIUM,[SYNDICATE] Contractor in SYNDICATE_036 (Shared Bank Collusion Risk: 78.5); [MP_FAVORITISM] Awarded by high-concentration MP MP0049 (Allocation Risk: 73.3)
P00020727,MP0006,V020056,5390000.0,Community Development,MADURAI-5,Tamil Nadu,NONE,INDEPENDENT,False,False,47.74,0.0,39.78,0.0,25.4,24.1,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00064714,MP0082,V026513,3120000.0,Water Supply,JODHPUR-3,Rajasthan,NONE,INDEPENDENT,False,False,36.05,0.0,43.42,0.0,34.75,22.54,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00076980,MP0083,V020124,7710000.0,Road,VADODARA-4,Gujarat,NONE,INDEPENDENT,False,False,65.08,0.0,82.3,0.0,18.26,34.61,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 65.1/100; [MP_FAVORITISM] Awarded by high-concentration MP MP0083 (Allocation Risk: 82.3)
P00041626,MP0072,V009614,5790000.0,Healthcare,INDORE-1,Madhya Pradesh,NONE,INDEPENDENT,False,False,39.3,0.0,30.2,0.0,61.6,25.56,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00010348,MP0042,V044334,5380000.0,Water Supply,SOLAPUR-3,Maharashtra,NONE,INDEPENDENT,False,False,41.79,0.0,53.32,0.0,41.92,26.82,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00018940,MP0099,V044624,2110000.0,Sanitation,BALLARI-2,Karnataka,NONE,INDEPENDENT,False,False,41.17,0.0,33.62,0.0,28.94,21.73,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00080027,MP0020,V028712,6190000.0,Public Infrastructure,BHAVNAGAR-2,Gujarat,NONE,INDEPENDENT,False,False,42.47,0.0,31.6,0.0,30.75,22.09,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00013708,MP0083,V010820,5720000.0,Public Infrastructure,VADODARA-4,Gujarat,NONE,INDEPENDENT,False,False,39.91,0.0,82.3,0.0,55.18,32.59,MEDIUM,[MP_FAVORITISM] Awarded by high-concentration MP MP0083 (Allocation Risk: 82.3)
P00025704,MP0054,V042025,2360000.0,Healthcare,BELAGAVI-3,Karnataka,NONE,INDEPENDENT,False,False,29.79,0.0,49.82,0.0,47.02,23.46,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00089156,MP0011,V017869,5810000.0,Agriculture,KOTA-5,Rajasthan,NONE,INDEPENDENT,False,False,48.21,0.0,46.9,0.0,28.14,25.72,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00076970,MP0002,V041769,2680000.0,Water Supply,GAYA-1,Bihar,NONE,INDEPENDENT,False,False,30.82,0.0,11.48,0.0,40.63,17.06,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00001590,MP0093,V009596,7140000.0,Sports,HOWRAH-3,West Bengal,NONE,INDEPENDENT,False,False,46.8,0.0,68.05,0.0,29.13,28.62,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00046753,MP0027,V007910,4400000.0,Sanitation,MUZAFFARPUR-5,Bihar,NONE,INDEPENDENT,False,False,45.09,0.0,64.5,0.0,16.27,25.64,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00004840,MP0001,V022674,5140000.0,Sports,BELAGAVI-3,Karnataka,NONE,INDEPENDENT,False,False,29.45,0.0,70.55,0.0,19.67,22.37,LOW,[MP_FAVORITISM] Awarded by high-concentration MP MP0001 (Allocation Risk: 70.5)
P00013023,MP0087,V016795,4270000.0,Agriculture,JAIPUR-2,Rajasthan,NONE,INDEPENDENT,False,False,35.54,0.0,13.75,0.0,17.38,15.33,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00021110,MP0082,V019978,6020000.0,Public Infrastructure,JODHPUR-3,Rajasthan,NONE,INDEPENDENT,False,False,49.38,0.0,43.42,0.0,42.69,27.73,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00035923,MP0011,V001217,8650000.0,Sports,KOTA-5,Rajasthan,NONE,INDEPENDENT,False,False,57.78,0.0,46.9,0.0,25.34,28.17,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 57.8/100
P00022172,MP0090,V040497,9230000.0,Education,COIMBATORE-1,Tamil Nadu,NONE,INDEPENDENT,False,False,86.61,0.0,60.25,0.0,38.26,40.76,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 86.6/100
P00068224,MP0004,V002231,3880000.0,Healthcare,PUNE-1,Maharashtra,NONE,INDEPENDENT,False,False,41.86,0.0,39.17,0.0,15.43,20.75,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00017997,MP0010,V047099,3090000.0,Road,BELAGAVI-4,Karnataka,NONE,INDEPENDENT,False,False,28.17,0.0,29.25,0.0,40.32,18.89,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00055489,MP0048,V026281,6190000.0,Electricity,AURANGABAD-4,Bihar,NONE,INDEPENDENT,False,False,75.66,0.0,11.15,0.0,29.31,28.77,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 75.7/100
P00093471,MP0008,V046849,1550000.0,Sports,NANDED-4,Maharashtra,NONE,INDEPENDENT,False,False,23.55,0.0,53.02,0.0,12.33,16.87,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00044610,MP0055,V031203,6950000.0,Healthcare,MADURAI-3,Tamil Nadu,NONE,INDEPENDENT,False,False,42.08,0.0,40.4,0.0,16.34,21.13,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00083808,MP0008,V020895,4740000.0,Sports,NANDED-4,Maharashtra,NONE,INDEPENDENT,False,False,45.02,0.0,53.02,0.0,6.73,22.47,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00068251,MP0090,V042389,9680000.0,Sports,COIMBATORE-1,Tamil Nadu,NONE,INDEPENDENT,False,False,87.18,0.0,60.25,0.0,18.84,38.02,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 87.2/100
P00033350,MP0049,V041459,8930000.0,Education,AJMER-5,Rajasthan,NONE,INDEPENDENT,False,False,48.43,0.0,73.35,0.0,45.55,32.36,MEDIUM,[MP_FAVORITISM] Awarded by high-concentration MP MP0049 (Allocation Risk: 73.3)
P00073441,MP0048,V043193,2110000.0,Healthcare,AURANGABAD-4,Bihar,NONE,INDEPENDENT,False,False,16.27,0.0,11.15,0.0,40.53,12.63,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00000516,MP0016,V016772,9590000.0,Water Supply,KALABURAGI-2,Karnataka,NONE,INDEPENDENT,False,False,80.19,0.0,21.02,0.0,30.3,31.75,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 80.2/100
P00045877,MP0041,V027987,600000.0,Road,LATUR-3,Maharashtra,NONE,INDEPENDENT,False,False,34.07,0.0,51.6,0.0,52.02,25.76,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00039991,MP0050,V007401,8350000.0,Road,HUBBALLI-2,Karnataka,NONE,INDEPENDENT,False,False,56.14,0.0,68.4,0.0,18.97,29.95,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 56.1/100
P00025412,MP0057,V026850,3800000.0,Water Supply,SILIGURI-2,West Bengal,NONE,INDEPENDENT,False,False,41.04,0.0,26.08,0.0,33.17,21.2,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00086766,MP0085,V001753,3180000.0,Community Development,KOLKATA-1,West Bengal,NONE,INDEPENDENT,False,False,32.37,0.0,85.52,0.0,23.41,26.05,MEDIUM,[MP_FAVORITISM] Awarded by high-concentration MP MP0085 (Allocation Risk: 85.5)
P00086215,MP0092,V021775,8700000.0,Agriculture,MADURAI-3,Tamil Nadu,NONE,INDEPENDENT,False,False,54.89,0.0,48.68,0.0,30.26,28.31,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 54.9/100
P00093258,MP0074,V032363,1550000.0,Road,LATUR-4,Maharashtra,NONE,INDEPENDENT,False,False,27.71,0.0,52.9,0.0,5.26,17.04,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00031607,MP0011,V001707,2950000.0,Sanitation,KOTA-5,Rajasthan,NONE,INDEPENDENT,False,False,32.41,0.0,46.9,0.0,5.93,17.65,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00018608,MP0015,V009055,5330000.0,Public Infrastructure,BELAGAVI-2,Karnataka,NONE,INDEPENDENT,False,False,40.04,0.0,16.88,0.0,46.66,21.54,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00048874,MP0071,V032851,9290000.0,Public Infrastructure,SALEM-2,Tamil Nadu,NONE,INDEPENDENT,False,False,70.03,0.0,74.47,0.0,20.6,35.27,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 70.0/100; [MP_FAVORITISM] Awarded by high-concentration MP MP0071 (Allocation Risk: 74.5)
P00035688,MP0064,V023408,7700000.0,Road,WARANGAL-1,Telangana,NONE,INDEPENDENT,False,False,53.12,0.0,36.3,0.0,8.18,22.61,LOW,[ML_ANOMALY] Physical/financial anomaly score 53.1/100
P00054911,MP0043,V013518,9760000.0,Water Supply,PATNA-2,Bihar,NONE,INDEPENDENT,False,False,63.47,0.0,54.58,0.0,32.53,32.11,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 63.5/100
P00039775,MP0077,V011432,3640000.0,Agriculture,KOLKATA-2,West Bengal,NONE,INDEPENDENT,False,False,74.46,0.0,61.28,0.0,45.81,38.4,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 74.5/100
P00096384,MP0029,V045006,8980000.0,Road,JODHPUR-2,Rajasthan,NONE,INDEPENDENT,False,False,47.53,0.0,82.12,0.0,29.23,30.96,MEDIUM,[MP_FAVORITISM] Awarded by high-concentration MP MP0029 (Allocation Risk: 82.1)
P00085288,MP0002,V006763,5090000.0,Sports,GAYA-1,Bihar,NONE,INDEPENDENT,False,False,62.87,0.0,11.48,0.0,26.47,24.55,LOW,[ML_ANOMALY] Physical/financial anomaly score 62.9/100
P00026654,MP0055,V039062,710000.0,Electricity,MADURAI-3,Tamil Nadu,NONE,INDEPENDENT,False,False,57.87,0.0,40.4,0.0,45.38,30.23,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 57.9/100
P00066811,MP0030,V016635,6750000.0,Public Infrastructure,HYDERABAD-1,Telangana,NONE,INDEPENDENT,False,False,40.76,0.0,39.33,0.0,14.17,20.25,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00064367,MP0032,V018999,1170000.0,Sanitation,MYSURU-4,Karnataka,NONE,INDEPENDENT,False,False,29.5,0.0,68.18,0.0,5.13,19.85,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00028691,MP0071,V007089,720000.0,Water Supply,SALEM-2,Tamil Nadu,NONE,INDEPENDENT,False,False,33.29,0.0,74.47,0.0,35.21,26.44,MEDIUM,[MP_FAVORITISM] Awarded by high-concentration MP MP0071 (Allocation Risk: 74.5)
P00084342,MP0069,V045920,1470000.0,Education,LUCKNOW-4,Uttar Pradesh,NONE,INDEPENDENT,False,False,23.31,0.0,39.8,0.0,41.46,19.18,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00051776,MP0052,V004063,600000.0,Healthcare,MUZAFFARPUR-2,Bihar,NONE,INDEPENDENT,False,False,37.01,0.0,24.4,0.0,26.09,18.68,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00006697,MP0024,V003515,1280000.0,Road,BHOPAL-2,Madhya Pradesh,NONE,INDEPENDENT,False,False,27.93,0.0,11.8,0.0,27.52,14.28,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00036699,MP0099,V037933,820000.0,Water Supply,BALLARI-2,Karnataka,NONE,INDEPENDENT,False,False,38.25,0.0,33.62,0.0,17.37,19.12,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00047657,MP0099,V004301,7830000.0,Sports,BALLARI-2,Karnataka,NONE,INDEPENDENT,False,False,52.55,0.0,33.62,0.0,8.22,22.04,LOW,[ML_ANOMALY] Physical/financial anomaly score 52.5/100
P00007423,MP0058,V041065,4320000.0,Education,KANPUR-1,Uttar Pradesh,NONE,INDEPENDENT,False,False,44.65,0.0,27.65,0.0,17.87,20.22,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00095055,MP0001,V029464,8710000.0,Public Infrastructure,BELAGAVI-3,Karnataka,NONE,INDEPENDENT,False,False,51.18,0.0,70.55,0.0,33.72,30.99,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 51.2/100; [MP_FAVORITISM] Awarded by high-concentration MP MP0001 (Allocation Risk: 70.5)
P00013673,MP0024,V016208,3970000.0,Water Supply,BHOPAL-2,Madhya Pradesh,NONE,INDEPENDENT,False,False,41.36,0.0,11.8,0.0,25.54,18.01,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00039605,MP0088,V017386,9010000.0,Education,INDORE-4,Madhya Pradesh,NONE,INDEPENDENT,False,False,58.49,0.0,70.6,0.0,21.5,31.36,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 58.5/100; [MP_FAVORITISM] Awarded by high-concentration MP MP0088 (Allocation Risk: 70.6)
P00033667,MP0015,V041800,3530000.0,Water Supply,BELAGAVI-2,Karnataka,NONE,INDEPENDENT,False,False,34.29,0.0,16.88,0.0,6.17,13.74,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00083379,MP0038,V002994,2620000.0,Education,KALABURAGI-3,Karnataka,NONE,INDEPENDENT,False,False,25.65,0.0,37.17,0.0,23.72,16.83,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00023079,MP0004,V025114,6550000.0,Road,PUNE-1,Maharashtra,NONE,INDEPENDENT,False,False,40.88,0.0,39.17,0.0,7.36,19.24,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00037927,MP0044,V004351,5820000.0,Community Development,BELAGAVI-4,Karnataka,NONE,INDEPENDENT,False,False,39.06,0.0,26.92,0.0,39.17,21.63,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00044378,MP0083,V006640,6350000.0,Community Development,VADODARA-4,Gujarat,NONE,INDEPENDENT,False,False,40.53,0.0,82.3,0.0,20.57,27.59,MEDIUM,[MP_FAVORITISM] Awarded by high-concentration MP MP0083 (Allocation Risk: 82.3)
P00063880,MP0009,V010876,2330000.0,Sanitation,INDORE-2,Madhya Pradesh,NONE,INDEPENDENT,False,False,23.79,0.0,49.6,0.0,13.57,16.61,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00028326,MP0048,V045835,4510000.0,Education,AURANGABAD-4,Bihar,NONE,INDEPENDENT,False,False,37.46,0.0,11.15,0.0,47.42,20.02,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00007156,MP0055,V025180,3570000.0,Sports,MADURAI-3,Tamil Nadu,NONE,INDEPENDENT,False,False,39.71,0.0,40.4,0.0,28.19,22.2,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00071394,MP0080,V044992,4990000.0,Healthcare,PRAYAGRAJ-5,Uttar Pradesh,NONE,INDEPENDENT,False,False,34.98,0.0,44.12,0.0,19.22,19.99,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00089494,MP0089,V047080,2040000.0,Community Development,UJJAIN-5,Madhya Pradesh,NONE,INDEPENDENT,False,False,17.98,0.0,49.6,0.0,2.52,13.21,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00018468,MP0017,V049817,4450000.0,Agriculture,AGRA-4,Uttar Pradesh,NONE,INDEPENDENT,False,False,43.46,0.0,58.58,0.0,24.09,25.44,MEDIUM,Parameters within standard vigilance tolerances across all forensic layers
P00062617,MP0092,V004589,680000.0,Healthcare,MADURAI-3,Tamil Nadu,NONE,INDEPENDENT,False,False,34.1,0.0,48.68,0.0,17.76,20.2,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00044588,MP0100,V030442,3000000.0,Water Supply,NASHIK-5,Maharashtra,NONE,INDEPENDENT,False,False,23.01,0.0,18.55,0.0,24.18,13.31,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00044220,MP0062,V033618,7670000.0,Sanitation,GAYA-5,Bihar,NONE,INDEPENDENT,False,False,50.13,0.0,49.42,0.0,20.26,25.49,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 50.1/100
P00012018,MP0010,V006860,3590000.0,Road,BELAGAVI-4,Karnataka,NONE,INDEPENDENT,False,False,33.12,0.0,29.25,0.0,25.18,18.1,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00066720,MP0066,V027421,2610000.0,Road,CHENNAI-1,Tamil Nadu,NONE,INDEPENDENT,False,False,18.84,0.0,35.1,0.0,22.52,14.29,LOW,Parameters within standard vigilance tolerances across all forensic layers
P00038075,MP0048,V034531,9320000.0,Sanitation,AURANGABAD-4,Bihar,NONE,INDEPENDENT,False,False,58.54,0.0,11.15,0.0,46.48,26.21,MEDIUM,[ML_ANOMALY] Physical/financial anomaly score 58.5/100
