Vendor_ID,Vendor_Name,Registration_ID,Bank_Account_ID,Syndicate_ID,Syndicate_Size,Projects_Awarded,Total_Sanctioned_Value,State,District,Shared_Bank_Account_Flag,Requires_Audit,Evidence_Reasons
V000235,Contractor Company 000235,REG0000235,BANK000053,SYN_BANK000053,15,4,33030000,Maharashtra,Nanded,True,True,"Entity shares Bank Account BANK000053 with 14 other contractors (Syndicate ID: SYN_BANK000053, Members: 15). Syndicate holds 35 projects totaling INR 218,660,000. Audit verification recommended."
V000138,Contractor Company 000138,REG0000138,BANK000025,SYN_BANK000025,6,6,32950000,Karnataka,Ballari,True,True,"Entity shares Bank Account BANK000025 with 5 other contractors (Syndicate ID: SYN_BANK000025, Members: 6). Syndicate holds 14 projects totaling INR 70,380,000. Audit verification recommended."
V000285,Contractor Company 000285,REG0000285,BANK000048,SYN_BANK000048,9,5,32790000,Karnataka,Mysuru,True,True,"Entity shares Bank Account BANK000048 with 8 other contractors (Syndicate ID: SYN_BANK000048, Members: 9). Syndicate holds 22 projects totaling INR 121,720,000. Audit verification recommended."
V000947,Contractor Company 000947,REG0000947,BANK000022,SYN_BANK000022,11,5,32710000,Telangana,Karimnagar,True,True,"Entity shares Bank Account BANK000022 with 10 other contractors (Syndicate ID: SYN_BANK000022, Members: 11). Syndicate holds 22 projects totaling INR 104,170,000. Audit verification recommended."
V000493,Contractor Company 000493,REG0000493,BANK000068,SYN_BANK000068,10,4,32270000,Rajasthan,Jaipur,True,True,"Entity shares Bank Account BANK000068 with 9 other contractors (Syndicate ID: SYN_BANK000068, Members: 10). Syndicate holds 17 projects totaling INR 107,760,000. Audit verification recommended."
V000676,Contractor Company 000676,REG0000676,BANK000096,SYN_BANK000096,11,4,31860000,Telangana,Warangal,True,True,"Entity shares Bank Account BANK000096 with 10 other contractors (Syndicate ID: SYN_BANK000096, Members: 11). Syndicate holds 27 projects totaling INR 163,330,000. Audit verification recommended."
V000399,Contractor Company 000399,REG0000399,BANK000051,SYN_BANK000051,10,4,31610000,Tamil Nadu,Chennai,True,True,"Entity shares Bank Account BANK000051 with 9 other contractors (Syndicate ID: SYN_BANK000051, Members: 10). Syndicate holds 15 projects totaling INR 87,510,000. Audit verification recommended."
V000200,Contractor Company 000200,REG0000200,BANK000053,SYN_BANK000053,15,5,31430000,Tamil Nadu,Salem,True,True,"Entity shares Bank Account BANK000053 with 14 other contractors (Syndicate ID: SYN_BANK000053, Members: 15). Syndicate holds 35 projects totaling INR 218,660,000. Audit verification recommended."
V000916,Contractor Company 000916,REG0000916,BANK000081,SYN_BANK000081,10,6,31430000,Bihar,Bhagalpur,True,True,"Entity shares Bank Account BANK000081 with 9 other contractors (Syndicate ID: SYN_BANK000081, Members: 10). Syndicate holds 30 projects totaling INR 149,180,000. Audit verification recommended."
V000811,Contractor Company 000811,REG0000811,BANK000046,SYN_BANK000046,12,5,31310000,Tamil Nadu,Coimbatore,True,True,"Entity shares Bank Account BANK000046 with 11 other contractors (Syndicate ID: SYN_BANK000046, Members: 12). Syndicate holds 34 projects totaling INR 184,090,000. Audit verification recommended."
V000237,Contractor Company 000237,REG0000237,BANK000080,SYN_BANK000080,8,5,31300000,Madhya Pradesh,Jabalpur,True,True,"Entity shares Bank Account BANK000080 with 7 other contractors (Syndicate ID: SYN_BANK000080, Members: 8). Syndicate holds 17 projects totaling INR 101,510,000. Audit verification recommended."
V000410,Contractor Company 000410,REG0000410,BANK000088,SYN_BANK000088,12,8,31140000,West Bengal,Siliguri,True,True,"Entity shares Bank Account BANK000088 with 11 other contractors (Syndicate ID: SYN_BANK000088, Members: 12). Syndicate holds 25 projects totaling INR 110,760,000. Audit verification recommended."
V000939,Contractor Company 000939,REG0000939,BANK000072,SYN_BANK000072,12,6,31060000,Tamil Nadu,Madurai,True,True,"Entity shares Bank Account BANK000072 with 11 other contractors (Syndicate ID: SYN_BANK000072, Members: 12). Syndicate holds 32 projects totaling INR 166,740,000. Audit verification recommended."
V000555,Contractor Company 000555,REG0000555,BANK000071,SYN_BANK000071,9,5,30770000,Maharashtra,Nashik,True,True,"Entity shares Bank Account BANK000071 with 8 other contractors (Syndicate ID: SYN_BANK000071, Members: 9). Syndicate holds 16 projects totaling INR 90,430,000. Audit verification recommended."
V000160,Contractor Company 000160,REG0000160,BANK000058,SYN_BANK000058,15,5,30760000,Tamil Nadu,Salem,True,True,"Entity shares Bank Account BANK000058 with 14 other contractors (Syndicate ID: SYN_BANK000058, Members: 15). Syndicate holds 30 projects totaling INR 167,760,000. Audit verification recommended."
V000062,Contractor Company 000062,REG0000062,BANK000099,SYN_BANK000099,9,6,30720000,Bihar,Aurangabad,True,True,"Entity shares Bank Account BANK000099 with 8 other contractors (Syndicate ID: SYN_BANK000099, Members: 9). Syndicate holds 16 projects totaling INR 82,300,000. Audit verification recommended."
V000655,Contractor Company 000655,REG0000655,BANK000038,SYN_BANK000038,10,5,30290000,Rajasthan,Jodhpur,True,True,"Entity shares Bank Account BANK000038 with 9 other contractors (Syndicate ID: SYN_BANK000038, Members: 10). Syndicate holds 22 projects totaling INR 111,670,000. Audit verification recommended."
V000665,Contractor Company 000665,REG0000665,BANK000092,SYN_BANK000092,6,7,30250000,Uttar Pradesh,Agra,True,True,"Entity shares Bank Account BANK000092 with 5 other contractors (Syndicate ID: SYN_BANK000092, Members: 6). Syndicate holds 15 projects totaling INR 63,280,000. Audit verification recommended."
V000537,Contractor Company 000537,REG0000537,BANK000018,SYN_BANK000018,13,5,29960000,Karnataka,Bengaluru,True,True,"Entity shares Bank Account BANK000018 with 12 other contractors (Syndicate ID: SYN_BANK000018, Members: 13). Syndicate holds 28 projects totaling INR 168,430,000. Audit verification recommended."
V000152,Contractor Company 000152,REG0000152,BANK000015,SYN_BANK000015,8,5,29380000,Madhya Pradesh,Gwalior,True,True,"Entity shares Bank Account BANK000015 with 7 other contractors (Syndicate ID: SYN_BANK000015, Members: 8). Syndicate holds 18 projects totaling INR 91,360,000. Audit verification recommended."
V000161,Contractor Company 000161,REG0000161,BANK000076,SYN_BANK000076,11,4,29140000,Telangana,Nizamabad,True,True,"Entity shares Bank Account BANK000076 with 10 other contractors (Syndicate ID: SYN_BANK000076, Members: 11). Syndicate holds 27 projects totaling INR 133,000,000. Audit verification recommended."
V000767,Contractor Company 000767,REG0000767,BANK000093,SYN_BANK000093,6,3,29100000,Karnataka,Bengaluru,True,True,"Entity shares Bank Account BANK000093 with 5 other contractors (Syndicate ID: SYN_BANK000093, Members: 6). Syndicate holds 16 projects totaling INR 83,030,000. Audit verification recommended."
V000979,Contractor Company 000979,REG0000979,BANK000059,SYN_BANK000059,16,5,28750000,Madhya Pradesh,Jabalpur,True,True,"Entity shares Bank Account BANK000059 with 15 other contractors (Syndicate ID: SYN_BANK000059, Members: 16). Syndicate holds 37 projects totaling INR 216,440,000. Audit verification recommended."
V000891,Contractor Company 000891,REG0000891,BANK000082,SYN_BANK000082,11,4,28660000,Tamil Nadu,Tiruchirappalli,True,True,"Entity shares Bank Account BANK000082 with 10 other contractors (Syndicate ID: SYN_BANK000082, Members: 11). Syndicate holds 14 projects totaling INR 66,270,000. Audit verification recommended."
V000478,Contractor Company 000478,REG0000478,BANK000058,SYN_BANK000058,15,4,28600000,Gujarat,Rajkot,True,True,"Entity shares Bank Account BANK000058 with 14 other contractors (Syndicate ID: SYN_BANK000058, Members: 15). Syndicate holds 30 projects totaling INR 167,760,000. Audit verification recommended."
V000373,Contractor Company 000373,REG0000373,BANK000007,SYN_BANK000007,8,5,28420000,Gujarat,Bhavnagar,True,True,"Entity shares Bank Account BANK000007 with 7 other contractors (Syndicate ID: SYN_BANK000007, Members: 8). Syndicate holds 22 projects totaling INR 99,360,000. Audit verification recommended."
V000895,Contractor Company 000895,REG0000895,BANK000056,SYN_BANK000056,14,4,28360000,Uttar Pradesh,Agra,True,True,"Entity shares Bank Account BANK000056 with 13 other contractors (Syndicate ID: SYN_BANK000056, Members: 14). Syndicate holds 38 projects totaling INR 192,810,000. Audit verification recommended."
V000119,Contractor Company 000119,REG0000119,BANK000032,SYN_BANK000032,14,3,28320000,Madhya Pradesh,Gwalior,True,True,"Entity shares Bank Account BANK000032 with 13 other contractors (Syndicate ID: SYN_BANK000032, Members: 14). Syndicate holds 20 projects totaling INR 112,550,000. Audit verification recommended."
V000411,Contractor Company 000411,REG0000411,BANK000081,SYN_BANK000081,10,6,28200000,West Bengal,Durgapur,True,True,"Entity shares Bank Account BANK000081 with 9 other contractors (Syndicate ID: SYN_BANK000081, Members: 10). Syndicate holds 30 projects totaling INR 149,180,000. Audit verification recommended."
V000458,Contractor Company 000458,REG0000458,BANK000061,SYN_BANK000061,10,4,28180000,Bihar,Aurangabad,True,True,"Entity shares Bank Account BANK000061 with 9 other contractors (Syndicate ID: SYN_BANK000061, Members: 10). Syndicate holds 25 projects totaling INR 142,950,000. Audit verification recommended."
V000681,Contractor Company 000681,REG0000681,BANK000035,SYN_BANK000035,13,4,27730000,Tamil Nadu,Salem,True,True,"Entity shares Bank Account BANK000035 with 12 other contractors (Syndicate ID: SYN_BANK000035, Members: 13). Syndicate holds 27 projects totaling INR 142,230,000. Audit verification recommended."
V000447,Contractor Company 000447,REG0000447,BANK000010,SYN_BANK000010,11,5,27670000,Gujarat,Surat,True,True,"Entity shares Bank Account BANK000010 with 10 other contractors (Syndicate ID: SYN_BANK000010, Members: 11). Syndicate holds 25 projects totaling INR 133,480,000. Audit verification recommended."
V000105,Contractor Company 000105,REG0000105,BANK000076,SYN_BANK000076,11,4,26940000,Bihar,Patna,True,True,"Entity shares Bank Account BANK000076 with 10 other contractors (Syndicate ID: SYN_BANK000076, Members: 11). Syndicate holds 27 projects totaling INR 133,000,000. Audit verification recommended."
V000335,Contractor Company 000335,REG0000335,BANK000059,SYN_BANK000059,16,5,26800000,West Bengal,Durgapur,True,True,"Entity shares Bank Account BANK000059 with 15 other contractors (Syndicate ID: SYN_BANK000059, Members: 16). Syndicate holds 37 projects totaling INR 216,440,000. Audit verification recommended."
V000772,Contractor Company 000772,REG0000772,BANK000039,SYN_BANK000039,10,4,26790000,Bihar,Aurangabad,True,True,"Entity shares Bank Account BANK000039 with 9 other contractors (Syndicate ID: SYN_BANK000039, Members: 10). Syndicate holds 20 projects totaling INR 112,010,000. Audit verification recommended."
V000396,Contractor Company 000396,REG0000396,BANK000012,SYN_BANK000012,8,5,26570000,Telangana,Nizamabad,True,True,"Entity shares Bank Account BANK000012 with 7 other contractors (Syndicate ID: SYN_BANK000012, Members: 8). Syndicate holds 20 projects totaling INR 85,350,000. Audit verification recommended."
V000006,Contractor Company 000006,REG0000006,BANK000021,SYN_BANK000021,10,4,25790000,Gujarat,Surat,True,True,"Entity shares Bank Account BANK000021 with 9 other contractors (Syndicate ID: SYN_BANK000021, Members: 10). Syndicate holds 21 projects totaling INR 120,740,000. Audit verification recommended."
V000703,Contractor Company 000703,REG0000703,BANK000054,SYN_BANK000054,11,4,25720000,West Bengal,Durgapur,True,True,"Entity shares Bank Account BANK000054 with 10 other contractors (Syndicate ID: SYN_BANK000054, Members: 11). Syndicate holds 28 projects totaling INR 160,040,000. Audit verification recommended."
V000608,Contractor Company 000608,REG0000608,BANK000047,SYN_BANK000047,7,4,25620000,Rajasthan,Ajmer,True,True,"Entity shares Bank Account BANK000047 with 6 other contractors (Syndicate ID: SYN_BANK000047, Members: 7). Syndicate holds 12 projects totaling INR 74,400,000. Audit verification recommended."
V000745,Contractor Company 000745,REG0000745,BANK000028,SYN_BANK000028,8,4,25410000,Bihar,Muzaffarpur,True,True,"Entity shares Bank Account BANK000028 with 7 other contractors (Syndicate ID: SYN_BANK000028, Members: 8). Syndicate holds 14 projects totaling INR 82,390,000. Audit verification recommended."
V000488,Contractor Company 000488,REG0000488,BANK000031,SYN_BANK000031,11,5,25360000,Tamil Nadu,Tiruchirappalli,True,True,"Entity shares Bank Account BANK000031 with 10 other contractors (Syndicate ID: SYN_BANK000031, Members: 11). Syndicate holds 23 projects totaling INR 132,310,000. Audit verification recommended."
V000353,Contractor Company 000353,REG0000353,BANK000046,SYN_BANK000046,12,4,25350000,West Bengal,Durgapur,True,True,"Entity shares Bank Account BANK000046 with 11 other contractors (Syndicate ID: SYN_BANK000046, Members: 12). Syndicate holds 34 projects totaling INR 184,090,000. Audit verification recommended."
V000579,Contractor Company 000579,REG0000579,BANK000054,SYN_BANK000054,11,4,25270000,Bihar,Muzaffarpur,True,True,"Entity shares Bank Account BANK000054 with 10 other contractors (Syndicate ID: SYN_BANK000054, Members: 11). Syndicate holds 28 projects totaling INR 160,040,000. Audit verification recommended."
V000723,Contractor Company 000723,REG0000723,BANK000008,SYN_BANK000008,8,4,24770000,Karnataka,Bengaluru,True,True,"Entity shares Bank Account BANK000008 with 7 other contractors (Syndicate ID: SYN_BANK000008, Members: 8). Syndicate holds 22 projects totaling INR 97,830,000. Audit verification recommended."
V000403,Contractor Company 000403,REG0000403,BANK000100,SYN_BANK000100,11,4,24710000,Tamil Nadu,Madurai,True,True,"Entity shares Bank Account BANK000100 with 10 other contractors (Syndicate ID: SYN_BANK000100, Members: 11). Syndicate holds 26 projects totaling INR 125,360,000. Audit verification recommended."
V000348,Contractor Company 000348,REG0000348,BANK000072,SYN_BANK000072,12,4,24690000,Rajasthan,Jodhpur,True,True,"Entity shares Bank Account BANK000072 with 11 other contractors (Syndicate ID: SYN_BANK000072, Members: 12). Syndicate holds 32 projects totaling INR 166,740,000. Audit verification recommended."
V000521,Contractor Company 000521,REG0000521,BANK000014,SYN_BANK000014,9,5,24670000,Madhya Pradesh,Jabalpur,True,True,"Entity shares Bank Account BANK000014 with 8 other contractors (Syndicate ID: SYN_BANK000014, Members: 9). Syndicate holds 19 projects totaling INR 98,930,000. Audit verification recommended."
V000797,Contractor Company 000797,REG0000797,BANK000053,SYN_BANK000053,15,4,24420000,Maharashtra,Pune,True,True,"Entity shares Bank Account BANK000053 with 14 other contractors (Syndicate ID: SYN_BANK000053, Members: 15). Syndicate holds 35 projects totaling INR 218,660,000. Audit verification recommended."
V000824,Contractor Company 000824,REG0000824,BANK000061,SYN_BANK000061,10,4,24380000,Bihar,Muzaffarpur,True,True,"Entity shares Bank Account BANK000061 with 9 other contractors (Syndicate ID: SYN_BANK000061, Members: 10). Syndicate holds 25 projects totaling INR 142,950,000. Audit verification recommended."
V000996,Contractor Company 000996,REG0000996,BANK000007,SYN_BANK000007,8,5,24270000,Rajasthan,Jodhpur,True,True,"Entity shares Bank Account BANK000007 with 7 other contractors (Syndicate ID: SYN_BANK000007, Members: 8). Syndicate holds 22 projects totaling INR 99,360,000. Audit verification recommended."
V000203,Contractor Company 000203,REG0000203,BANK000098,SYN_BANK000098,7,3,24050000,Telangana,Karimnagar,True,True,"Entity shares Bank Account BANK000098 with 6 other contractors (Syndicate ID: SYN_BANK000098, Members: 7). Syndicate holds 16 projects totaling INR 87,920,000. Audit verification recommended."
V000367,Contractor Company 000367,REG0000367,BANK000096,SYN_BANK000096,11,4,23980000,Maharashtra,Solapur,True,True,"Entity shares Bank Account BANK000096 with 10 other contractors (Syndicate ID: SYN_BANK000096, Members: 11). Syndicate holds 27 projects totaling INR 163,330,000. Audit verification recommended."
V000433,Contractor Company 000433,REG0000433,BANK000043,SYN_BANK000043,15,5,23960000,Rajasthan,Jaipur,True,True,"Entity shares Bank Account BANK000043 with 14 other contractors (Syndicate ID: SYN_BANK000043, Members: 15). Syndicate holds 30 projects totaling INR 154,060,000. Audit verification recommended."
V000234,Contractor Company 000234,REG0000234,BANK000059,SYN_BANK000059,16,5,23660000,Karnataka,Bengaluru,True,True,"Entity shares Bank Account BANK000059 with 15 other contractors (Syndicate ID: SYN_BANK000059, Members: 16). Syndicate holds 37 projects totaling INR 216,440,000. Audit verification recommended."
V000577,Contractor Company 000577,REG0000577,BANK000011,SYN_BANK000011,15,3,23480000,Maharashtra,Pune,True,True,"Entity shares Bank Account BANK000011 with 14 other contractors (Syndicate ID: SYN_BANK000011, Members: 15). Syndicate holds 34 projects totaling INR 198,760,000. Audit verification recommended."
V000293,Contractor Company 000293,REG0000293,BANK000039,SYN_BANK000039,10,4,23460000,Maharashtra,Pune,True,True,"Entity shares Bank Account BANK000039 with 9 other contractors (Syndicate ID: SYN_BANK000039, Members: 10). Syndicate holds 20 projects totaling INR 112,010,000. Audit verification recommended."
V000936,Contractor Company 000936,REG0000936,BANK000077,SYN_BANK000077,14,3,23390000,Uttar Pradesh,Varanasi,True,True,"Entity shares Bank Account BANK000077 with 13 other contractors (Syndicate ID: SYN_BANK000077, Members: 14). Syndicate holds 22 projects totaling INR 131,900,000. Audit verification recommended."
V000004,Contractor Company 000004,REG0000004,BANK000046,SYN_BANK000046,12,4,23310000,Bihar,Patna,True,True,"Entity shares Bank Account BANK000046 with 11 other contractors (Syndicate ID: SYN_BANK000046, Members: 12). Syndicate holds 34 projects totaling INR 184,090,000. Audit verification recommended."
V000083,Contractor Company 000083,REG0000083,BANK000069,SYN_BANK000069,12,3,23300000,Gujarat,Bhavnagar,True,True,"Entity shares Bank Account BANK000069 with 11 other contractors (Syndicate ID: SYN_BANK000069, Members: 12). Syndicate holds 18 projects totaling INR 107,470,000. Audit verification recommended."
V000313,Contractor Company 000313,REG0000313,BANK000043,SYN_BANK000043,15,4,23190000,Bihar,Gaya,True,True,"Entity shares Bank Account BANK000043 with 14 other contractors (Syndicate ID: SYN_BANK000043, Members: 15). Syndicate holds 30 projects totaling INR 154,060,000. Audit verification recommended."
V000795,Contractor Company 000795,REG0000795,BANK000005,SYN_BANK000005,12,5,23160000,Maharashtra,Sangli,True,True,"Entity shares Bank Account BANK000005 with 11 other contractors (Syndicate ID: SYN_BANK000005, Members: 12). Syndicate holds 31 projects totaling INR 183,270,000. Audit verification recommended."
V000228,Contractor Company 000228,REG0000228,BANK000006,SYN_BANK000006,7,3,23150000,Bihar,Bhagalpur,True,True,"Entity shares Bank Account BANK000006 with 6 other contractors (Syndicate ID: SYN_BANK000006, Members: 7). Syndicate holds 12 projects totaling INR 62,170,000. Audit verification recommended."
V000174,Contractor Company 000174,REG0000174,BANK000029,SYN_BANK000029,10,3,22940000,Karnataka,Bengaluru,True,True,"Entity shares Bank Account BANK000029 with 9 other contractors (Syndicate ID: SYN_BANK000029, Members: 10). Syndicate holds 16 projects totaling INR 91,430,000. Audit verification recommended."
V000564,Contractor Company 000564,REG0000564,BANK000024,SYN_BANK000024,9,5,22860000,Tamil Nadu,Tiruchirappalli,True,True,"Entity shares Bank Account BANK000024 with 8 other contractors (Syndicate ID: SYN_BANK000024, Members: 9). Syndicate holds 18 projects totaling INR 84,450,000. Audit verification recommended."
V000713,Contractor Company 000713,REG0000713,BANK000027,SYN_BANK000027,11,4,22790000,Karnataka,Ballari,True,True,"Entity shares Bank Account BANK000027 with 10 other contractors (Syndicate ID: SYN_BANK000027, Members: 11). Syndicate holds 23 projects totaling INR 117,280,000. Audit verification recommended."
V000536,Contractor Company 000536,REG0000536,BANK000098,SYN_BANK000098,7,4,22770000,Rajasthan,Ajmer,True,True,"Entity shares Bank Account BANK000098 with 6 other contractors (Syndicate ID: SYN_BANK000098, Members: 7). Syndicate holds 16 projects totaling INR 87,920,000. Audit verification recommended."
V000466,Contractor Company 000466,REG0000466,BANK000067,SYN_BANK000067,8,5,22710000,Karnataka,Ballari,True,True,"Entity shares Bank Account BANK000067 with 7 other contractors (Syndicate ID: SYN_BANK000067, Members: 8). Syndicate holds 17 projects totaling INR 89,460,000. Audit verification recommended."
V000567,Contractor Company 000567,REG0000567,BANK000022,SYN_BANK000022,11,4,22650000,Gujarat,Vadodara,True,True,"Entity shares Bank Account BANK000022 with 10 other contractors (Syndicate ID: SYN_BANK000022, Members: 11). Syndicate holds 22 projects totaling INR 104,170,000. Audit verification recommended."
V000666,Contractor Company 000666,REG0000666,BANK000088,SYN_BANK000088,12,4,22630000,Telangana,Hyderabad,True,True,"Entity shares Bank Account BANK000088 with 11 other contractors (Syndicate ID: SYN_BANK000088, Members: 12). Syndicate holds 25 projects totaling INR 110,760,000. Audit verification recommended."
V000769,Contractor Company 000769,REG0000769,BANK000078,SYN_BANK000078,7,3,22630000,Uttar Pradesh,Prayagraj,True,True,"Entity shares Bank Account BANK000078 with 6 other contractors (Syndicate ID: SYN_BANK000078, Members: 7). Syndicate holds 12 projects totaling INR 63,400,000. Audit verification recommended."
V000445,Contractor Company 000445,REG0000445,BANK000044,SYN_BANK000044,11,4,22620000,Gujarat,Surat,True,True,"Entity shares Bank Account BANK000044 with 10 other contractors (Syndicate ID: SYN_BANK000044, Members: 11). Syndicate holds 29 projects totaling INR 149,420,000. Audit verification recommended."
V000278,Contractor Company 000278,REG0000278,BANK000033,SYN_BANK000033,10,4,22600000,Madhya Pradesh,Indore,True,True,"Entity shares Bank Account BANK000033 with 9 other contractors (Syndicate ID: SYN_BANK000033, Members: 10). Syndicate holds 18 projects totaling INR 76,430,000. Audit verification recommended."
V000343,Contractor Company 000343,REG0000343,BANK000086,SYN_BANK000086,7,3,22590000,Uttar Pradesh,Agra,True,True,"Entity shares Bank Account BANK000086 with 6 other contractors (Syndicate ID: SYN_BANK000086, Members: 7). Syndicate holds 11 projects totaling INR 58,410,000. Audit verification recommended."
V000209,Contractor Company 000209,REG0000209,BANK000053,SYN_BANK000053,15,4,22380000,Maharashtra,Sangli,True,True,"Entity shares Bank Account BANK000053 with 14 other contractors (Syndicate ID: SYN_BANK000053, Members: 15). Syndicate holds 35 projects totaling INR 218,660,000. Audit verification recommended."
V000339,Contractor Company 000339,REG0000339,BANK000056,SYN_BANK000056,14,5,22150000,Tamil Nadu,Madurai,True,True,"Entity shares Bank Account BANK000056 with 13 other contractors (Syndicate ID: SYN_BANK000056, Members: 14). Syndicate holds 38 projects totaling INR 192,810,000. Audit verification recommended."
V000525,Contractor Company 000525,REG0000525,BANK000058,SYN_BANK000058,15,4,22150000,Telangana,Nizamabad,True,True,"Entity shares Bank Account BANK000058 with 14 other contractors (Syndicate ID: SYN_BANK000058, Members: 15). Syndicate holds 30 projects totaling INR 167,760,000. Audit verification recommended."
V000170,Contractor Company 000170,REG0000170,BANK000037,SYN_BANK000037,12,4,22120000,Maharashtra,Hingoli,True,True,"Entity shares Bank Account BANK000037 with 11 other contractors (Syndicate ID: SYN_BANK000037, Members: 12). Syndicate holds 27 projects totaling INR 144,200,000. Audit verification recommended."
