Vendor_ID,Vendor_Name,Bank_Account_ID,Syndicate_ID,Syndicate_Size,Active_Project_Count,Vendor_Total_Sanctioned_Amount,Syndicate_Total_Funds_INR,Collusion_Risk_Score,Evidence_Reasons
V000494,Contractor Company 000494,BANK000065,SYNDICATE_065,17,1,9220000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 9,220,000.']"
V000640,Contractor Company 000640,BANK000065,SYNDICATE_065,17,1,7360000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 7,360,000.']"
V000415,Contractor Company 000415,BANK000065,SYNDICATE_065,17,1,6930000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 6,930,000.']"
V000618,Contractor Company 000618,BANK000065,SYNDICATE_065,17,1,6200000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 6,200,000.']"
V000448,Contractor Company 000448,BANK000065,SYNDICATE_065,17,1,5900000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 5,900,000.']"
V000833,Contractor Company 000833,BANK000065,SYNDICATE_065,17,1,5710000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 5,710,000.']"
V000219,Contractor Company 000219,BANK000065,SYNDICATE_065,17,2,4920000,205740000,100.0,"['Shares bank account BANK000065 with 16 other registered contractors.', 'Belongs to SYNDICATE_065 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 205,740,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 4,920,000.']"
V000215,Contractor Company 000215,BANK000059,SYNDICATE_059,16,5,37290000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 5 project(s) totaling INR 37,290,000.']"
V000979,Contractor Company 000979,BANK000059,SYNDICATE_059,16,5,28750000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 5 project(s) totaling INR 28,750,000.']"
V000335,Contractor Company 000335,BANK000059,SYNDICATE_059,16,5,26800000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 5 project(s) totaling INR 26,800,000.']"
V000234,Contractor Company 000234,BANK000059,SYNDICATE_059,16,5,23660000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 5 project(s) totaling INR 23,660,000.']"
V000601,Contractor Company 000601,BANK000059,SYNDICATE_059,16,2,18600000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 18,600,000.']"
V000327,Contractor Company 000327,BANK000059,SYNDICATE_059,16,2,14220000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 14,220,000.']"
V000485,Contractor Company 000485,BANK000059,SYNDICATE_059,16,3,12630000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 12,630,000.']"
V000867,Contractor Company 000867,BANK000059,SYNDICATE_059,16,2,10170000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 10,170,000.']"
V000989,Contractor Company 000989,BANK000059,SYNDICATE_059,16,1,9990000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 9,990,000.']"
V000259,Contractor Company 000259,BANK000059,SYNDICATE_059,16,1,9040000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 9,040,000.']"
V000813,Contractor Company 000813,BANK000059,SYNDICATE_059,16,2,7830000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 7,830,000.']"
V000254,Contractor Company 000254,BANK000059,SYNDICATE_059,16,1,6090000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 6,090,000.']"
V000225,Contractor Company 000225,BANK000059,SYNDICATE_059,16,1,4990000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 4,990,000.']"
V000791,Contractor Company 000791,BANK000059,SYNDICATE_059,16,1,3280000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 3,280,000.']"
V000583,Contractor Company 000583,BANK000059,SYNDICATE_059,16,1,3100000,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 3,100,000.']"
V000048,Contractor Company 000048,BANK000059,SYNDICATE_059,16,0,0,216440000,98.75,"['Shares bank account BANK000059 with 15 other registered contractors.', 'Belongs to SYNDICATE_059 (16 members) controlling 37 projects.', 'Contractor syndicate holds INR 216,440,000 in sanctioned public funds.', 'Entity directly holds 0 project(s) totaling INR 0.']"
V000778,Contractor Company 000778,BANK000060,SYNDICATE_060,17,3,21050000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 21,050,000.']"
V000086,Contractor Company 000086,BANK000060,SYNDICATE_060,17,3,19630000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 19,630,000.']"
V000416,Contractor Company 000416,BANK000060,SYNDICATE_060,17,3,19470000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 19,470,000.']"
V000056,Contractor Company 000056,BANK000060,SYNDICATE_060,17,4,16050000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 4 project(s) totaling INR 16,050,000.']"
V000082,Contractor Company 000082,BANK000060,SYNDICATE_060,17,2,15320000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 15,320,000.']"
V000255,Contractor Company 000255,BANK000060,SYNDICATE_060,17,4,15300000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 4 project(s) totaling INR 15,300,000.']"
V000718,Contractor Company 000718,BANK000060,SYNDICATE_060,17,2,13830000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 13,830,000.']"
V000116,Contractor Company 000116,BANK000060,SYNDICATE_060,17,2,12830000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 12,830,000.']"
V000460,Contractor Company 000460,BANK000060,SYNDICATE_060,17,2,12460000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 12,460,000.']"
V000733,Contractor Company 000733,BANK000060,SYNDICATE_060,17,2,12350000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 12,350,000.']"
V000915,Contractor Company 000915,BANK000060,SYNDICATE_060,17,2,10370000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 10,370,000.']"
V000562,Contractor Company 000562,BANK000060,SYNDICATE_060,17,1,7250000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 7,250,000.']"
V000280,Contractor Company 000280,BANK000060,SYNDICATE_060,17,2,4680000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 4,680,000.']"
V000039,Contractor Company 000039,BANK000060,SYNDICATE_060,17,1,4390000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 4,390,000.']"
V000420,Contractor Company 000420,BANK000060,SYNDICATE_060,17,1,3820000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 3,820,000.']"
V000556,Contractor Company 000556,BANK000060,SYNDICATE_060,17,1,2840000,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 2,840,000.']"
V000900,Contractor Company 000900,BANK000060,SYNDICATE_060,17,0,0,191640000,97.78,"['Shares bank account BANK000060 with 16 other registered contractors.', 'Belongs to SYNDICATE_060 (17 members) controlling 35 projects.', 'Contractor syndicate holds INR 191,640,000 in sanctioned public funds.', 'Entity directly holds 0 project(s) totaling INR 0.']"
V000331,Contractor Company 000331,BANK000011,SYNDICATE_011,15,7,40190000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 7 project(s) totaling INR 40,190,000.']"
V000577,Contractor Company 000577,BANK000011,SYNDICATE_011,15,3,23480000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 23,480,000.']"
V000126,Contractor Company 000126,BANK000011,SYNDICATE_011,15,3,18910000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 18,910,000.']"
V000479,Contractor Company 000479,BANK000011,SYNDICATE_011,15,3,15560000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 15,560,000.']"
V000067,Contractor Company 000067,BANK000011,SYNDICATE_011,15,2,14410000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 14,410,000.']"
V000842,Contractor Company 000842,BANK000011,SYNDICATE_011,15,2,13400000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 13,400,000.']"
V000706,Contractor Company 000706,BANK000011,SYNDICATE_011,15,2,12520000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 12,520,000.']"
V000085,Contractor Company 000085,BANK000011,SYNDICATE_011,15,2,12260000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 12,260,000.']"
V000156,Contractor Company 000156,BANK000011,SYNDICATE_011,15,2,11240000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 11,240,000.']"
V000812,Contractor Company 000812,BANK000011,SYNDICATE_011,15,2,11000000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 11,000,000.']"
V000091,Contractor Company 000091,BANK000011,SYNDICATE_011,15,1,8720000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 8,720,000.']"
V000467,Contractor Company 000467,BANK000011,SYNDICATE_011,15,1,8200000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 8,200,000.']"
V000903,Contractor Company 000903,BANK000011,SYNDICATE_011,15,3,7540000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 7,540,000.']"
V000820,Contractor Company 000820,BANK000011,SYNDICATE_011,15,1,1330000,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 1,330,000.']"
V000995,Contractor Company 000995,BANK000011,SYNDICATE_011,15,0,0,198760000,96.95,"['Shares bank account BANK000011 with 14 other registered contractors.', 'Belongs to SYNDICATE_011 (15 members) controlling 34 projects.', 'Contractor syndicate holds INR 198,760,000 in sanctioned public funds.', 'Entity directly holds 0 project(s) totaling INR 0.']"
V000895,Contractor Company 000895,BANK000056,SYNDICATE_056,14,4,28360000,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 4 project(s) totaling INR 28,360,000.']"
V000339,Contractor Company 000339,BANK000056,SYNDICATE_056,14,5,22150000,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 5 project(s) totaling INR 22,150,000.']"
V000112,Contractor Company 000112,BANK000056,SYNDICATE_056,14,4,21690000,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 4 project(s) totaling INR 21,690,000.']"
V000021,Contractor Company 000021,BANK000056,SYNDICATE_056,14,3,21070000,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 21,070,000.']"
V000038,Contractor Company 000038,BANK000056,SYNDICATE_056,14,3,19350000,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 19,350,000.']"
V000469,Contractor Company 000469,BANK000056,SYNDICATE_056,14,4,17310000,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 4 project(s) totaling INR 17,310,000.']"
V000871,Contractor Company 000871,BANK000056,SYNDICATE_056,14,4,16990000,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 4 project(s) totaling INR 16,990,000.']"
V000247,Contractor Company 000247,BANK000056,SYNDICATE_056,14,3,14070000,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 14,070,000.']"
V000606,Contractor Company 000606,BANK000056,SYNDICATE_056,14,2,10970000,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 2 project(s) totaling INR 10,970,000.']"
V000022,Contractor Company 000022,BANK000056,SYNDICATE_056,14,3,10730000,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 3 project(s) totaling INR 10,730,000.']"
V000336,Contractor Company 000336,BANK000056,SYNDICATE_056,14,1,6400000,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 6,400,000.']"
V000346,Contractor Company 000346,BANK000056,SYNDICATE_056,14,1,2560000,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 2,560,000.']"
V000027,Contractor Company 000027,BANK000056,SYNDICATE_056,14,1,1160000,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 1 project(s) totaling INR 1,160,000.']"
V000519,Contractor Company 000519,BANK000056,SYNDICATE_056,14,0,0,192810000,94.55,"['Shares bank account BANK000056 with 13 other registered contractors.', 'Belongs to SYNDICATE_056 (14 members) controlling 38 projects.', 'Contractor syndicate holds INR 192,810,000 in sanctioned public funds.', 'Entity directly holds 0 project(s) totaling INR 0.']"
V000340,Contractor Company 000340,BANK000053,SYNDICATE_053,15,6,40270000,218660000,94.44,"['Shares bank account BANK000053 with 14 other registered contractors.', 'Belongs to SYNDICATE_053 (15 members) controlling 35 projects.', 'Contractor syndicate holds INR 218,660,000 in sanctioned public funds.', 'Entity directly holds 6 project(s) totaling INR 40,270,000.']"
V000235,Contractor Company 000235,BANK000053,SYNDICATE_053,15,4,33030000,218660000,94.44,"['Shares bank account BANK000053 with 14 other registered contractors.', 'Belongs to SYNDICATE_053 (15 members) controlling 35 projects.', 'Contractor syndicate holds INR 218,660,000 in sanctioned public funds.', 'Entity directly holds 4 project(s) totaling INR 33,030,000.']"
V000200,Contractor Company 000200,BANK000053,SYNDICATE_053,15,5,31430000,218660000,94.44,"['Shares bank account BANK000053 with 14 other registered contractors.', 'Belongs to SYNDICATE_053 (15 members) controlling 35 projects.', 'Contractor syndicate holds INR 218,660,000 in sanctioned public funds.', 'Entity directly holds 5 project(s) totaling INR 31,430,000.']"
