Contractor_ID,Project_Count,Total_Sanctioned_INR,Avg_VPI,Max_VPI,Critical_Projects,High_Projects,Syndicate_ID,Syndicate_Role,Is_Ringleader,Vendor_Governance_Score
V000022,3,10730000.0,48.25333333333333,53.56,0,1,SYNDICATE_056,ACTIVE_PARTICIPANT,False,40.73
V000023,1,7480000.0,47.15,47.15,0,0,SYNDICATE_050,ACTIVE_PARTICIPANT,False,37.72
V000024,1,7930000.0,44.79,44.79,0,0,SYNDICATE_033,ACTIVE_PARTICIPANT,False,35.83
V000025,2,11120000.0,41.370000000000005,43.82,0,0,SYNDICATE_001,ACTIVE_PARTICIPANT,False,34.08
V000026,1,4140000.0,39.17,39.17,0,0,SYNDICATE_088,ACTIVE_PARTICIPANT,False,31.34
V000027,1,1160000.0,48.42,48.42,0,0,SYNDICATE_056,ACTIVE_PARTICIPANT,False,38.74
V000029,3,11260000.0,50.35,57.55,0,1,SYNDICATE_085,ACTIVE_PARTICIPANT,False,43.16
V000030,2,8850000.0,45.165,46.97,0,0,SYNDICATE_039,ACTIVE_PARTICIPANT,False,36.85
V000031,3,17280000.0,42.40333333333333,45.19,0,0,SYNDICATE_086,ACTIVE_PARTICIPANT,False,35.04
V000032,2,13220000.0,41.834999999999994,44.48,0,0,SYNDICATE_052,ACTIVE_PARTICIPANT,False,34.53
V000033,2,5640000.0,41.025000000000006,42.06,0,0,SYNDICATE_017,ACTIVE_PARTICIPANT,False,33.23
V000037,2,8610000.0,47.3,50.53,0,1,SYNDICATE_039,ACTIVE_PARTICIPANT,False,39.13
V000038,3,19350000.0,53.14333333333334,59.36,0,2,SYNDICATE_056,ACTIVE_PARTICIPANT,False,45.0
V000039,1,4390000.0,47.61,47.61,0,0,SYNDICATE_060,ACTIVE_PARTICIPANT,False,38.09
V000040,1,2520000.0,40.28,40.28,0,0,SYNDICATE_087,ACTIVE_PARTICIPANT,False,32.22
V000041,2,8240000.0,40.94,44.91,0,0,SYNDICATE_061,ACTIVE_PARTICIPANT,False,34.34
V000042,2,14670000.0,48.56,49.64,0,0,SYNDICATE_037,ACTIVE_PARTICIPANT,False,39.28
V000043,1,5830000.0,47.62,47.62,0,0,SYNDICATE_043,ACTIVE_PARTICIPANT,False,38.1
V000044,4,36520000.0,53.8,56.91,0,4,SYNDICATE_097,PRIMARY_RINGLEADER,True,64.28
V000046,4,18170000.0,49.504999999999995,51.0,0,3,SYNDICATE_004,PRIMARY_RINGLEADER,True,60.2
V000047,2,11500000.0,43.254999999999995,43.76,0,0,SYNDICATE_061,ACTIVE_PARTICIPANT,False,34.81
V000049,2,10850000.0,44.69,49.67,0,0,SYNDICATE_025,ACTIVE_PARTICIPANT,False,37.74
V000050,2,9520000.0,45.435,50.6,0,1,SYNDICATE_052,ACTIVE_PARTICIPANT,False,38.41
V000051,1,4700000.0,46.46,46.46,0,0,SYNDICATE_084,ACTIVE_PARTICIPANT,False,37.17
V000052,1,3280000.0,43.16,43.16,0,0,SYNDICATE_100,ACTIVE_PARTICIPANT,False,34.53
V000053,2,4720000.0,39.91,40.74,0,0,SYNDICATE_023,ACTIVE_PARTICIPANT,False,32.26
V000054,3,9200000.0,43.47,49.82,0,0,SYNDICATE_007,ACTIVE_PARTICIPANT,False,37.32
V000055,1,4360000.0,37.55,37.55,0,0,SYNDICATE_016,ACTIVE_PARTICIPANT,False,30.04
V000056,4,16050000.0,49.77,55.17,0,2,SYNDICATE_060,ACTIVE_PARTICIPANT,False,41.98
V000058,2,13360000.0,42.269999999999996,47.37,0,0,SYNDICATE_079,ACTIVE_PARTICIPANT,False,35.86
V000059,1,9670000.0,46.98,46.98,0,0,SYNDICATE_071,ACTIVE_PARTICIPANT,False,37.58
V000060,1,6310000.0,40.32,40.32,0,0,SYNDICATE_096,ACTIVE_PARTICIPANT,False,32.26
V000061,2,15120000.0,39.07,42.92,0,0,SYNDICATE_034,ACTIVE_PARTICIPANT,False,32.8
V000062,6,30720000.0,49.48166666666666,57.68,0,3,SYNDICATE_099,PRIMARY_RINGLEADER,True,62.86
V000063,4,16650000.0,49.275,58.54,0,1,SYNDICATE_081,ACTIVE_PARTICIPANT,False,43.13
V000064,4,21790000.0,51.1175,56.1,0,2,SYNDICATE_057,PRIMARY_RINGLEADER,True,62.89
V000065,3,21110000.0,51.48,52.59,0,3,SYNDICATE_037,ACTIVE_PARTICIPANT,False,41.63
V000066,2,18700000.0,53.03,55.97,0,2,SYNDICATE_043,ACTIVE_PARTICIPANT,False,43.6
V000067,2,14410000.0,51.32,57.4,0,1,SYNDICATE_011,ACTIVE_PARTICIPANT,False,43.49
V000068,2,5030000.0,36.144999999999996,37.15,0,0,SYNDICATE_030,ACTIVE_PARTICIPANT,False,29.32
V000069,4,33280000.0,58.3675,61.54,0,4,SYNDICATE_091,PRIMARY_RINGLEADER,True,67.96
V000070,4,20230000.0,46.6725,48.89,0,0,SYNDICATE_054,ACTIVE_PARTICIPANT,False,38.22
V000071,2,8290000.0,38.61,40.03,0,0,SYNDICATE_070,ACTIVE_PARTICIPANT,False,31.46
V000072,1,6950000.0,53.82,53.82,0,1,SYNDICATE_008,ACTIVE_PARTICIPANT,False,43.06
V000073,2,12550000.0,53.515,58.38,0,1,SYNDICATE_050,ACTIVE_PARTICIPANT,False,44.76
V000074,1,8340000.0,41.22,41.22,0,0,SYNDICATE_098,ACTIVE_PARTICIPANT,False,32.98
V000075,1,2560000.0,41.15,41.15,0,0,SYNDICATE_062,ACTIVE_PARTICIPANT,False,32.92
V000076,1,4630000.0,43.26,43.26,0,0,SYNDICATE_039,ACTIVE_PARTICIPANT,False,34.61
V000077,1,8430000.0,48.31,48.31,0,0,SYNDICATE_069,ACTIVE_PARTICIPANT,False,38.65
V000078,1,2760000.0,38.38,38.38,0,0,SYNDICATE_029,ACTIVE_PARTICIPANT,False,30.7
V000079,3,20830000.0,50.70333333333334,53.12,0,2,SYNDICATE_035,ACTIVE_PARTICIPANT,False,41.53
V000080,2,11370000.0,44.955,46.35,0,0,SYNDICATE_004,ACTIVE_PARTICIPANT,False,36.52
V000081,2,9440000.0,41.099999999999994,47.65,0,0,SYNDICATE_086,ACTIVE_PARTICIPANT,False,35.5
V000082,2,15320000.0,51.175,53.14,0,1,SYNDICATE_060,ACTIVE_PARTICIPANT,False,41.73
V000083,3,23300000.0,49.553333333333335,52.11,0,1,SYNDICATE_069,PRIMARY_RINGLEADER,True,60.67
V000084,1,8850000.0,42.13,42.13,0,0,SYNDICATE_076,ACTIVE_PARTICIPANT,False,33.7
V000085,2,12260000.0,49.09,51.25,0,1,SYNDICATE_011,ACTIVE_PARTICIPANT,False,40.14
V000086,3,19630000.0,55.48,56.02,0,3,SYNDICATE_060,ACTIVE_PARTICIPANT,False,44.6
V000087,2,14870000.0,43.535,47.74,0,0,SYNDICATE_034,ACTIVE_PARTICIPANT,False,36.51
V000088,2,7840000.0,39.965,47.67,0,0,SYNDICATE_028,ACTIVE_PARTICIPANT,False,35.05
V000089,1,4060000.0,44.13,44.13,0,0,SYNDICATE_044,ACTIVE_PARTICIPANT,False,35.3
V000091,1,8720000.0,53.59,53.59,0,1,SYNDICATE_011,ACTIVE_PARTICIPANT,False,42.87
V000092,2,11570000.0,43.685,47.96,0,0,SYNDICATE_096,ACTIVE_PARTICIPANT,False,36.66
V000093,3,13130000.0,44.04666666666666,46.29,0,0,SYNDICATE_045,ACTIVE_PARTICIPANT,False,36.13
V000094,2,4570000.0,40.004999999999995,40.69,0,0,SYNDICATE_100,ACTIVE_PARTICIPANT,False,32.28
V000095,1,2860000.0,37.7,37.7,0,0,SYNDICATE_032,ACTIVE_PARTICIPANT,False,30.16
V000096,3,18550000.0,47.13,55.45,0,1,SYNDICATE_080,ACTIVE_PARTICIPANT,False,41.03
V000097,1,3840000.0,44.1,44.1,0,0,SYNDICATE_017,ACTIVE_PARTICIPANT,False,35.28
V000098,1,700000.0,36.09,36.09,0,0,SYNDICATE_073,ACTIVE_PARTICIPANT,False,28.87
V000099,2,13730000.0,44.53,44.92,0,0,SYNDICATE_090,ACTIVE_PARTICIPANT,False,35.78
V000100,1,2460000.0,41.11,41.11,0,0,SYNDICATE_022,ACTIVE_PARTICIPANT,False,32.89
V000101,3,14250000.0,47.24333333333333,54.65,0,1,SYNDICATE_100,ACTIVE_PARTICIPANT,False,40.76
V000102,1,7950000.0,46.34,46.34,0,0,SYNDICATE_014,ACTIVE_PARTICIPANT,False,37.07
V000103,2,13240000.0,44.535,45.68,0,0,SYNDICATE_040,ACTIVE_PARTICIPANT,False,36.09
V000104,2,15920000.0,44.885,49.61,0,0,SYNDICATE_051,ACTIVE_PARTICIPANT,False,37.8
V000105,4,26940000.0,52.4825,58.81,0,3,SYNDICATE_076,ACTIVE_PARTICIPANT,False,44.52
V000107,2,9450000.0,36.980000000000004,39.47,0,0,SYNDICATE_016,ACTIVE_PARTICIPANT,False,30.58
V000108,4,16150000.0,49.455,51.17,0,1,SYNDICATE_045,ACTIVE_PARTICIPANT,False,40.25
V000109,2,17610000.0,48.09,51.46,0,1,SYNDICATE_085,ACTIVE_PARTICIPANT,False,39.82
V000110,3,16110000.0,54.22666666666667,57.38,0,3,SYNDICATE_065,ACTIVE_PARTICIPANT,False,44.64
V000111,1,3620000.0,37.1,37.1,0,0,SYNDICATE_054,ACTIVE_PARTICIPANT,False,29.68
V000112,4,21690000.0,49.5025,52.97,0,3,SYNDICATE_056,ACTIVE_PARTICIPANT,False,40.99
V000113,1,3800000.0,41.58,41.58,0,0,SYNDICATE_091,ACTIVE_PARTICIPANT,False,33.26
V000115,3,10860000.0,43.373333333333335,45.5,0,0,SYNDICATE_079,ACTIVE_PARTICIPANT,False,35.55
V000116,2,12830000.0,49.485,49.96,0,0,SYNDICATE_060,ACTIVE_PARTICIPANT,False,39.78
V000117,1,1060000.0,36.13,36.13,0,0,SYNDICATE_035,ACTIVE_PARTICIPANT,False,28.9
V000119,3,28320000.0,55.61666666666667,57.96,0,3,SYNDICATE_032,PRIMARY_RINGLEADER,True,65.43
V000120,1,2950000.0,36.46,36.46,0,0,SYNDICATE_044,ACTIVE_PARTICIPANT,False,29.17
V000121,3,5930000.0,44.336666666666666,44.84,0,0,SYNDICATE_042,ACTIVE_PARTICIPANT,False,35.67
V000123,4,21900000.0,50.055,55.36,0,2,SYNDICATE_044,ACTIVE_PARTICIPANT,False,42.17
V000126,3,18910000.0,52.26666666666667,58.58,0,2,SYNDICATE_011,ACTIVE_PARTICIPANT,False,44.34
V000127,2,9820000.0,41.575,43.32,0,0,SYNDICATE_063,ACTIVE_PARTICIPANT,False,33.96
V000128,2,14680000.0,44.785,46.43,0,0,SYNDICATE_089,ACTIVE_PARTICIPANT,False,36.49
V000130,1,9960000.0,47.1,47.1,0,0,SYNDICATE_038,ACTIVE_PARTICIPANT,False,37.68
V000132,1,3640000.0,48.37,48.37,0,0,SYNDICATE_085,ACTIVE_PARTICIPANT,False,38.7
V000133,1,1510000.0,34.74,34.74,0,0,SYNDICATE_061,ACTIVE_PARTICIPANT,False,27.79
V000134,2,8610000.0,42.345,44.2,0,0,SYNDICATE_045,ACTIVE_PARTICIPANT,False,34.62
V000135,4,18150000.0,48.5375,53.65,0,2,SYNDICATE_043,ACTIVE_PARTICIPANT,False,40.88
V000136,2,12550000.0,48.35,51.42,0,1,SYNDICATE_035,ACTIVE_PARTICIPANT,False,39.91
V000137,3,16360000.0,44.419999999999995,48.87,0,0,SYNDICATE_030,PRIMARY_RINGLEADER,True,57.32
V000138,6,32950000.0,47.06666666666666,52.49,0,2,SYNDICATE_025,PRIMARY_RINGLEADER,True,59.82
V000139,4,19150000.0,46.5275,49.48,0,0,SYNDICATE_096,ACTIVE_PARTICIPANT,False,38.4
V000140,1,1380000.0,29.43,29.43,0,0,SYNDICATE_025,ACTIVE_PARTICIPANT,False,23.54
V000141,3,18890000.0,50.34666666666667,55.34,0,2,SYNDICATE_036,ACTIVE_PARTICIPANT,False,42.27
V000145,1,5660000.0,33.55,33.55,0,0,SYNDICATE_017,ACTIVE_PARTICIPANT,False,26.84
V000146,2,9220000.0,43.16,44.86,0,0,SYNDICATE_007,ACTIVE_PARTICIPANT,False,35.21
V000147,1,8080000.0,40.67,40.67,0,0,SYNDICATE_090,ACTIVE_PARTICIPANT,False,32.54
V000148,1,8620000.0,42.97,42.97,0,0,SYNDICATE_014,ACTIVE_PARTICIPANT,False,34.38
V000149,1,9220000.0,45.56,45.56,0,0,SYNDICATE_037,ACTIVE_PARTICIPANT,False,36.45
V000150,2,13760000.0,47.79,49.46,0,0,SYNDICATE_057,ACTIVE_PARTICIPANT,False,38.9
V000151,2,11360000.0,41.72,45.1,0,0,SYNDICATE_007,ACTIVE_PARTICIPANT,False,34.73
V000152,5,29380000.0,56.57000000000001,62.3,0,5,SYNDICATE_015,PRIMARY_RINGLEADER,True,67.55
V000153,1,6020000.0,37.37,37.37,0,0,SYNDICATE_063,ACTIVE_PARTICIPANT,False,29.9
V000154,2,11800000.0,47.945,50.06,0,1,SYNDICATE_081,ACTIVE_PARTICIPANT,False,39.2
V000155,1,1810000.0,40.98,40.98,0,0,SYNDICATE_020,ACTIVE_PARTICIPANT,False,32.78
V000156,2,11240000.0,48.56,50.62,0,1,SYNDICATE_011,ACTIVE_PARTICIPANT,False,39.67
V000157,2,14070000.0,46.92,48.73,0,0,SYNDICATE_072,ACTIVE_PARTICIPANT,False,38.26
V000158,3,18060000.0,46.53,49.29,0,0,SYNDICATE_077,ACTIVE_PARTICIPANT,False,38.33
V000159,2,8260000.0,39.480000000000004,45.84,0,0,SYNDICATE_100,ACTIVE_PARTICIPANT,False,34.13
V000160,5,30760000.0,54.40599999999999,58.24,0,5,SYNDICATE_058,PRIMARY_RINGLEADER,True,65.06
V000161,4,29140000.0,57.9775,64.88,0,4,SYNDICATE_076,PRIMARY_RINGLEADER,True,69.14
V000162,1,1940000.0,32.12,32.12,0,0,SYNDICATE_073,ACTIVE_PARTICIPANT,False,25.7
V000163,1,2610000.0,41.43,41.43,0,0,SYNDICATE_079,ACTIVE_PARTICIPANT,False,33.14
V000164,6,33910000.0,53.20333333333334,63.99,0,5,SYNDICATE_027,PRIMARY_RINGLEADER,True,66.88
V000165,1,6600000.0,48.41,48.41,0,0,SYNDICATE_085,ACTIVE_PARTICIPANT,False,38.73
V000166,2,11120000.0,49.900000000000006,54.09,0,1,SYNDICATE_031,ACTIVE_PARTICIPANT,False,41.6
V000167,2,15340000.0,46.33,47.41,0,0,SYNDICATE_010,ACTIVE_PARTICIPANT,False,37.5
V000168,1,2910000.0,38.01,38.01,0,0,SYNDICATE_053,ACTIVE_PARTICIPANT,False,30.41
V000169,3,17790000.0,42.31,45.76,0,0,SYNDICATE_038,ACTIVE_PARTICIPANT,False,35.23
V000170,4,22120000.0,52.66,58.57,0,3,SYNDICATE_037,PRIMARY_RINGLEADER,True,64.49
V000171,2,9370000.0,48.19,55.6,0,1,SYNDICATE_010,ACTIVE_PARTICIPANT,False,41.52
V000172,1,1760000.0,40.54,40.54,0,0,SYNDICATE_081,ACTIVE_PARTICIPANT,False,32.43
V000173,2,4260000.0,31.02,31.07,0,0,SYNDICATE_055,ACTIVE_PARTICIPANT,False,24.84
V000174,3,22940000.0,57.03666666666667,62.38,0,3,SYNDICATE_029,PRIMARY_RINGLEADER,True,67.77
V000176,1,7060000.0,48.98,48.98,0,0,SYNDICATE_022,ACTIVE_PARTICIPANT,False,39.18
V000177,2,12610000.0,45.43000000000001,46.09,0,0,SYNDICATE_096,ACTIVE_PARTICIPANT,False,36.61
V000178,1,1670000.0,34.44,34.44,0,0,SYNDICATE_057,ACTIVE_PARTICIPANT,False,27.55
V000179,2,10160000.0,38.760000000000005,44.28,0,0,SYNDICATE_089,ACTIVE_PARTICIPANT,False,33.22
V000180,6,38650000.0,56.04333333333333,59.88,0,6,SYNDICATE_035,PRIMARY_RINGLEADER,True,66.37
V000183,4,20070000.0,47.215,53.68,0,1,SYNDICATE_095,ACTIVE_PARTICIPANT,False,40.36
V000184,1,1320000.0,31.86,31.86,0,0,SYNDICATE_033,ACTIVE_PARTICIPANT,False,25.49
V000185,3,15710000.0,40.346666666666664,43.55,0,0,SYNDICATE_030,ACTIVE_PARTICIPANT,False,33.56
V000186,2,12540000.0,40.769999999999996,43.07,0,0,SYNDICATE_098,ACTIVE_PARTICIPANT,False,33.54
V000188,3,16920000.0,42.80666666666667,43.24,0,0,SYNDICATE_067,ACTIVE_PARTICIPANT,False,34.42
V000189,1,3710000.0,36.85,36.85,0,0,SYNDICATE_024,ACTIVE_PARTICIPANT,False,29.48
V000190,2,10390000.0,39.28,42.88,0,0,SYNDICATE_082,ACTIVE_PARTICIPANT,False,32.86
V000191,2,14500000.0,51.065,51.65,0,2,SYNDICATE_061,ACTIVE_PARTICIPANT,False,41.09
V000192,2,11920000.0,44.735,47.35,0,0,SYNDICATE_043,ACTIVE_PARTICIPANT,False,36.83
V000193,2,9290000.0,43.735,43.81,0,0,SYNDICATE_021,ACTIVE_PARTICIPANT,False,35.02
V000194,2,8390000.0,44.715,51.86,0,1,SYNDICATE_089,ACTIVE_PARTICIPANT,False,38.63
V000195,1,2890000.0,38.69,38.69,0,0,SYNDICATE_085,ACTIVE_PARTICIPANT,False,30.95
V000196,1,1820000.0,33.96,33.96,0,0,SYNDICATE_005,ACTIVE_PARTICIPANT,False,27.17
V000197,2,17450000.0,58.365,59.7,0,2,SYNDICATE_041,ACTIVE_PARTICIPANT,False,47.23
V000198,1,8500000.0,45.53,45.53,0,0,SYNDICATE_015,ACTIVE_PARTICIPANT,False,36.42
V000199,2,7610000.0,37.75,38.86,0,0,SYNDICATE_001,ACTIVE_PARTICIPANT,False,30.64
V000200,5,31430000.0,55.166,58.32,0,5,SYNDICATE_053,ACTIVE_PARTICIPANT,False,45.39
V000202,1,6630000.0,51.91,51.91,0,1,SYNDICATE_097,ACTIVE_PARTICIPANT,False,41.53
V000203,3,24050000.0,50.580000000000005,52.26,0,2,SYNDICATE_098,PRIMARY_RINGLEADER,True,61.14
V000204,2,10500000.0,45.644999999999996,49.11,0,0,SYNDICATE_035,ACTIVE_PARTICIPANT,False,37.9
V000205,1,7140000.0,40.44,40.44,0,0,SYNDICATE_037,ACTIVE_PARTICIPANT,False,32.35
V000206,1,7650000.0,41.31,41.31,0,0,SYNDICATE_016,ACTIVE_PARTICIPANT,False,33.05
V000207,1,8970000.0,46.48,46.48,0,0,SYNDICATE_031,ACTIVE_PARTICIPANT,False,37.18
V000208,2,14160000.0,43.989999999999995,45.26,0,0,SYNDICATE_071,ACTIVE_PARTICIPANT,False,35.7
V000209,4,22380000.0,51.8175,54.42,0,3,SYNDICATE_053,ACTIVE_PARTICIPANT,False,42.5
V000210,1,5900000.0,42.57,42.57,0,0,SYNDICATE_015,ACTIVE_PARTICIPANT,False,34.06
V000211,5,18390000.0,52.705999999999996,59.78,0,5,SYNDICATE_083,PRIMARY_RINGLEADER,True,64.99
V000212,1,7990000.0,40.26,40.26,0,0,SYNDICATE_092,ACTIVE_PARTICIPANT,False,32.21
V000213,2,11670000.0,53.120000000000005,56.5,0,1,SYNDICATE_091,ACTIVE_PARTICIPANT,False,43.85
V000214,1,8140000.0,45.37,45.37,0,0,SYNDICATE_062,ACTIVE_PARTICIPANT,False,36.3
V000215,5,37290000.0,60.86999999999999,67.6,0,5,SYNDICATE_059,PRIMARY_RINGLEADER,True,71.39
V000216,1,7850000.0,44.25,44.25,0,0,SYNDICATE_050,ACTIVE_PARTICIPANT,False,35.4
V000217,2,2640000.0,35.565,36.46,0,0,SYNDICATE_066,ACTIVE_PARTICIPANT,False,28.81
V000218,3,22090000.0,49.71666666666667,55.25,0,2,SYNDICATE_036,PRIMARY_RINGLEADER,True,61.99
V000219,2,4920000.0,49.035,52.85,0,1,SYNDICATE_065,ACTIVE_PARTICIPANT,False,40.75
V000220,3,15380000.0,48.053333333333335,50.34,0,1,SYNDICATE_037,ACTIVE_PARTICIPANT,False,39.36
V000223,3,16670000.0,45.623333333333335,48.4,0,0,SYNDICATE_045,ACTIVE_PARTICIPANT,False,37.61
V000224,3,11310000.0,41.38666666666666,53.11,0,1,SYNDICATE_098,ACTIVE_PARTICIPANT,False,37.8
V000225,1,4990000.0,49.14,49.14,0,0,SYNDICATE_059,ACTIVE_PARTICIPANT,False,39.31
V000227,2,18290000.0,47.435,48.32,0,0,SYNDICATE_050,ACTIVE_PARTICIPANT,False,38.3
V000228,3,23150000.0,48.129999999999995,51.86,0,1,SYNDICATE_006,PRIMARY_RINGLEADER,True,60.0
V000229,3,21780000.0,56.550000000000004,62.31,0,3,SYNDICATE_091,ACTIVE_PARTICIPANT,False,47.54
V000231,2,6650000.0,43.345,47.02,0,0,SYNDICATE_005,ACTIVE_PARTICIPANT,False,36.15
V000232,2,5110000.0,47.655,49.54,0,0,SYNDICATE_076,ACTIVE_PARTICIPANT,False,38.88
V000233,1,6580000.0,45.41,45.41,0,0,SYNDICATE_057,ACTIVE_PARTICIPANT,False,36.33
V000234,5,23660000.0,54.924,59.13,0,5,SYNDICATE_059,ACTIVE_PARTICIPANT,False,45.62
V000235,4,33030000.0,55.3675,60.72,0,3,SYNDICATE_053,ACTIVE_PARTICIPANT,False,46.44
V000236,3,10140000.0,48.68666666666667,51.75,0,2,SYNDICATE_061,ACTIVE_PARTICIPANT,False,40.17
V000237,5,31300000.0,53.348,59.38,0,4,SYNDICATE_080,PRIMARY_RINGLEADER,True,65.09
V000239,2,15750000.0,45.875,46.92,0,0,SYNDICATE_041,ACTIVE_PARTICIPANT,False,37.12
V000240,3,16520000.0,44.36666666666667,47.44,0,0,SYNDICATE_080,ACTIVE_PARTICIPANT,False,36.72
V000241,2,13060000.0,42.785,45.13,0,0,SYNDICATE_081,ACTIVE_PARTICIPANT,False,35.17
V000242,3,14100000.0,46.48666666666666,49.05,0,0,SYNDICATE_096,ACTIVE_PARTICIPANT,False,38.21
V000243,1,4980000.0,46.55,46.55,0,0,SYNDICATE_013,ACTIVE_PARTICIPANT,False,37.24
V000244,2,7610000.0,41.985,46.84,0,0,SYNDICATE_022,ACTIVE_PARTICIPANT,False,35.53
V000245,1,6830000.0,35.26,35.26,0,0,SYNDICATE_006,ACTIVE_PARTICIPANT,False,28.21
V000246,2,7970000.0,45.57,49.06,0,0,SYNDICATE_038,ACTIVE_PARTICIPANT,False,37.85
V000247,3,14070000.0,54.43666666666667,70.03,0,2,SYNDICATE_056,ACTIVE_PARTICIPANT,False,49.79
V000248,1,4260000.0,41.43,41.43,0,0,SYNDICATE_068,ACTIVE_PARTICIPANT,False,33.14
V000250,2,6400000.0,43.31,45.11,0,0,SYNDICATE_023,ACTIVE_PARTICIPANT,False,35.37
V000251,2,14270000.0,46.445,48.19,0,0,SYNDICATE_049,PRIMARY_RINGLEADER,True,57.85
V000253,3,9970000.0,39.46666666666666,40.66,0,0,SYNDICATE_030,ACTIVE_PARTICIPANT,False,32.05
V000254,1,6090000.0,44.64,44.64,0,0,SYNDICATE_059,ACTIVE_PARTICIPANT,False,35.71
V000255,4,15300000.0,46.7625,48.98,0,0,SYNDICATE_060,ACTIVE_PARTICIPANT,False,38.3
V000256,1,9160000.0,43.37,43.37,0,0,SYNDICATE_021,ACTIVE_PARTICIPANT,False,34.7
V000257,1,2320000.0,37.27,37.27,0,0,SYNDICATE_045,ACTIVE_PARTICIPANT,False,29.82
V000258,1,2660000.0,36.23,36.23,0,0,SYNDICATE_082,ACTIVE_PARTICIPANT,False,28.98
V000259,1,9040000.0,53.52,53.52,0,1,SYNDICATE_059,ACTIVE_PARTICIPANT,False,42.82
V000260,2,12890000.0,42.745000000000005,44.77,0,0,SYNDICATE_050,ACTIVE_PARTICIPANT,False,35.01
V000261,1,9960000.0,49.9,49.9,0,0,SYNDICATE_031,ACTIVE_PARTICIPANT,False,39.92
V000264,4,20670000.0,52.864999999999995,58.76,0,3,SYNDICATE_085,PRIMARY_RINGLEADER,True,64.65
V000265,1,2550000.0,33.7,33.7,0,0,SYNDICATE_002,ACTIVE_PARTICIPANT,False,26.96
V000266,1,6200000.0,47.35,47.35,0,0,SYNDICATE_078,ACTIVE_PARTICIPANT,False,37.88
V000267,1,6220000.0,44.82,44.82,0,0,SYNDICATE_100,ACTIVE_PARTICIPANT,False,35.86
V000268,3,12790000.0,47.44,50.33,0,1,SYNDICATE_046,ACTIVE_PARTICIPANT,False,39.11
V000269,1,8620000.0,41.73,41.73,0,0,SYNDICATE_080,ACTIVE_PARTICIPANT,False,33.38
V000270,3,11290000.0,46.14666666666667,50.57,0,1,SYNDICATE_081,ACTIVE_PARTICIPANT,False,38.69
V000272,2,3950000.0,39.775000000000006,40.46,0,0,SYNDICATE_057,ACTIVE_PARTICIPANT,False,32.09
V000274,1,4360000.0,39.79,39.79,0,0,SYNDICATE_038,ACTIVE_PARTICIPANT,False,31.83
V000275,2,10300000.0,44.04,46.17,0,0,SYNDICATE_023,ACTIVE_PARTICIPANT,False,36.08
V000276,3,17710000.0,41.300000000000004,43.06,0,0,SYNDICATE_070,ACTIVE_PARTICIPANT,False,33.74
V000277,3,16850000.0,54.26333333333334,56.46,0,3,SYNDICATE_065,ACTIVE_PARTICIPANT,False,44.29
V000278,4,22600000.0,53.182500000000005,56.45,0,3,SYNDICATE_033,PRIMARY_RINGLEADER,True,63.85
V000279,3,17740000.0,46.696666666666665,52.65,0,1,SYNDICATE_096,ACTIVE_PARTICIPANT,False,39.74
