Cluster_ID,Effective_Entity_ID,Entity_Type,MP_ID,Project_Category,Project_Count,Total_Split_Amount_INR,Average_Amount_INR,Min_Date,Max_Date,Span_Days,Unique_Vendors_Count,Vendors_Involved,Project_IDs,Is_Syndicate_Split,Threshold_Evasion_Flag,Work_Splitting_Risk_Score,Evidence_Reasons
SPLIT_00018,V016024,VENDOR,MP0089,Public Infrastructure,2,13280000.0,6640000.0,2025-04-18,2025-05-25,37,1,['V016024'],"['P00060456', 'P00059594']",False,True,57.5,"[""Work split across 2 contracts in category 'Public Infrastructure'"", 'Sanctioned within 37-day window', 'Statutory tender threshold circumvention: Total INR 13,280,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00019,V017156,VENDOR,MP0056,Sports,2,6600000.0,3300000.0,2025-03-10,2025-04-02,23,1,['V017156'],"['P00014624', 'P00055080']",False,True,62.5,"[""Work split across 2 contracts in category 'Sports'"", 'Sanctioned within short 23-day window (<= 30 days)', 'Statutory tender threshold circumvention: Total INR 6,600,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00020,V019194,VENDOR,MP0058,Agriculture,2,17670000.0,8835000.0,2025-06-02,2025-06-29,27,1,['V019194'],"['P00052881', 'P00067046']",False,False,47.5,"[""Work split across 2 contracts in category 'Agriculture'"", 'Sanctioned within short 27-day window (<= 30 days)', 'High cumulative value INR 17,670,000']"
SPLIT_00021,V019469,VENDOR,MP0073,Public Infrastructure,2,6780000.0,3390000.0,2025-07-06,2025-07-07,1,1,['V019469'],"['P00090423', 'P00071864']",False,True,67.5,"[""Work split across 2 contracts in category 'Public Infrastructure'"", 'Sanctioned in rapid succession within 1 days (<= 14 days)', 'Statutory tender threshold circumvention: Total INR 6,780,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00022,V022078,VENDOR,MP0087,Road,2,13280000.0,6640000.0,2025-04-19,2025-06-12,54,1,['V022078'],"['P00074999', 'P00014706']",False,True,57.5,"[""Work split across 2 contracts in category 'Road'"", 'Sanctioned within 54-day window', 'Statutory tender threshold circumvention: Total INR 13,280,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00023,V022568,VENDOR,MP0003,Agriculture,2,15150000.0,7575000.0,2025-04-02,2025-04-09,7,1,['V022568'],"['P00075864', 'P00065266']",False,False,52.5,"[""Work split across 2 contracts in category 'Agriculture'"", 'Sanctioned in rapid succession within 7 days (<= 14 days)', 'High cumulative value INR 15,150,000']"
SPLIT_00024,V025258,VENDOR,MP0087,Education,2,8650000.0,4325000.0,2025-01-10,2025-02-11,32,1,['V025258'],"['P00046683', 'P00002144']",False,True,57.5,"[""Work split across 2 contracts in category 'Education'"", 'Sanctioned within 32-day window', 'Statutory tender threshold circumvention: Total INR 8,650,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00025,V026568,VENDOR,MP0092,Public Infrastructure,2,9130000.0,4565000.0,2025-06-25,2025-08-10,46,1,['V026568'],"['P00096531', 'P00011218']",False,True,57.5,"[""Work split across 2 contracts in category 'Public Infrastructure'"", 'Sanctioned within 46-day window', 'Statutory tender threshold circumvention: Total INR 9,130,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00026,V027414,VENDOR,MP0041,Sports,2,7510000.0,3755000.0,2025-07-19,2025-08-10,22,1,['V027414'],"['P00091554', 'P00082902']",False,True,62.5,"[""Work split across 2 contracts in category 'Sports'"", 'Sanctioned within short 22-day window (<= 30 days)', 'Statutory tender threshold circumvention: Total INR 7,510,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00027,V029796,VENDOR,MP0014,Sports,2,5280000.0,2640000.0,2025-01-20,2025-03-21,60,1,['V029796'],"['P00096573', 'P00024175']",False,True,57.5,"[""Work split across 2 contracts in category 'Sports'"", 'Sanctioned within 60-day window', 'Statutory tender threshold circumvention: Total INR 5,280,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00028,V030910,VENDOR,MP0043,Water Supply,2,16160000.0,8080000.0,2025-04-18,2025-06-07,50,1,['V030910'],"['P00024539', 'P00091944']",False,False,42.5,"[""Work split across 2 contracts in category 'Water Supply'"", 'Sanctioned within 50-day window', 'High cumulative value INR 16,160,000']"
SPLIT_00029,V031178,VENDOR,MP0004,Community Development,2,17910000.0,8955000.0,2025-06-28,2025-08-27,60,1,['V031178'],"['P00054271', 'P00029807']",False,False,42.5,"[""Work split across 2 contracts in category 'Community Development'"", 'Sanctioned within 60-day window', 'High cumulative value INR 17,910,000']"
SPLIT_00030,V031953,VENDOR,MP0065,Healthcare,2,8920000.0,4460000.0,2025-03-02,2025-03-17,15,1,['V031953'],"['P00065045', 'P00009212']",False,True,62.5,"[""Work split across 2 contracts in category 'Healthcare'"", 'Sanctioned within short 15-day window (<= 30 days)', 'Statutory tender threshold circumvention: Total INR 8,920,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00031,V037853,VENDOR,MP0035,Electricity,2,12110000.0,6055000.0,2025-06-01,2025-07-24,53,1,['V037853'],"['P00073957', 'P00083532']",False,True,57.5,"[""Work split across 2 contracts in category 'Electricity'"", 'Sanctioned within 53-day window', 'Statutory tender threshold circumvention: Total INR 12,110,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00032,V038061,VENDOR,MP0096,Community Development,2,12620000.0,6310000.0,2025-07-25,2025-07-28,3,1,['V038061'],"['P00089999', 'P00003988']",False,True,67.5,"[""Work split across 2 contracts in category 'Community Development'"", 'Sanctioned in rapid succession within 3 days (<= 14 days)', 'Statutory tender threshold circumvention: Total INR 12,620,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00033,V038178,VENDOR,MP0031,Road,2,4520000.0,2260000.0,2025-04-26,2025-05-05,9,1,['V038178'],"['P00098489', 'P00030146']",False,False,37.5,"[""Work split across 2 contracts in category 'Road'"", 'Sanctioned in rapid succession within 9 days (<= 14 days)']"
SPLIT_00034,V038621,VENDOR,MP0077,Healthcare,2,16360000.0,8180000.0,2025-02-05,2025-03-20,43,1,['V038621'],"['P00010859', 'P00016295']",False,False,42.5,"[""Work split across 2 contracts in category 'Healthcare'"", 'Sanctioned within 43-day window', 'High cumulative value INR 16,360,000']"
SPLIT_00035,V039467,VENDOR,MP0018,Healthcare,2,16320000.0,8160000.0,2025-04-22,2025-05-07,15,1,['V039467'],"['P00082259', 'P00019839']",False,False,47.5,"[""Work split across 2 contracts in category 'Healthcare'"", 'Sanctioned within short 15-day window (<= 30 days)', 'High cumulative value INR 16,320,000']"
SPLIT_00036,V040816,VENDOR,MP0045,Water Supply,2,14450000.0,7225000.0,2025-05-17,2025-05-17,0,1,['V040816'],"['P00096334', 'P00053698']",False,False,52.5,"[""Work split across 2 contracts in category 'Water Supply'"", 'Sanctioned in rapid succession within 0 days (<= 14 days)', 'High cumulative value INR 14,450,000']"
SPLIT_00037,V042712,VENDOR,MP0071,Sanitation,2,16020000.0,8010000.0,2025-03-03,2025-03-18,15,1,['V042712'],"['P00020681', 'P00055108']",False,False,47.5,"[""Work split across 2 contracts in category 'Sanitation'"", 'Sanctioned within short 15-day window (<= 30 days)', 'High cumulative value INR 16,020,000']"
SPLIT_00038,V042719,VENDOR,MP0016,Water Supply,2,12710000.0,6355000.0,2025-04-02,2025-06-01,60,1,['V042719'],"['P00076671', 'P00029930']",False,False,42.5,"[""Work split across 2 contracts in category 'Water Supply'"", 'Sanctioned within 60-day window', 'High cumulative value INR 12,710,000']"
SPLIT_00039,V042728,VENDOR,MP0038,Electricity,2,17380000.0,8690000.0,2025-01-09,2025-02-18,40,1,['V042728'],"['P00080275', 'P00078848']",False,False,42.5,"[""Work split across 2 contracts in category 'Electricity'"", 'Sanctioned within 40-day window', 'High cumulative value INR 17,380,000']"
SPLIT_00040,V045937,VENDOR,MP0067,Sanitation,2,13600000.0,6800000.0,2025-01-06,2025-02-27,52,1,['V045937'],"['P00068562', 'P00035348']",False,False,42.5,"[""Work split across 2 contracts in category 'Sanitation'"", 'Sanctioned within 52-day window', 'High cumulative value INR 13,600,000']"
SPLIT_00041,V046378,VENDOR,MP0063,Community Development,2,11470000.0,5735000.0,2025-03-07,2025-04-18,42,1,['V046378'],"['P00001679', 'P00048903']",False,True,57.5,"[""Work split across 2 contracts in category 'Community Development'"", 'Sanctioned within 42-day window', 'Statutory tender threshold circumvention: Total INR 11,470,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
SPLIT_00042,V047060,VENDOR,MP0036,Road,2,15460000.0,7730000.0,2025-04-04,2025-05-20,46,1,['V047060'],"['P00041392', 'P00021655']",False,False,42.5,"[""Work split across 2 contracts in category 'Road'"", 'Sanctioned within 46-day window', 'High cumulative value INR 15,460,000']"
SPLIT_00043,V047607,VENDOR,MP0097,Water Supply,2,12430000.0,6215000.0,2025-05-03,2025-07-02,60,1,['V047607'],"['P00001154', 'P00002458']",False,False,42.5,"[""Work split across 2 contracts in category 'Water Supply'"", 'Sanctioned within 60-day window', 'High cumulative value INR 12,430,000']"
SPLIT_00044,V048613,VENDOR,MP0021,Sanitation,2,13050000.0,6525000.0,2025-03-31,2025-04-27,27,1,['V048613'],"['P00016890', 'P00091361']",False,False,47.5,"[""Work split across 2 contracts in category 'Sanitation'"", 'Sanctioned within short 27-day window (<= 30 days)', 'High cumulative value INR 13,050,000']"
SPLIT_00045,V049855,VENDOR,MP0007,Education,2,12810000.0,6405000.0,2025-03-23,2025-05-18,56,1,['V049855'],"['P00029723', 'P00035088']",False,True,57.5,"[""Work split across 2 contracts in category 'Education'"", 'Sanctioned within 56-day window', 'Statutory tender threshold circumvention: Total INR 12,810,000 exceeds threshold INR 5,000,000 while individual contracts remain below']"
