Project_ID,ML_Anomaly_Score,Graph_Risk_Score,Photo_Risk_Score,Work_Splitting_Score,Vendor_Concentration_Score,Utilization_Risk_Score,Final_Risk_Score,Risk_Level
P00000172,30,33,0,19,69,3,25,Low
P00000173,74,14,0,8,30,51,29,Low
P00000174,6,11,0,9,8,4,6,Low
P00000175,15,25,0,5,18,7,11,Low
P00000176,27,23,0,14,14,2,13,Low
P00000177,28,18,0,21,63,5,22,Low
P00000178,34,19,0,11,35,1,16,Low
P00000179,21,7,0,7,24,1,10,Low
P00000180,33,5,0,7,35,1,13,Low
P00000181,7,25,0,22,14,5,12,Low
P00000182,23,20,0,18,12,3,12,Low
P00000183,8,19,30,5,7,7,12,Low
P00000184,67,15,0,6,82,51,36,Medium
P00000185,22,21,0,16,11,4,12,Low
P00000186,31,34,70,27,6,0,28,Low
P00000187,33,27,0,9,12,1,13,Low
P00000188,35,33,0,7,33,2,18,Low
P00000189,11,14,0,34,16,3,13,Low
P00000190,26,29,0,11,31,5,17,Low
P00000191,35,77,0,19,12,0,23,Low
P00000192,26,21,0,27,14,0,14,Low
P00000193,6,11,30,17,25,1,15,Low
P00000194,12,7,0,19,31,0,11,Low
P00000195,30,6,0,7,21,4,11,Low
P00000196,23,24,0,33,31,5,19,Low
P00000197,24,20,0,9,17,39,18,Low
P00000198,13,31,0,5,10,3,10,Low
P00000199,16,17,0,21,31,3,14,Low
P00000200,18,30,0,14,22,1,14,Low
P00000201,20,33,0,33,70,1,26,Low
P00000202,21,56,0,35,12,2,21,Low
P00000203,55,85,0,34,5,41,36,Medium
P00000204,10,13,0,29,27,3,13,Low
P00000205,31,33,0,22,33,2,20,Low
P00000206,26,30,0,21,9,6,15,Low
P00000207,5,17,0,30,31,1,14,Low
P00000208,6,21,0,5,9,5,7,Low
P00000209,5,23,0,22,6,2,9,Low
P00000210,33,16,0,31,28,0,18,Low
P00000211,25,29,0,15,81,7,26,Low
P00000212,51,26,0,11,17,49,25,Low
P00000213,85,23,0,5,20,41,29,Low
P00000214,12,5,0,24,13,2,9,Low
P00000215,9,28,0,27,21,0,14,Low
P00000216,14,14,0,22,31,0,13,Low
P00000217,7,17,0,27,15,1,11,Low
P00000218,14,5,0,32,90,1,23,Low
P00000219,21,18,0,19,71,3,22,Low
P00000220,17,15,0,11,17,4,10,Low
P00000221,14,11,0,14,22,6,11,Low
P00000222,25,11,0,10,9,3,9,Low
P00000223,20,23,0,11,17,0,11,Low
P00000224,10,7,0,6,26,5,9,Low
P00000225,17,5,0,27,11,1,10,Low
P00000226,25,9,0,11,23,4,12,Low
P00000227,21,17,70,28,24,2,27,Low
P00000228,28,14,0,18,31,1,15,Low
P00000229,21,27,0,22,21,4,15,Low
P00000230,32,15,0,32,23,5,17,Low
P00000231,18,13,70,32,12,3,24,Low
P00000232,13,7,0,29,33,1,13,Low
P00000233,25,41,0,10,24,4,17,Low
P00000234,12,27,0,20,48,2,18,Low
P00000235,11,6,0,23,22,21,13,Low
P00000236,34,47,0,16,13,0,18,Low
P00000237,33,11,0,14,5,5,11,Low
P00000238,30,28,0,33,18,5,19,Low
P00000239,8,32,0,7,7,7,10,Low
P00000240,27,52,0,18,21,7,20,Low
P00000241,15,35,0,17,34,5,17,Low
P00000242,27,65,0,6,24,31,25,Low
P00000243,32,6,70,26,19,6,26,Low
P00000244,16,94,0,5,18,3,22,Low
P00000245,9,12,0,18,17,24,13,Low
P00000246,16,16,0,6,43,2,13,Low
P00000247,29,5,0,9,22,4,11,Low
P00000248,17,27,0,32,25,6,17,Low
P00000249,20,11,0,26,12,3,12,Low
P00000250,19,75,0,33,6,4,22,Low
P00000251,5,19,0,22,8,3,9,Low
P00000252,7,13,70,16,35,6,24,Low
P00000253,23,64,0,5,18,0,18,Low
P00000254,13,28,0,9,13,6,11,Low
P00000255,34,18,0,25,12,6,15,Low
P00000256,28,25,0,7,23,3,14,Low
P00000257,22,42,0,27,29,1,20,Low
P00000258,58,21,0,15,14,46,25,Low
P00000259,12,35,0,18,34,6,17,Low
P00000260,11,10,0,14,18,2,9,Low
P00000261,31,29,0,31,13,5,18,Low
P00000262,6,25,0,20,25,2,13,Low
P00000263,13,18,0,6,14,3,9,Low
P00000264,19,29,70,12,31,1,27,Low
P00000265,11,5,0,5,13,21,9,Low
P00000266,29,33,0,16,73,6,26,Low
P00000267,6,24,0,28,17,0,12,Low
P00000268,15,16,0,22,34,2,14,Low
P00000269,12,23,0,10,14,4,10,Low
P00000270,35,30,0,25,34,4,21,Low
P00000271,33,30,0,24,9,6,17,Low
P00000272,7,31,0,24,35,1,16,Low
P00000273,33,33,0,26,27,3,20,Low
P00000274,40,12,0,10,7,44,18,Low
P00000275,30,61,70,7,68,6,40,Medium
P00000276,35,21,0,29,8,1,15,Low
P00000277,6,27,0,33,15,0,13,Low
P00000278,31,47,0,30,35,2,24,Low
P00000279,17,20,0,24,6,3,11,Low
P00000280,30,11,30,24,31,1,21,Low
P00000281,14,11,0,23,7,4,9,Low
P00000282,22,16,0,6,30,3,12,Low
P00000283,33,26,0,30,35,6,21,Low
P00000284,24,20,0,11,27,2,14,Low
P00000285,34,24,0,33,12,2,17,Low
P00000286,23,25,0,33,16,27,20,Low
P00000287,11,16,0,24,25,6,13,Low
P00000288,21,11,0,32,13,7,14,Low
P00000289,23,20,0,24,28,0,15,Low
P00000290,34,19,0,27,19,5,17,Low
P00000291,25,32,0,20,90,1,28,Low
P00000292,20,9,0,33,9,5,12,Low
P00000293,10,10,0,32,17,5,12,Low
P00000294,27,15,0,5,28,6,13,Low
P00000295,22,16,0,8,74,1,20,Low
P00000296,8,18,0,17,23,2,11,Low
P00000297,20,56,0,7,16,28,21,Low
P00000298,28,17,0,18,16,5,14,Low
P00000299,14,69,0,23,21,4,21,Low
P00000300,16,28,0,34,29,1,18,Low
P00000301,15,84,0,12,53,1,27,Low
P00000302,12,26,0,20,15,1,12,Low
P00000303,17,85,0,30,19,2,25,Low
P00000304,16,25,0,13,6,27,14,Low
P00000305,25,29,30,26,26,6,23,Low
P00000306,6,11,0,10,18,0,7,Low
P00000307,32,70,0,29,5,6,23,Low
P00000308,26,27,0,19,22,2,16,Low
P00000309,35,16,70,25,11,4,26,Low
P00000310,23,11,0,5,8,3,8,Low
P00000311,64,70,70,15,32,51,50,Medium
P00000312,13,8,0,29,20,1,11,Low
P00000313,30,13,0,29,33,0,17,Low
P00000314,6,21,0,5,72,1,17,Low
P00000315,14,67,0,19,8,35,23,Low
P00000316,15,6,0,27,26,0,12,Low
P00000317,28,20,70,21,18,1,26,Low
P00000318,33,14,0,17,18,0,13,Low
P00000319,26,33,0,15,18,7,16,Low
P00000320,30,12,0,30,52,35,26,Low
P00000321,6,31,0,28,25,2,15,Low
P00000322,27,31,0,8,75,0,23,Low
P00000323,18,22,0,31,7,0,13,Low
P00000324,23,21,0,27,28,30,21,Low
P00000325,18,31,0,34,31,0,19,Low
P00000326,13,25,0,33,12,5,14,Low
P00000327,20,16,0,29,19,4,14,Low
P00000328,28,18,0,13,32,0,15,Low
P00000329,14,5,0,33,20,4,12,Low
P00000330,23,18,0,7,55,5,18,Low
P00000331,25,69,0,7,86,0,31,Low
P00000332,8,26,0,15,9,35,15,Low
P00000333,29,26,0,23,30,0,18,Low
P00000334,33,16,0,25,25,6,17,Low
P00000335,5,29,0,12,6,6,9,Low
P00000336,21,19,0,5,5,4,9,Low
P00000337,32,8,0,34,32,4,18,Low
P00000338,7,24,0,21,24,2,13,Low
P00000339,21,17,0,34,72,0,24,Low
P00000340,10,26,0,18,14,2,11,Low
P00000341,13,19,0,15,78,4,21,Low
P00000342,24,8,0,22,33,1,14,Low
P00000343,10,20,0,16,5,5,9,Low
P00000344,5,8,0,10,10,5,6,Low
P00000345,72,23,0,7,24,56,30,Low
P00000346,22,24,0,5,32,0,13,Low
P00000347,11,25,0,25,85,2,24,Low
P00000348,34,15,0,9,15,7,13,Low
P00000349,25,28,0,8,7,1,11,Low
P00000350,20,25,0,7,12,7,11,Low
P00000351,35,78,0,8,18,0,23,Low
P00000352,23,6,0,31,13,7,13,Low
P00000353,35,23,0,28,15,3,17,Low
P00000354,30,21,0,35,10,5,16,Low
P00000355,17,22,0,31,8,7,14,Low
P00000356,6,16,0,5,13,2,7,Low
P00000357,16,28,0,17,66,6,22,Low
P00000358,20,9,0,33,28,6,16,Low
P00000359,10,20,0,16,31,4,13,Low
P00000360,14,35,0,7,8,2,11,Low
P00000361,7,30,70,30,16,5,26,Low
P00000362,8,8,0,22,20,5,10,Low
P00000363,11,9,0,8,28,7,10,Low
P00000364,10,28,0,31,78,7,25,Low
P00000365,29,22,0,32,19,5,17,Low
P00000366,7,23,0,12,13,2,9,Low
P00000367,9,25,0,23,15,6,13,Low
P00000368,30,19,0,18,8,1,12,Low
P00000369,27,21,0,31,11,0,15,Low
P00000370,17,65,0,10,29,5,21,Low
P00000371,27,44,0,19,5,2,16,Low
P00000372,9,88,0,9,23,3,22,Low
P00000373,12,21,0,15,29,2,13,Low
P00000374,72,28,0,23,12,44,29,Low
P00000375,9,12,0,34,30,2,14,Low
P00000376,6,21,0,15,44,4,15,Low
P00000377,16,26,0,10,18,23,15,Low
P00000378,22,13,0,17,30,6,14,Low
P00000379,29,11,0,27,10,3,13,Low
P00000380,7,34,0,11,11,7,11,Low
P00000381,74,8,0,12,30,55,29,Low
P00000382,16,31,0,26,11,3,14,Low
P00000383,10,13,0,16,82,2,20,Low
P00000384,33,11,0,12,13,3,12,Low
P00000385,43,5,0,10,27,42,21,Low
P00000386,12,30,0,6,86,1,22,Low
P00000387,5,32,0,33,13,4,14,Low
P00000388,37,70,0,6,6,52,28,Low
P00000389,14,29,0,21,29,5,16,Low
P00000390,10,25,0,10,32,3,13,Low
P00000391,15,42,0,31,8,5,16,Low
P00000392,21,9,0,20,31,0,13,Low
P00000393,8,91,0,20,32,0,25,Low
P00000394,10,12,0,5,32,7,11,Low
P00000395,29,20,0,31,6,7,15,Low
P00000396,31,16,0,32,58,2,23,Low
P00000397,26,29,70,26,6,5,27,Low
P00000398,58,13,0,16,25,49,26,Low
P00000399,14,18,0,30,33,6,16,Low
P00000400,11,21,0,15,11,0,9,Low
P00000401,33,25,0,11,73,0,23,Low
P00000402,28,13,0,30,31,4,17,Low
P00000403,17,6,0,28,17,2,11,Low
P00000404,14,58,0,17,21,3,18,Low
P00000405,7,35,0,16,32,1,15,Low
P00000406,9,35,0,5,26,1,12,Low
P00000407,26,25,0,33,29,5,19,Low
P00000408,27,11,0,17,18,2,12,Low
P00000409,25,20,0,10,10,6,11,Low
P00000410,7,19,0,6,20,6,9,Low
P00000411,23,23,0,27,7,1,13,Low
P00000412,24,27,0,14,21,0,14,Low
P00000413,29,25,0,10,31,3,16,Low
P00000414,22,64,0,27,16,2,21,Low
P00000415,27,24,0,28,24,34,22,Low
P00000416,30,7,0,17,32,3,14,Low
P00000417,26,6,0,29,43,5,18,Low
P00000418,12,24,0,31,9,3,13,Low
P00000419,26,79,0,25,60,7,32,Low
P00000420,20,28,0,22,33,1,17,Low
P00000421,23,6,0,25,13,4,11,Low
P00000422,17,33,0,12,20,4,14,Low
P00000423,14,5,0,32,79,33,27,Low
P00000424,29,32,70,5,34,6,29,Low
P00000425,35,17,0,26,8,0,14,Low
P00000426,10,43,0,30,14,0,16,Low
P00000427,8,15,70,15,26,2,22,Low
P00000428,26,6,0,5,18,1,9,Low
P00000429,34,33,0,19,32,2,20,Low
P00000430,18,27,0,10,14,4,12,Low
P00000431,10,12,0,23,13,6,10,Low
P00000432,32,5,30,33,12,0,18,Low
P00000433,26,26,0,19,26,1,16,Low
P00000434,32,20,0,29,10,4,15,Low
P00000435,17,29,0,26,29,3,17,Low
P00000436,23,24,0,32,24,38,23,Low
P00000437,14,52,0,19,29,4,19,Low
P00000438,23,16,0,15,32,6,15,Low
P00000439,6,17,0,13,19,3,9,Low
P00000440,16,5,0,12,14,0,7,Low
P00000441,33,31,0,16,19,2,16,Low
P00000442,31,31,30,21,11,6,21,Low
P00000443,17,20,0,26,20,4,14,Low
P00000444,22,6,30,23,23,3,17,Low
P00000445,32,29,0,15,50,5,21,Low
P00000446,22,16,0,19,11,6,12,Low
P00000447,24,33,0,11,34,3,17,Low
P00000448,33,6,0,12,31,4,14,Low
P00000449,7,19,0,13,9,6,9,Low
P00000450,26,9,0,20,26,0,13,Low
P00000451,24,6,30,34,21,36,25,Low
P00000452,16,23,0,16,12,1,11,Low
P00000453,23,35,0,17,13,5,15,Low
P00000454,5,22,0,20,17,0,10,Low
P00000455,9,23,0,24,17,3,12,Low
P00000456,20,19,0,34,64,5,23,Low
P00000457,29,35,0,14,25,5,18,Low
P00000458,22,33,0,23,33,4,19,Low
P00000459,29,13,0,32,18,7,16,Low
P00000460,24,20,0,21,24,3,15,Low
P00000461,35,24,70,19,31,5,30,Low
P00000462,33,6,0,5,16,4,10,Low
P00000463,9,29,0,8,20,3,11,Low
P00000464,14,27,0,23,63,29,26,Low
P00000465,30,5,70,21,15,22,27,Low
P00000466,10,33,0,33,8,6,15,Low
P00000467,28,16,0,22,27,3,16,Low
P00000468,62,20,0,12,10,55,26,Low
P00000469,34,35,0,33,29,0,21,Low
P00000470,30,17,0,20,25,1,15,Low
P00000471,16,62,0,13,24,36,25,Low
P00000472,10,35,0,32,23,5,17,Low
P00000473,21,9,0,33,13,6,13,Low
P00000474,28,19,0,13,35,4,16,Low
P00000475,11,22,0,20,32,0,14,Low
P00000476,17,8,0,22,18,1,11,Low
P00000477,7,18,0,30,14,1,11,Low
P00000478,23,81,70,30,32,4,40,Medium
P00000479,29,24,0,19,56,6,22,Low
P00000480,16,28,0,28,14,6,15,Low
P00000481,27,5,0,18,9,2,10,Low
P00000482,33,12,0,13,20,20,16,Low
P00000483,6,21,0,32,32,3,15,Low
P00000484,33,59,0,20,27,5,24,Low
P00000485,5,32,0,13,7,1,9,Low
P00000486,19,20,0,7,26,0,12,Low
P00000487,12,7,0,10,26,3,9,Low
P00000488,32,34,0,6,7,39,19,Low
P00000489,34,7,0,5,26,3,12,Low
P00000490,33,31,0,33,25,5,21,Low
P00000491,33,33,0,20,7,0,15,Low
P00000492,26,26,0,25,18,4,16,Low
P00000493,30,28,0,22,12,2,15,Low
P00000494,6,30,0,26,11,3,12,Low
P00000495,34,31,0,16,67,4,25,Low
P00000496,25,62,0,7,14,7,19,Low
P00000497,23,12,0,19,62,39,25,Low
P00000498,28,19,0,21,33,1,17,Low
P00000499,10,22,0,29,5,3,11,Low
P00000500,7,10,0,5,12,0,5,Low
P00000501,16,24,0,8,13,4,10,Low
P00000502,13,22,0,26,33,4,16,Low
P00000503,14,27,0,10,21,4,12,Low
P00000504,9,28,0,29,17,3,14,Low
P00000505,7,23,0,6,14,6,9,Low
P00000506,32,16,0,34,28,5,19,Low
P00000507,33,31,0,25,29,19,22,Low
P00000508,12,20,0,17,15,5,11,Low
P00000509,34,10,0,32,10,5,15,Low
P00000510,50,24,0,7,15,56,25,Low
P00000511,11,26,0,6,24,4,11,Low
P00000512,33,11,0,9,13,0,11,Low
P00000513,26,19,0,6,11,5,11,Low
P00000514,35,34,0,23,11,1,17,Low
P00000515,6,87,0,8,16,1,19,Low
P00000516,21,20,30,16,6,5,16,Low
P00000517,14,81,0,29,77,2,33,Low
P00000518,27,33,0,19,66,6,25,Low
P00000519,13,28,0,5,26,6,13,Low
P00000520,13,33,0,11,31,3,15,Low
P00000521,32,31,0,21,33,4,20,Low
P00000522,30,26,0,12,28,6,17,Low
P00000523,10,6,70,22,7,4,19,Low
P00000524,27,18,0,5,25,3,13,Low
P00000525,19,17,0,8,30,3,12,Low
P00000526,10,49,0,34,9,4,17,Low
P00000527,5,67,30,35,10,3,25,Low
P00000528,6,75,0,12,32,3,21,Low
P00000529,17,6,70,11,34,1,23,Low
P00000530,34,14,0,5,21,0,12,Low
P00000531,35,12,30,34,15,4,21,Low
P00000532,10,14,0,27,8,3,10,Low
P00000533,6,15,0,22,20,5,11,Low
P00000534,16,17,0,35,13,4,14,Low
P00000535,33,25,0,24,19,1,17,Low
P00000536,31,8,0,16,11,3,11,Low
P00000537,26,29,0,25,16,4,16,Low
P00000538,25,50,0,27,12,2,19,Low
P00000539,62,73,70,13,27,46,48,Medium
P00000540,5,10,0,13,22,5,9,Low
P00000541,10,18,0,18,23,3,12,Low
P00000542,18,62,0,16,62,6,27,Low
P00000543,6,48,30,27,16,39,27,Low
P00000544,9,23,0,29,33,3,16,Low
P00000545,30,8,0,7,7,1,8,Low
P00000546,8,12,0,15,8,0,7,Low
P00000547,16,28,0,22,7,2,12,Low
P00000548,62,11,70,18,12,58,38,Medium
P00000549,13,78,0,5,22,5,20,Low
P00000550,33,6,0,5,19,1,10,Low
P00000551,33,67,0,16,14,0,21,Low
P00000552,33,24,0,32,29,3,20,Low
P00000553,18,35,0,35,29,7,20,Low
P00000554,17,18,0,29,22,0,14,Low
P00000555,13,35,0,19,25,0,15,Low
P00000556,33,9,70,33,13,23,30,Low
P00000557,22,27,0,35,23,6,18,Low
P00000558,22,19,0,18,31,0,15,Low
P00000559,25,29,0,11,24,6,15,Low
P00000560,23,9,30,5,21,2,15,Low
P00000561,5,20,0,29,65,5,20,Low
P00000562,17,32,0,31,5,1,14,Low
P00000563,15,22,0,19,15,6,12,Low
P00000564,27,8,70,34,25,5,28,Low
P00000565,23,27,0,30,21,3,17,Low
P00000566,83,74,0,6,17,43,37,Medium
P00000567,15,15,0,25,65,1,20,Low
P00000568,23,20,0,30,21,1,15,Low
P00000569,11,75,0,12,5,0,17,Low
P00000570,7,31,0,24,9,2,12,Low
P00000571,19,10,30,31,42,5,22,Low
P00000572,21,35,70,8,10,4,24,Low
P00000573,13,5,0,27,18,2,10,Low
P00000574,28,29,0,9,24,4,15,Low
P00000575,16,33,0,24,12,3,14,Low
P00000576,23,26,0,31,27,3,18,Low
P00000577,13,87,0,28,30,38,32,Low
P00000578,31,18,0,12,24,3,14,Low
P00000579,25,15,0,25,21,3,14,Low
P00000580,20,21,0,5,6,7,9,Low
P00000581,19,20,0,32,27,4,17,Low
P00000582,33,13,70,12,31,0,26,Low
P00000583,18,19,0,10,10,22,13,Low
P00000584,9,44,0,14,9,4,13,Low
P00000585,5,12,0,15,32,4,11,Low
P00000586,11,17,0,20,15,3,11,Low
P00000587,73,32,0,18,23,52,33,Low
P00000588,29,35,70,9,21,34,33,Low
P00000589,28,31,70,24,16,7,29,Low
P00000590,5,7,0,17,74,0,17,Low
P00000591,23,11,0,25,37,3,16,Low
P00000592,31,63,0,23,80,7,34,Low
P00000593,5,31,0,7,8,3,9,Low
P00000594,14,31,0,7,27,0,13,Low
P00000595,17,30,0,9,7,5,11,Low
P00000596,27,61,0,11,34,3,22,Low
P00000597,23,34,70,15,12,3,26,Low
P00000598,12,8,0,24,33,7,14,Low
P00000599,22,7,0,16,21,6,12,Low
P00000600,33,16,0,17,5,1,12,Low
P00000601,34,22,0,18,16,2,15,Low
P00000602,27,22,0,33,32,1,19,Low
P00000603,6,23,0,12,21,1,10,Low
P00000604,20,10,0,10,5,3,8,Low
P00000605,14,8,0,22,26,1,11,Low
P00000606,7,34,0,25,25,6,16,Low
P00000607,16,5,0,17,7,5,8,Low
P00000608,35,9,0,18,16,6,14,Low
P00000609,13,10,0,34,31,29,19,Low
P00000610,27,19,0,28,30,2,17,Low
P00000611,9,26,0,20,76,6,22,Low
P00000612,32,10,0,19,5,4,11,Low
P00000613,12,46,0,10,64,7,23,Low
P00000614,21,31,0,16,29,2,16,Low
P00000615,34,8,30,27,11,3,18,Low
P00000616,22,31,0,17,30,3,17,Low
P00000617,33,31,0,21,26,0,18,Low
P00000618,26,22,0,32,21,6,17,Low
P00000619,30,11,0,19,21,4,14,Low
P00000620,27,13,0,12,9,5,11,Low
P00000621,6,32,0,33,17,5,15,Low
P00000622,32,66,0,23,7,5,22,Low
P00000623,22,30,0,17,5,6,13,Low
P00000624,25,79,0,7,24,1,22,Low
P00000625,14,8,0,28,24,2,12,Low
P00000626,35,22,0,29,23,1,18,Low
P00000627,31,31,0,33,24,37,26,Low
