MP_ID,State,MP_Name,Constituency,Allocated_Amount,Financial_Year
MP0042,Maharashtra,MP Representative 0042,SOLAPUR-3,147000000,2025-26
MP0043,Bihar,MP Representative 0043,PATNA-2,175000000,2025-26
MP0044,Karnataka,MP Representative 0044,BELAGAVI-4,100000000,2025-26
MP0045,Tamil Nadu,MP Representative 0045,MADURAI-2,190000000,2025-26
MP0046,Telangana,MP Representative 0046,WARANGAL-3,175000000,2025-26
MP0047,West Bengal,MP Representative 0047,SILIGURI-2,175000000,2025-26
MP0048,Bihar,MP Representative 0048,AURANGABAD-4,190000000,2025-26
MP0049,Rajasthan,MP Representative 0049,AJMER-5,150000000,2025-26
MP0050,Karnataka,MP Representative 0050,HUBBALLI-2,100000000,2025-26
MP0051,Rajasthan,MP Representative 0051,JAIPUR-5,175000000,2025-26
MP0052,Bihar,MP Representative 0052,MUZAFFARPUR-2,100000000,2025-26
MP0053,Karnataka,MP Representative 0053,BALLARI-1,120000000,2025-26
MP0054,Karnataka,MP Representative 0054,BELAGAVI-3,100000000,2025-26
MP0055,Tamil Nadu,MP Representative 0055,MADURAI-3,190000000,2025-26
MP0056,Telangana,MP Representative 0056,WARANGAL-5,120000000,2025-26
MP0057,West Bengal,MP Representative 0057,SILIGURI-2,150000000,2025-26
MP0058,Uttar Pradesh,MP Representative 0058,KANPUR-1,100000000,2025-26
MP0059,Uttar Pradesh,MP Representative 0059,AGRA-4,150000000,2025-26
MP0060,Telangana,MP Representative 0060,HYDERABAD-1,100000000,2025-26
MP0061,Uttar Pradesh,MP Representative 0061,AGRA-1,120000000,2025-26
MP0062,Bihar,MP Representative 0062,GAYA-5,150000000,2025-26
MP0063,Gujarat,MP Representative 0063,RAJKOT-2,147000000,2025-26
MP0064,Telangana,MP Representative 0064,WARANGAL-1,150000000,2025-26
MP0065,Tamil Nadu,MP Representative 0065,CHENNAI-1,190000000,2025-26
MP0066,Tamil Nadu,MP Representative 0066,CHENNAI-1,120000000,2025-26
MP0067,Gujarat,MP Representative 0067,RAJKOT-4,150000000,2025-26
MP0068,Bihar,MP Representative 0068,BHAGALPUR-1,120000000,2025-26
MP0069,Uttar Pradesh,MP Representative 0069,LUCKNOW-4,147000000,2025-26
MP0070,Telangana,MP Representative 0070,NIZAMABAD-4,190000000,2025-26
MP0071,Tamil Nadu,MP Representative 0071,SALEM-2,120000000,2025-26
MP0072,Madhya Pradesh,MP Representative 0072,INDORE-1,175000000,2025-26
MP0073,Tamil Nadu,MP Representative 0073,CHENNAI-3,100000000,2025-26
MP0074,Maharashtra,MP Representative 0074,LATUR-4,175000000,2025-26
MP0075,Tamil Nadu,MP Representative 0075,MADURAI-1,175000000,2025-26
MP0076,Karnataka,MP Representative 0076,KALABURAGI-2,100000000,2025-26
MP0077,West Bengal,MP Representative 0077,KOLKATA-2,150000000,2025-26
MP0078,Karnataka,MP Representative 0078,BENGALURU-2,175000000,2025-26
MP0079,West Bengal,MP Representative 0079,KOLKATA-5,100000000,2025-26
MP0080,Uttar Pradesh,MP Representative 0080,PRAYAGRAJ-5,175000000,2025-26
MP0081,Rajasthan,MP Representative 0081,KOTA-2,190000000,2025-26
MP0082,Rajasthan,MP Representative 0082,JODHPUR-3,150000000,2025-26
MP0083,Gujarat,MP Representative 0083,VADODARA-4,147000000,2025-26
MP0084,Karnataka,MP Representative 0084,BELAGAVI-4,175000000,2025-26
MP0085,West Bengal,MP Representative 0085,KOLKATA-1,175000000,2025-26
MP0086,Bihar,MP Representative 0086,MUZAFFARPUR-3,120000000,2025-26
MP0087,Rajasthan,MP Representative 0087,JAIPUR-2,147000000,2025-26
MP0088,Madhya Pradesh,MP Representative 0088,INDORE-4,175000000,2025-26
MP0089,Madhya Pradesh,MP Representative 0089,UJJAIN-5,100000000,2025-26
MP0090,Tamil Nadu,MP Representative 0090,COIMBATORE-1,120000000,2025-26
MP0091,Madhya Pradesh,MP Representative 0091,BHOPAL-1,190000000,2025-26
MP0092,Tamil Nadu,MP Representative 0092,MADURAI-3,147000000,2025-26
MP0093,West Bengal,MP Representative 0093,HOWRAH-3,120000000,2025-26
MP0094,Madhya Pradesh,MP Representative 0094,UJJAIN-4,147000000,2025-26
MP0095,Maharashtra,MP Representative 0095,SOLAPUR-4,147000000,2025-26
MP0096,Maharashtra,MP Representative 0096,PUNE-3,120000000,2025-26
MP0097,Madhya Pradesh,MP Representative 0097,INDORE-4,175000000,2025-26
MP0098,Uttar Pradesh,MP Representative 0098,PRAYAGRAJ-1,100000000,2025-26
MP0099,Karnataka,MP Representative 0099,BALLARI-2,175000000,2025-26
MP0100,Maharashtra,MP Representative 0100,NASHIK-5,175000000,2025-26
