Payment_ID,Project_ID,Vendor_ID,Invoice_ID,Payment_Date,Payment_Amount,Payment_Type
PAY000000297,P00000154,V020017,INV000000297,2025-04-10,3267517,Final Installment
PAY000000298,P00000155,V048646,INV000000298,2025-09-20,1309766,First Installment
PAY000000299,P00000155,V048646,INV000000299,2025-12-07,1830234,Final Installment
PAY000000300,P00000156,V026748,INV000000300,2026-01-04,999392,First Installment
PAY000000301,P00000156,V026748,INV000000301,2026-01-04,594200,Intermediate Installment
PAY000000302,P00000156,V026748,INV000000302,2025-12-29,726408,Final Installment
PAY000000303,P00000157,V008929,INV000000303,2025-10-11,4610000,First Installment
PAY000000304,P00000158,V015117,INV000000304,2025-09-04,2966650,First Installment
PAY000000305,P00000158,V015117,INV000000305,2025-07-09,2263350,Final Installment
PAY000000306,P00000159,V022701,INV000000306,2025-05-24,573293,First Installment
PAY000000307,P00000159,V022701,INV000000307,2025-08-02,1096707,Final Installment
PAY000000308,P00000160,V045795,INV000000308,2025-08-27,4170817,First Installment
PAY000000309,P00000160,V045795,INV000000309,2025-07-04,3919183,Final Installment
PAY000000310,P00000161,V020124,INV000000310,2025-03-15,544975,First Installment
PAY000000311,P00000161,V020124,INV000000311,2025-02-21,1245025,Final Installment
PAY000000312,P00000162,V017826,INV000000312,2025-11-21,1475505,First Installment
PAY000000313,P00000162,V017826,INV000000313,2025-12-08,674949,Intermediate Installment
PAY000000314,P00000162,V017826,INV000000314,2025-11-22,839546,Final Installment
PAY000000315,P00000163,V018592,INV000000315,2025-10-08,238764,First Installment
PAY000000316,P00000163,V018592,INV000000316,2025-11-09,401236,Final Installment
PAY000000317,P00000164,V041831,INV000000317,2025-08-16,2548226,First Installment
PAY000000318,P00000164,V041831,INV000000318,2025-03-31,1031401,Intermediate Installment
PAY000000319,P00000164,V041831,INV000000319,2025-08-08,720373,Final Installment
PAY000000320,P00000165,V000089,INV000000320,2025-11-06,2116363,First Installment
PAY000000321,P00000165,V000089,INV000000321,2025-08-08,729142,Intermediate Installment
PAY000000322,P00000165,V000089,INV000000322,2025-08-19,1214495,Final Installment
PAY000000323,P00000166,V021172,INV000000323,2025-06-18,1661093,First Installment
PAY000000324,P00000166,V021172,INV000000324,2025-07-04,1138907,Final Installment
PAY000000325,P00000167,V044362,INV000000325,2026-01-29,2479486,First Installment
PAY000000326,P00000167,V044362,INV000000326,2026-02-06,5070514,Final Installment
PAY000000327,P00000168,V043458,INV000000327,2025-09-24,1296218,First Installment
PAY000000328,P00000168,V043458,INV000000328,2025-06-30,1103782,Final Installment
PAY000000329,P00000169,V010372,INV000000329,2025-09-10,2940000,First Installment
PAY000000330,P00000170,V048665,INV000000330,2025-03-15,706396,First Installment
PAY000000331,P00000170,V048665,INV000000331,2025-05-01,299157,Intermediate Installment
PAY000000332,P00000170,V048665,INV000000332,2025-03-29,344447,Final Installment
PAY000000333,P00000171,V009808,INV000000333,2025-11-10,364654,First Installment
PAY000000334,P00000171,V009808,INV000000334,2025-10-12,434058,Intermediate Installment
PAY000000335,P00000171,V009808,INV000000335,2025-12-16,291288,Final Installment
PAY000000336,P00000172,V010024,INV000000336,2025-07-16,1801218,First Installment
PAY000000337,P00000172,V010024,INV000000337,2025-08-13,2748782,Final Installment
PAY000000338,P00000173,V000108,INV000000338,2025-07-02,621489,First Installment
PAY000000339,P00000173,V000108,INV000000339,2025-06-12,143753,Intermediate Installment
PAY000000340,P00000173,V000108,INV000000340,2025-03-06,304758,Final Installment
PAY000000341,P00000174,V042680,INV000000341,2025-07-26,833616,First Installment
PAY000000342,P00000174,V042680,INV000000342,2025-06-26,1336384,Final Installment
PAY000000343,P00000175,V020119,INV000000343,2025-06-10,2751636,First Installment
PAY000000344,P00000175,V020119,INV000000344,2025-07-22,1825033,Intermediate Installment
PAY000000345,P00000175,V020119,INV000000345,2025-10-13,4243331,Final Installment
PAY000000346,P00000176,V026196,INV000000346,2025-10-02,988726,First Installment
PAY000000347,P00000176,V026196,INV000000347,2025-07-28,369790,Intermediate Installment
PAY000000348,P00000176,V026196,INV000000348,2025-08-09,811484,Final Installment
PAY000000349,P00000177,V005507,INV000000349,2025-07-12,9550000,First Installment
PAY000000350,P00000178,V003456,INV000000350,2025-09-04,1590000,First Installment
PAY000000351,P00000179,V001006,INV000000351,2025-05-03,4144427,First Installment
PAY000000352,P00000179,V001006,INV000000352,2025-05-26,2965573,Final Installment
PAY000000353,P00000180,V046974,INV000000353,2025-12-17,897220,First Installment
PAY000000354,P00000180,V046974,INV000000354,2025-09-22,1482780,Final Installment
PAY000000355,P00000181,V016691,INV000000355,2025-07-06,9320000,First Installment
PAY000000356,P00000182,V012569,INV000000356,2025-06-03,4765358,First Installment
PAY000000357,P00000182,V012569,INV000000357,2025-09-09,3254642,Final Installment
PAY000000358,P00000183,V029481,INV000000358,2025-07-13,1403617,First Installment
PAY000000359,P00000183,V029481,INV000000359,2025-06-15,1689992,Intermediate Installment
