Source_ID,Source_Type,Relationship,Target_ID,Target_Type
MP0047,MP,Allocated,P00000066,Project
MP0035,MP,Allocated,P00000067,Project
MP0078,MP,Allocated,P00000068,Project
MP0081,MP,Allocated,P00000069,Project
MP0036,MP,Allocated,P00000070,Project
MP0050,MP,Allocated,P00000071,Project
MP0004,MP,Allocated,P00000072,Project
MP0002,MP,Allocated,P00000073,Project
MP0006,MP,Allocated,P00000074,Project
MP0054,MP,Allocated,P00000075,Project
MP0004,MP,Allocated,P00000076,Project
MP0054,MP,Allocated,P00000077,Project
MP0093,MP,Allocated,P00000078,Project
MP0063,MP,Allocated,P00000079,Project
MP0018,MP,Allocated,P00000080,Project
MP0090,MP,Allocated,P00000081,Project
MP0044,MP,Allocated,P00000082,Project
MP0034,MP,Allocated,P00000083,Project
MP0074,MP,Allocated,P00000084,Project
MP0062,MP,Allocated,P00000085,Project
MP0100,MP,Allocated,P00000086,Project
MP0014,MP,Allocated,P00000087,Project
MP0095,MP,Allocated,P00000088,Project
MP0048,MP,Allocated,P00000089,Project
MP0015,MP,Allocated,P00000090,Project
MP0072,MP,Allocated,P00000091,Project
MP0078,MP,Allocated,P00000092,Project
MP0087,MP,Allocated,P00000093,Project
MP0062,MP,Allocated,P00000094,Project
MP0040,MP,Allocated,P00000095,Project
MP0085,MP,Allocated,P00000096,Project
MP0080,MP,Allocated,P00000097,Project
MP0082,MP,Allocated,P00000098,Project
MP0053,MP,Allocated,P00000099,Project
MP0024,MP,Allocated,P00000100,Project
MP0026,MP,Allocated,P00000101,Project
MP0089,MP,Allocated,P00000102,Project
MP0060,MP,Allocated,P00000103,Project
MP0041,MP,Allocated,P00000104,Project
MP0029,MP,Allocated,P00000105,Project
MP0015,MP,Allocated,P00000106,Project
MP0045,MP,Allocated,P00000107,Project
MP0065,MP,Allocated,P00000108,Project
MP0089,MP,Allocated,P00000109,Project
MP0071,MP,Allocated,P00000110,Project
MP0009,MP,Allocated,P00000111,Project
MP0088,MP,Allocated,P00000112,Project
MP0001,MP,Allocated,P00000113,Project
MP0008,MP,Allocated,P00000114,Project
MP0088,MP,Allocated,P00000115,Project
MP0063,MP,Allocated,P00000116,Project
MP0011,MP,Allocated,P00000117,Project
MP0081,MP,Allocated,P00000118,Project
MP0008,MP,Allocated,P00000119,Project
MP0035,MP,Allocated,P00000120,Project
MP0035,MP,Allocated,P00000121,Project
MP0033,MP,Allocated,P00000122,Project
MP0005,MP,Allocated,P00000123,Project
MP0041,MP,Allocated,P00000124,Project
MP0028,MP,Allocated,P00000125,Project
MP0007,MP,Allocated,P00000126,Project
MP0073,MP,Allocated,P00000127,Project
MP0072,MP,Allocated,P00000128,Project
MP0012,MP,Allocated,P00000129,Project
MP0034,MP,Allocated,P00000130,Project
MP0033,MP,Allocated,P00000131,Project
MP0048,MP,Allocated,P00000132,Project
MP0023,MP,Allocated,P00000133,Project
MP0062,MP,Allocated,P00000134,Project
MP0088,MP,Allocated,P00000135,Project
MP0037,MP,Allocated,P00000136,Project
MP0099,MP,Allocated,P00000137,Project
MP0044,MP,Allocated,P00000138,Project
MP0086,MP,Allocated,P00000139,Project
MP0091,MP,Allocated,P00000140,Project
MP0035,MP,Allocated,P00000141,Project
MP0065,MP,Allocated,P00000142,Project
MP0099,MP,Allocated,P00000143,Project
MP0047,MP,Allocated,P00000144,Project
MP0078,MP,Allocated,P00000145,Project
MP0003,MP,Allocated,P00000146,Project
MP0001,MP,Allocated,P00000147,Project
MP0005,MP,Allocated,P00000148,Project
MP0090,MP,Allocated,P00000149,Project
MP0014,MP,Allocated,P00000150,Project
MP0027,MP,Allocated,P00000151,Project
MP0009,MP,Allocated,P00000152,Project
MP0079,MP,Allocated,P00000153,Project
MP0015,MP,Allocated,P00000154,Project
MP0090,MP,Allocated,P00000155,Project
MP0042,MP,Allocated,P00000156,Project
MP0077,MP,Allocated,P00000157,Project
MP0051,MP,Allocated,P00000158,Project
MP0063,MP,Allocated,P00000159,Project
MP0096,MP,Allocated,P00000160,Project
MP0052,MP,Allocated,P00000161,Project
MP0096,MP,Allocated,P00000162,Project
MP0004,MP,Allocated,P00000163,Project
MP0094,MP,Allocated,P00000164,Project
MP0023,MP,Allocated,P00000165,Project
MP0015,MP,Allocated,P00000166,Project
MP0043,MP,Allocated,P00000167,Project
MP0029,MP,Allocated,P00000168,Project
MP0036,MP,Allocated,P00000169,Project
MP0013,MP,Allocated,P00000170,Project
MP0032,MP,Allocated,P00000171,Project
MP0071,MP,Allocated,P00000172,Project
MP0059,MP,Allocated,P00000173,Project
MP0086,MP,Allocated,P00000174,Project
MP0028,MP,Allocated,P00000175,Project
MP0066,MP,Allocated,P00000176,Project
MP0042,MP,Allocated,P00000177,Project
MP0045,MP,Allocated,P00000178,Project
MP0062,MP,Allocated,P00000179,Project
MP0057,MP,Allocated,P00000180,Project
MP0006,MP,Allocated,P00000181,Project
MP0028,MP,Allocated,P00000182,Project
MP0028,MP,Allocated,P00000183,Project
MP0044,MP,Allocated,P00000184,Project
MP0084,MP,Allocated,P00000185,Project
MP0030,MP,Allocated,P00000186,Project
MP0062,MP,Allocated,P00000187,Project
MP0075,MP,Allocated,P00000188,Project
MP0092,MP,Allocated,P00000189,Project
MP0089,MP,Allocated,P00000190,Project
MP0062,MP,Allocated,P00000191,Project
MP0097,MP,Allocated,P00000192,Project
MP0001,MP,Allocated,P00000193,Project
MP0027,MP,Allocated,P00000194,Project
MP0062,MP,Allocated,P00000195,Project
MP0077,MP,Allocated,P00000196,Project
MP0003,MP,Allocated,P00000197,Project
MP0070,MP,Allocated,P00000198,Project
MP0072,MP,Allocated,P00000199,Project
MP0027,MP,Allocated,P00000200,Project
MP0009,MP,Allocated,P00000201,Project
MP0062,MP,Allocated,P00000202,Project
MP0037,MP,Allocated,P00000203,Project
MP0097,MP,Allocated,P00000204,Project
MP0051,MP,Allocated,P00000205,Project
MP0044,MP,Allocated,P00000206,Project
MP0024,MP,Allocated,P00000207,Project
MP0079,MP,Allocated,P00000208,Project
MP0059,MP,Allocated,P00000209,Project
MP0032,MP,Allocated,P00000210,Project
MP0096,MP,Allocated,P00000211,Project
MP0088,MP,Allocated,P00000212,Project
MP0052,MP,Allocated,P00000213,Project
MP0062,MP,Allocated,P00000214,Project
MP0058,MP,Allocated,P00000215,Project
MP0052,MP,Allocated,P00000216,Project
MP0012,MP,Allocated,P00000217,Project
MP0039,MP,Allocated,P00000218,Project
MP0002,MP,Allocated,P00000219,Project
MP0003,MP,Allocated,P00000220,Project
MP0056,MP,Allocated,P00000221,Project
MP0081,MP,Allocated,P00000222,Project
MP0059,MP,Allocated,P00000223,Project
MP0002,MP,Allocated,P00000224,Project
MP0002,MP,Allocated,P00000225,Project
MP0092,MP,Allocated,P00000226,Project
MP0054,MP,Allocated,P00000227,Project
MP0087,MP,Allocated,P00000228,Project
MP0096,MP,Allocated,P00000229,Project
MP0097,MP,Allocated,P00000230,Project
MP0001,MP,Allocated,P00000231,Project
MP0019,MP,Allocated,P00000232,Project
MP0002,MP,Allocated,P00000233,Project
MP0053,MP,Allocated,P00000234,Project
MP0044,MP,Allocated,P00000235,Project
MP0090,MP,Allocated,P00000236,Project
MP0032,MP,Allocated,P00000237,Project
MP0070,MP,Allocated,P00000238,Project
MP0032,MP,Allocated,P00000239,Project
MP0068,MP,Allocated,P00000240,Project
MP0055,MP,Allocated,P00000241,Project
MP0075,MP,Allocated,P00000242,Project
MP0056,MP,Allocated,P00000243,Project
MP0017,MP,Allocated,P00000244,Project
MP0038,MP,Allocated,P00000245,Project
MP0024,MP,Allocated,P00000246,Project
MP0069,MP,Allocated,P00000247,Project
MP0098,MP,Allocated,P00000248,Project
MP0070,MP,Allocated,P00000249,Project
MP0086,MP,Allocated,P00000250,Project
MP0011,MP,Allocated,P00000251,Project
MP0016,MP,Allocated,P00000252,Project
MP0097,MP,Allocated,P00000253,Project
MP0073,MP,Allocated,P00000254,Project
MP0059,MP,Allocated,P00000255,Project
MP0070,MP,Allocated,P00000256,Project
MP0080,MP,Allocated,P00000257,Project
MP0093,MP,Allocated,P00000258,Project
MP0003,MP,Allocated,P00000259,Project
MP0020,MP,Allocated,P00000260,Project
MP0059,MP,Allocated,P00000261,Project
MP0036,MP,Allocated,P00000262,Project
MP0019,MP,Allocated,P00000263,Project
MP0090,MP,Allocated,P00000264,Project
MP0067,MP,Allocated,P00000265,Project
MP0019,MP,Allocated,P00000266,Project
MP0020,MP,Allocated,P00000267,Project
MP0096,MP,Allocated,P00000268,Project
MP0071,MP,Allocated,P00000269,Project
MP0052,MP,Allocated,P00000270,Project
MP0033,MP,Allocated,P00000271,Project
MP0040,MP,Allocated,P00000272,Project
MP0039,MP,Allocated,P00000273,Project
MP0082,MP,Allocated,P00000274,Project
MP0001,MP,Allocated,P00000275,Project
MP0011,MP,Allocated,P00000276,Project
MP0092,MP,Allocated,P00000277,Project
MP0057,MP,Allocated,P00000278,Project
MP0089,MP,Allocated,P00000279,Project
MP0050,MP,Allocated,P00000280,Project
MP0023,MP,Allocated,P00000281,Project
MP0031,MP,Allocated,P00000282,Project
MP0094,MP,Allocated,P00000283,Project
MP0042,MP,Allocated,P00000284,Project
MP0099,MP,Allocated,P00000285,Project
MP0007,MP,Allocated,P00000286,Project
MP0016,MP,Allocated,P00000287,Project
MP0090,MP,Allocated,P00000288,Project
MP0060,MP,Allocated,P00000289,Project
MP0002,MP,Allocated,P00000290,Project
MP0001,MP,Allocated,P00000291,Project
MP0048,MP,Allocated,P00000292,Project
MP0012,MP,Allocated,P00000293,Project
MP0069,MP,Allocated,P00000294,Project
MP0037,MP,Allocated,P00000295,Project
MP0032,MP,Allocated,P00000296,Project
MP0009,MP,Allocated,P00000297,Project
MP0099,MP,Allocated,P00000298,Project
MP0019,MP,Allocated,P00000299,Project
MP0048,MP,Allocated,P00000300,Project
MP0080,MP,Allocated,P00000301,Project
MP0003,MP,Allocated,P00000302,Project
MP0020,MP,Allocated,P00000303,Project
MP0024,MP,Allocated,P00000304,Project
MP0054,MP,Allocated,P00000305,Project
MP0033,MP,Allocated,P00000306,Project
MP0024,MP,Allocated,P00000307,Project
MP0075,MP,Allocated,P00000308,Project
MP0072,MP,Allocated,P00000309,Project
MP0036,MP,Allocated,P00000310,Project
MP0038,MP,Allocated,P00000311,Project
MP0084,MP,Allocated,P00000312,Project
MP0099,MP,Allocated,P00000313,Project
MP0089,MP,Allocated,P00000314,Project
MP0099,MP,Allocated,P00000315,Project
MP0025,MP,Allocated,P00000316,Project
MP0093,MP,Allocated,P00000317,Project
MP0018,MP,Allocated,P00000318,Project
MP0082,MP,Allocated,P00000319,Project
MP0066,MP,Allocated,P00000320,Project
MP0054,MP,Allocated,P00000321,Project
MP0035,MP,Allocated,P00000322,Project
MP0080,MP,Allocated,P00000323,Project
MP0061,MP,Allocated,P00000324,Project
MP0041,MP,Allocated,P00000325,Project
MP0100,MP,Allocated,P00000326,Project
MP0033,MP,Allocated,P00000327,Project
MP0068,MP,Allocated,P00000328,Project
MP0033,MP,Allocated,P00000329,Project
MP0014,MP,Allocated,P00000330,Project
MP0021,MP,Allocated,P00000331,Project
MP0048,MP,Allocated,P00000332,Project
MP0020,MP,Allocated,P00000333,Project
MP0008,MP,Allocated,P00000334,Project
MP0007,MP,Allocated,P00000335,Project
MP0067,MP,Allocated,P00000336,Project
MP0017,MP,Allocated,P00000337,Project
MP0033,MP,Allocated,P00000338,Project
MP0048,MP,Allocated,P00000339,Project
MP0076,MP,Allocated,P00000340,Project
MP0059,MP,Allocated,P00000341,Project
MP0086,MP,Allocated,P00000342,Project
MP0022,MP,Allocated,P00000343,Project
MP0030,MP,Allocated,P00000344,Project
MP0038,MP,Allocated,P00000345,Project
MP0051,MP,Allocated,P00000346,Project
MP0054,MP,Allocated,P00000347,Project
MP0008,MP,Allocated,P00000348,Project
MP0027,MP,Allocated,P00000349,Project
MP0027,MP,Allocated,P00000350,Project
MP0098,MP,Allocated,P00000351,Project
MP0021,MP,Allocated,P00000352,Project
MP0030,MP,Allocated,P00000353,Project
MP0097,MP,Allocated,P00000354,Project
MP0028,MP,Allocated,P00000355,Project
MP0064,MP,Allocated,P00000356,Project
MP0097,MP,Allocated,P00000357,Project
MP0069,MP,Allocated,P00000358,Project
MP0061,MP,Allocated,P00000359,Project
MP0048,MP,Allocated,P00000360,Project
MP0019,MP,Allocated,P00000361,Project
MP0004,MP,Allocated,P00000362,Project
MP0035,MP,Allocated,P00000363,Project
MP0064,MP,Allocated,P00000364,Project
MP0049,MP,Allocated,P00000365,Project
MP0017,MP,Allocated,P00000366,Project
MP0044,MP,Allocated,P00000367,Project
MP0092,MP,Allocated,P00000368,Project
MP0030,MP,Allocated,P00000369,Project
MP0093,MP,Allocated,P00000370,Project
MP0046,MP,Allocated,P00000371,Project
MP0006,MP,Allocated,P00000372,Project
MP0099,MP,Allocated,P00000373,Project
MP0037,MP,Allocated,P00000374,Project
MP0024,MP,Allocated,P00000375,Project
MP0093,MP,Allocated,P00000376,Project
MP0046,MP,Allocated,P00000377,Project
MP0053,MP,Allocated,P00000378,Project
MP0095,MP,Allocated,P00000379,Project
MP0099,MP,Allocated,P00000380,Project
MP0060,MP,Allocated,P00000381,Project
MP0097,MP,Allocated,P00000382,Project
MP0063,MP,Allocated,P00000383,Project
MP0085,MP,Allocated,P00000384,Project
MP0032,MP,Allocated,P00000385,Project
MP0087,MP,Allocated,P00000386,Project
MP0033,MP,Allocated,P00000387,Project
MP0067,MP,Allocated,P00000388,Project
MP0018,MP,Allocated,P00000389,Project
MP0025,MP,Allocated,P00000390,Project
MP0095,MP,Allocated,P00000391,Project
MP0054,MP,Allocated,P00000392,Project
MP0058,MP,Allocated,P00000393,Project
MP0067,MP,Allocated,P00000394,Project
MP0046,MP,Allocated,P00000395,Project
MP0024,MP,Allocated,P00000396,Project
MP0032,MP,Allocated,P00000397,Project
MP0047,MP,Allocated,P00000398,Project
MP0086,MP,Allocated,P00000399,Project
MP0023,MP,Allocated,P00000400,Project
MP0066,MP,Allocated,P00000401,Project
MP0027,MP,Allocated,P00000402,Project
MP0002,MP,Allocated,P00000403,Project
MP0090,MP,Allocated,P00000404,Project
MP0017,MP,Allocated,P00000405,Project
MP0033,MP,Allocated,P00000406,Project
MP0009,MP,Allocated,P00000407,Project
MP0043,MP,Allocated,P00000408,Project
MP0048,MP,Allocated,P00000409,Project
MP0039,MP,Allocated,P00000410,Project
MP0093,MP,Allocated,P00000411,Project
MP0042,MP,Allocated,P00000412,Project
MP0026,MP,Allocated,P00000413,Project
MP0099,MP,Allocated,P00000414,Project
MP0050,MP,Allocated,P00000415,Project
MP0025,MP,Allocated,P00000416,Project
MP0024,MP,Allocated,P00000417,Project
MP0013,MP,Allocated,P00000418,Project
MP0060,MP,Allocated,P00000419,Project
MP0007,MP,Allocated,P00000420,Project
MP0057,MP,Allocated,P00000421,Project
MP0036,MP,Allocated,P00000422,Project
MP0045,MP,Allocated,P00000423,Project
MP0020,MP,Allocated,P00000424,Project
MP0065,MP,Allocated,P00000425,Project
MP0008,MP,Allocated,P00000426,Project
MP0016,MP,Allocated,P00000427,Project
MP0014,MP,Allocated,P00000428,Project
MP0076,MP,Allocated,P00000429,Project
MP0087,MP,Allocated,P00000430,Project
MP0015,MP,Allocated,P00000431,Project
MP0092,MP,Allocated,P00000432,Project
MP0098,MP,Allocated,P00000433,Project
MP0066,MP,Allocated,P00000434,Project
MP0032,MP,Allocated,P00000435,Project
MP0087,MP,Allocated,P00000436,Project
MP0063,MP,Allocated,P00000437,Project
MP0086,MP,Allocated,P00000438,Project
MP0051,MP,Allocated,P00000439,Project
MP0025,MP,Allocated,P00000440,Project
MP0058,MP,Allocated,P00000441,Project
MP0063,MP,Allocated,P00000442,Project
MP0062,MP,Allocated,P00000443,Project
MP0022,MP,Allocated,P00000444,Project
MP0058,MP,Allocated,P00000445,Project
MP0058,MP,Allocated,P00000446,Project
MP0086,MP,Allocated,P00000447,Project
MP0049,MP,Allocated,P00000448,Project
MP0052,MP,Allocated,P00000449,Project
MP0042,MP,Allocated,P00000450,Project
MP0070,MP,Allocated,P00000451,Project
MP0015,MP,Allocated,P00000452,Project
MP0054,MP,Allocated,P00000453,Project
MP0060,MP,Allocated,P00000454,Project
MP0097,MP,Allocated,P00000455,Project
MP0008,MP,Allocated,P00000456,Project
MP0053,MP,Allocated,P00000457,Project
MP0060,MP,Allocated,P00000458,Project
MP0005,MP,Allocated,P00000459,Project
MP0068,MP,Allocated,P00000460,Project
MP0006,MP,Allocated,P00000461,Project
MP0096,MP,Allocated,P00000462,Project
MP0094,MP,Allocated,P00000463,Project
MP0047,MP,Allocated,P00000464,Project
MP0099,MP,Allocated,P00000465,Project
MP0055,MP,Allocated,P00000466,Project
MP0040,MP,Allocated,P00000467,Project
MP0052,MP,Allocated,P00000468,Project
MP0016,MP,Allocated,P00000469,Project
MP0013,MP,Allocated,P00000470,Project
MP0030,MP,Allocated,P00000471,Project
MP0019,MP,Allocated,P00000472,Project
MP0017,MP,Allocated,P00000473,Project
MP0063,MP,Allocated,P00000474,Project
MP0019,MP,Allocated,P00000475,Project
MP0092,MP,Allocated,P00000476,Project
MP0058,MP,Allocated,P00000477,Project
MP0055,MP,Allocated,P00000478,Project
MP0090,MP,Allocated,P00000479,Project
MP0090,MP,Allocated,P00000480,Project
MP0062,MP,Allocated,P00000481,Project
MP0023,MP,Allocated,P00000482,Project
MP0009,MP,Allocated,P00000483,Project
MP0012,MP,Allocated,P00000484,Project
MP0001,MP,Allocated,P00000485,Project
MP0058,MP,Allocated,P00000486,Project
MP0001,MP,Allocated,P00000487,Project
MP0034,MP,Allocated,P00000488,Project
MP0096,MP,Allocated,P00000489,Project
MP0048,MP,Allocated,P00000490,Project
MP0089,MP,Allocated,P00000491,Project
MP0001,MP,Allocated,P00000492,Project
MP0016,MP,Allocated,P00000493,Project
MP0061,MP,Allocated,P00000494,Project
MP0064,MP,Allocated,P00000495,Project
MP0063,MP,Allocated,P00000496,Project
MP0069,MP,Allocated,P00000497,Project
MP0022,MP,Allocated,P00000498,Project
MP0093,MP,Allocated,P00000499,Project
MP0067,MP,Allocated,P00000500,Project
MP0076,MP,Allocated,P00000501,Project
MP0026,MP,Allocated,P00000502,Project
MP0016,MP,Allocated,P00000503,Project
MP0051,MP,Allocated,P00000504,Project
MP0086,MP,Allocated,P00000505,Project
MP0057,MP,Allocated,P00000506,Project
MP0029,MP,Allocated,P00000507,Project
MP0078,MP,Allocated,P00000508,Project
MP0092,MP,Allocated,P00000509,Project
MP0069,MP,Allocated,P00000510,Project
MP0047,MP,Allocated,P00000511,Project
MP0094,MP,Allocated,P00000512,Project
MP0062,MP,Allocated,P00000513,Project
MP0069,MP,Allocated,P00000514,Project
MP0076,MP,Allocated,P00000515,Project
MP0016,MP,Allocated,P00000516,Project
MP0090,MP,Allocated,P00000517,Project
MP0090,MP,Allocated,P00000518,Project
MP0048,MP,Allocated,P00000519,Project
MP0085,MP,Allocated,P00000520,Project
MP0039,MP,Allocated,P00000521,Project
MP0100,MP,Allocated,P00000522,Project
MP0033,MP,Allocated,P00000523,Project
MP0094,MP,Allocated,P00000524,Project
MP0023,MP,Allocated,P00000525,Project
MP0010,MP,Allocated,P00000526,Project
MP0069,MP,Allocated,P00000527,Project
MP0100,MP,Allocated,P00000528,Project
MP0034,MP,Allocated,P00000529,Project
MP0052,MP,Allocated,P00000530,Project
MP0095,MP,Allocated,P00000531,Project
MP0010,MP,Allocated,P00000532,Project
MP0019,MP,Allocated,P00000533,Project
MP0058,MP,Allocated,P00000534,Project
MP0096,MP,Allocated,P00000535,Project
MP0001,MP,Allocated,P00000536,Project
MP0069,MP,Allocated,P00000537,Project
MP0004,MP,Allocated,P00000538,Project
MP0016,MP,Allocated,P00000539,Project
MP0024,MP,Allocated,P00000540,Project
MP0080,MP,Allocated,P00000541,Project
MP0002,MP,Allocated,P00000542,Project
MP0092,MP,Allocated,P00000543,Project
MP0032,MP,Allocated,P00000544,Project
MP0091,MP,Allocated,P00000545,Project
MP0084,MP,Allocated,P00000546,Project
MP0024,MP,Allocated,P00000547,Project
MP0012,MP,Allocated,P00000548,Project
MP0050,MP,Allocated,P00000549,Project
MP0035,MP,Allocated,P00000550,Project
MP0033,MP,Allocated,P00000551,Project
MP0033,MP,Allocated,P00000552,Project
MP0061,MP,Allocated,P00000553,Project
MP0051,MP,Allocated,P00000554,Project
MP0043,MP,Allocated,P00000555,Project
MP0012,MP,Allocated,P00000556,Project
MP0067,MP,Allocated,P00000557,Project
MP0065,MP,Allocated,P00000558,Project
MP0033,MP,Allocated,P00000559,Project
MP0040,MP,Allocated,P00000560,Project
MP0074,MP,Allocated,P00000561,Project
MP0043,MP,Allocated,P00000562,Project
MP0044,MP,Allocated,P00000563,Project
MP0029,MP,Allocated,P00000564,Project
MP0013,MP,Allocated,P00000565,Project
MP0012,MP,Allocated,P00000566,Project
MP0095,MP,Allocated,P00000567,Project
MP0046,MP,Allocated,P00000568,Project
MP0002,MP,Allocated,P00000569,Project
MP0035,MP,Allocated,P00000570,Project
MP0087,MP,Allocated,P00000571,Project
MP0081,MP,Allocated,P00000572,Project
MP0090,MP,Allocated,P00000573,Project
MP0008,MP,Allocated,P00000574,Project
MP0093,MP,Allocated,P00000575,Project
MP0026,MP,Allocated,P00000576,Project
MP0074,MP,Allocated,P00000577,Project
MP0090,MP,Allocated,P00000578,Project
MP0034,MP,Allocated,P00000579,Project
MP0007,MP,Allocated,P00000580,Project
MP0068,MP,Allocated,P00000581,Project
MP0058,MP,Allocated,P00000582,Project
MP0075,MP,Allocated,P00000583,Project
MP0029,MP,Allocated,P00000584,Project
MP0036,MP,Allocated,P00000585,Project
MP0089,MP,Allocated,P00000586,Project
MP0021,MP,Allocated,P00000587,Project
MP0036,MP,Allocated,P00000588,Project
MP0010,MP,Allocated,P00000589,Project
MP0073,MP,Allocated,P00000590,Project
MP0024,MP,Allocated,P00000591,Project
MP0064,MP,Allocated,P00000592,Project
MP0099,MP,Allocated,P00000593,Project
MP0049,MP,Allocated,P00000594,Project
MP0099,MP,Allocated,P00000595,Project
MP0036,MP,Allocated,P00000596,Project
MP0082,MP,Allocated,P00000597,Project
MP0096,MP,Allocated,P00000598,Project
MP0024,MP,Allocated,P00000599,Project
MP0023,MP,Allocated,P00000600,Project
MP0062,MP,Allocated,P00000601,Project
MP0096,MP,Allocated,P00000602,Project
MP0037,MP,Allocated,P00000603,Project
MP0012,MP,Allocated,P00000604,Project
MP0055,MP,Allocated,P00000605,Project
MP0013,MP,Allocated,P00000606,Project
MP0023,MP,Allocated,P00000607,Project
MP0089,MP,Allocated,P00000608,Project
MP0099,MP,Allocated,P00000609,Project
MP0030,MP,Allocated,P00000610,Project
MP0017,MP,Allocated,P00000611,Project
MP0062,MP,Allocated,P00000612,Project
MP0084,MP,Allocated,P00000613,Project
MP0089,MP,Allocated,P00000614,Project
MP0086,MP,Allocated,P00000615,Project
MP0013,MP,Allocated,P00000616,Project
MP0059,MP,Allocated,P00000617,Project
MP0019,MP,Allocated,P00000618,Project
MP0049,MP,Allocated,P00000619,Project
MP0100,MP,Allocated,P00000620,Project
MP0012,MP,Allocated,P00000621,Project
MP0061,MP,Allocated,P00000622,Project
MP0019,MP,Allocated,P00000623,Project
MP0076,MP,Allocated,P00000624,Project
MP0009,MP,Allocated,P00000625,Project
MP0071,MP,Allocated,P00000626,Project
MP0028,MP,Allocated,P00000627,Project
MP0078,MP,Allocated,P00000628,Project
MP0095,MP,Allocated,P00000629,Project
MP0052,MP,Allocated,P00000630,Project
MP0083,MP,Allocated,P00000631,Project
MP0016,MP,Allocated,P00000632,Project
MP0069,MP,Allocated,P00000633,Project
MP0099,MP,Allocated,P00000634,Project
MP0012,MP,Allocated,P00000635,Project
MP0025,MP,Allocated,P00000636,Project
MP0052,MP,Allocated,P00000637,Project
MP0085,MP,Allocated,P00000638,Project
MP0100,MP,Allocated,P00000639,Project
MP0053,MP,Allocated,P00000640,Project
MP0023,MP,Allocated,P00000641,Project
MP0016,MP,Allocated,P00000642,Project
MP0057,MP,Allocated,P00000643,Project
MP0039,MP,Allocated,P00000644,Project
MP0053,MP,Allocated,P00000645,Project
MP0042,MP,Allocated,P00000646,Project
MP0058,MP,Allocated,P00000647,Project
MP0039,MP,Allocated,P00000648,Project
MP0014,MP,Allocated,P00000649,Project
MP0095,MP,Allocated,P00000650,Project
MP0005,MP,Allocated,P00000651,Project
MP0035,MP,Allocated,P00000652,Project
MP0087,MP,Allocated,P00000653,Project
MP0093,MP,Allocated,P00000654,Project
MP0075,MP,Allocated,P00000655,Project
MP0018,MP,Allocated,P00000656,Project
MP0076,MP,Allocated,P00000657,Project
MP0009,MP,Allocated,P00000658,Project
MP0074,MP,Allocated,P00000659,Project
MP0058,MP,Allocated,P00000660,Project
MP0017,MP,Allocated,P00000661,Project
MP0007,MP,Allocated,P00000662,Project
MP0046,MP,Allocated,P00000663,Project
