Photo_ID,Project_ID,Photo_Date,Latitude,Longitude,Claimed_Latitude,Claimed_Longitude,GPS_Distance_KM,Photo_Hash,Duplicate_Photo_Flag,GPS_Verification
PH00000080,P00000080,2025-05-29,23.670317,86.25576,23.670317,86.25576,0.45,e214838fec44c1db,No,Verified
PH00000081,P00000081,2025-09-22,9.80199,83.763623,9.80199,83.763623,0.2,6f0431835943d30b,No,Verified
PH00000082,P00000082,2025-12-27,31.104942,77.948012,32.013811,79.000791,99.27,049fe432a8bdc99c,Yes,Duplicate
PH00000083,P00000083,2025-09-05,12.824741,96.848822,12.824741,96.848822,0.49,9f55d47d98db49b8,No,Verified
PH00000084,P00000084,2025-11-29,28.139061,88.37311,28.998513,89.141365,80.17,9a58f7b61205b69e,No,Mismatch
PH00000085,P00000085,2025-10-21,13.684703,92.633212,13.684703,92.633212,0.37,e16544ca8dc046cd,No,Verified
PH00000086,P00000086,2025-06-17,31.304802,73.489515,31.304802,73.489515,0.38,c5996172fed74368,No,Verified
PH00000087,P00000087,2025-09-26,16.828318,81.234461,16.828318,81.234461,0.3,e80776ece3398169,No,Verified
PH00000088,P00000088,2025-10-07,17.217292,88.126951,17.217292,88.126951,0.22,e58de7f2dcd5e689,No,Verified
PH00000089,P00000089,2025-12-27,28.587677,71.869982,28.587677,71.869982,0.15,2b0534e70ef7156c,No,Verified
PH00000090,P00000090,2026-01-11,28.259895,83.299174,28.259895,83.299174,0.36,7e726af367fe7705,No,Verified
PH00000091,P00000091,2025-09-10,10.333404,73.174542,10.333404,73.174542,0.07,15fb54dbb1bc8ab4,No,Verified
PH00000092,P00000092,2025-07-04,23.05044,87.380837,23.05044,87.380837,0.18,045179297143129d,No,Verified
PH00000093,P00000093,2025-12-28,11.710708,82.011253,11.710708,82.011253,0.17,580cfa3d7ddf9f9d,No,Verified
PH00000094,P00000094,2025-12-20,32.709898,85.129743,32.709898,85.129743,0.07,14c93e0c00fbaa2e,No,Verified
PH00000095,P00000095,2025-06-13,34.997517,84.431713,34.997517,84.431713,0.14,624f967dee8d0550,No,Verified
PH00000096,P00000096,2025-05-28,34.643926,80.201881,34.643926,80.201881,0.31,921268b248002081,No,Verified
PH00000097,P00000097,2025-10-15,15.474674,75.044311,15.474674,75.044311,0.33,53cd276d5a8719bc,No,Verified
PH00000098,P00000098,2025-06-26,29.571187,74.72234,29.571187,74.72234,0.44,351d090184f0f4f6,No,Verified
PH00000099,P00000099,2025-10-24,31.284371,92.902728,31.284371,92.902728,0.39,2907f6d4e2660e96,No,Verified
PH00000100,P00000100,2025-09-19,31.643599,72.699523,31.643599,72.699523,0.22,b2bb89cb5608487d,No,Verified
PH00000101,P00000101,2025-12-24,10.665381,90.489552,10.665381,90.489552,0.13,07dc5561ad3848e9,No,Verified
PH00000102,P00000102,2025-10-02,25.184551,79.888293,25.184551,79.888293,0.09,19729f720c626058,No,Verified
PH00000103,P00000103,2025-07-18,20.359885,76.653545,21.167386,77.420359,81.7,ab915dae3d93974c,No,Mismatch
PH00000104,P00000104,2025-06-10,18.013809,81.338507,18.013809,81.338507,0.15,08b62d3f47e22a27,No,Verified
PH00000105,P00000105,2025-10-11,31.870635,83.857942,31.870635,83.857942,0.12,037f8e334e757a3d,No,Verified
PH00000106,P00000106,2025-08-26,33.686273,71.141209,33.686273,71.141209,0.19,204ce2a17c7b5736,No,Verified
PH00000107,P00000107,2025-12-07,12.409144,79.019771,12.409144,79.019771,0.29,223b0343999d14a6,No,Verified
PH00000108,P00000108,2025-09-07,21.72723,70.105965,21.72723,70.105965,0.46,385f2b43d24a6d9c,No,Verified
PH00000109,P00000109,2025-07-16,17.000828,82.07445,17.000828,82.07445,0.29,56b2ec8b323f1ce7,No,Verified
PH00000110,P00000110,2025-08-29,13.698628,86.048396,13.698628,86.048396,0.31,6656b6679a93df80,No,Verified
PH00000111,P00000111,2025-08-09,21.579228,79.159375,21.579228,79.159375,0.11,bf013f7ff00eb4d2,No,Verified
PH00000112,P00000112,2025-11-19,29.116323,78.39086,29.116323,78.39086,0.31,b176664eaf131cce,No,Verified
PH00000113,P00000113,2025-08-07,26.697188,89.86121,26.697188,89.86121,0.28,2c1b1482d8a5d8fb,No,Verified
PH00000114,P00000114,2025-12-04,33.570809,90.608293,33.570809,90.608293,0.43,253771de17cf9fa3,No,Verified
PH00000115,P00000115,2025-09-29,33.150089,78.5336,33.150089,78.5336,0.31,af615bf4098ebc8d,No,Verified
PH00000116,P00000116,2025-12-27,12.151138,79.718378,12.151138,79.718378,0.15,754b0c668b75aaad,No,Verified
PH00000117,P00000117,2025-10-26,18.280705,75.252127,18.280705,75.252127,0.21,313c0cee807d8008,No,Verified
PH00000118,P00000118,2025-06-22,32.746196,72.851223,32.746196,72.851223,0.42,8ba19c1d70972a49,No,Verified
PH00000119,P00000119,2025-05-08,10.240248,85.120989,10.240248,85.120989,0.01,7e4b5b8b1faff9ec,No,Verified
PH00000120,P00000120,2025-08-11,13.745354,75.588732,13.745354,75.588732,0.06,fe0839837f570886,No,Verified
PH00000121,P00000121,2025-10-10,26.063341,92.25908,26.063341,92.25908,0.32,4353358fe1e87643,No,Verified
PH00000122,P00000122,2025-10-05,15.11944,81.13088,15.11944,81.13088,0.02,a3fccc1a6239ad68,No,Verified
PH00000123,P00000123,2025-09-28,19.608164,86.15416,19.608164,86.15416,0.24,777bfc7ce6edf61a,No,Verified
PH00000124,P00000124,2025-04-30,8.159644,74.13682,8.159644,74.13682,0.28,94480612a4095b5c,No,Verified
PH00000125,P00000125,2025-06-04,20.414328,72.918525,20.414328,72.918525,0.02,0f96c19c462683d7,No,Verified
PH00000126,P00000126,2025-05-04,23.5349,93.103554,23.5349,93.103554,0.27,9a28b7e5760ac3b5,No,Verified
PH00000127,P00000127,2025-11-16,29.066472,82.52637,29.066472,82.52637,0.34,427a8210850751b2,No,Verified
PH00000128,P00000128,2025-12-29,31.04348,76.38469,31.04348,76.38469,0.03,1a8674a4ceb39db8,No,Verified
PH00000129,P00000129,2025-08-13,22.292601,92.185095,22.292601,92.185095,0.32,bc0886e48bd933e3,No,Verified
PH00000130,P00000130,2025-12-12,17.960689,80.295149,17.960689,80.295149,0.3,66b0138228165220,No,Verified
PH00000131,P00000131,2025-11-22,17.908314,89.219789,17.908314,89.219789,0.09,8570d3cf97148d4a,No,Verified
PH00000132,P00000132,2025-11-11,27.894791,76.659091,27.894791,76.659091,0.3,1168f8c0f2295a72,No,Verified
PH00000133,P00000133,2025-10-17,13.476167,79.080235,13.476167,79.080235,0.18,e404647f845b559a,No,Verified
PH00000134,P00000134,2025-06-29,27.575616,82.262206,27.575616,82.262206,0.1,789249f0d8dc95f0,No,Verified
PH00000135,P00000135,2025-11-05,31.067468,69.154245,31.674231,70.110592,139.16,e5ed30f55e9eee1e,No,Mismatch
PH00000136,P00000136,2025-11-02,29.439431,76.03661,29.439431,76.03661,0.5,e0ee132a9190cef7,No,Verified
PH00000137,P00000137,2025-10-08,16.539786,87.783478,16.539786,87.783478,0.13,913ba457c78bdd3d,No,Verified
PH00000138,P00000138,2025-11-28,23.01519,71.86326,23.01519,71.86326,0.07,87c45cae3296df8d,No,Verified
PH00000139,P00000139,2025-10-24,27.092933,73.07356,27.092933,73.07356,0.09,da701d500088741d,No,Verified
PH00000140,P00000140,2025-06-02,10.997944,79.688736,10.997944,79.688736,0.18,c66432fcbcf11a08,No,Verified
PH00000141,P00000141,2025-05-04,32.702337,76.500131,32.702337,76.500131,0.31,86b13f1d91afb318,No,Verified
PH00000142,P00000142,2026-01-11,10.2982,83.589798,10.2982,83.589798,0.2,efde227c0cb5350c,No,Verified
PH00000143,P00000143,2025-10-01,11.001032,80.193155,11.001032,80.193155,0.45,42d1ff38e6fc3ba0,No,Verified
PH00000144,P00000144,2025-06-16,32.471301,78.284944,32.471301,78.284944,0.2,83c77c3453db72e3,No,Verified
PH00000145,P00000145,2025-10-08,23.498269,90.384074,24.128608,91.185729,73.75,91a81f9bb1d3d2e5,Yes,Duplicate
PH00000146,P00000146,2025-06-11,11.430605,84.238671,11.430605,84.238671,0.17,524445a4df0fb3a9,No,Verified
PH00000147,P00000147,2025-05-22,9.374021,77.45311,9.374021,77.45311,0.48,a8feaad5c253eb8a,No,Verified
PH00000148,P00000148,2025-06-12,28.325077,88.596078,28.325077,88.596078,0.19,3153a0cf9c7e9803,No,Verified
PH00000149,P00000149,2025-04-29,11.924737,74.101122,11.924737,74.101122,0.42,29892c9fb682a801,No,Verified
PH00000150,P00000150,2025-05-16,25.916181,71.176192,25.916181,71.176192,0.42,d38ebbe1b5754aad,No,Verified
PH00000151,P00000151,2025-08-16,32.705541,83.672227,32.705541,83.672227,0.49,1d4723ea3ed60af1,No,Verified
PH00000152,P00000152,2025-07-31,20.08559,95.393795,20.08559,95.393795,0.05,576bfde7cea834ee,No,Verified
PH00000153,P00000153,2025-12-18,29.830897,89.287263,29.830897,89.287263,0.22,ef4b965496c8c84c,No,Verified
PH00000154,P00000154,2025-08-12,27.723678,83.159885,27.723678,83.159885,0.21,94ec1b00b2146c73,No,Verified
PH00000155,P00000155,2025-10-10,32.760924,79.151357,32.760924,79.151357,0.46,da6d4fa6d2d04d2b,No,Verified
PH00000156,P00000156,2025-09-26,14.83804,94.895032,14.83804,94.895032,0.05,9fe9fbc35649c3b2,No,Verified
PH00000157,P00000157,2026-04-03,8.800817,93.39441,8.800817,93.39441,0.17,ce9697feeccf5c18,No,Verified
PH00000158,P00000158,2025-11-23,21.490031,77.408937,21.490031,77.408937,0.1,e07981cc95dacd4c,No,Verified
PH00000159,P00000159,2025-10-27,26.583775,87.4288,26.583775,87.4288,0.18,262a7c8d89949bae,No,Verified
PH00000160,P00000160,2025-11-13,21.150633,84.781408,21.150633,84.781408,0.08,ee5d27fb39c93d7a,No,Verified
PH00000161,P00000161,2025-06-14,24.829022,76.315103,24.829022,76.315103,0.37,06154ab0e0c6e760,No,Verified
PH00000162,P00000162,2025-08-13,23.002891,94.293832,23.502127,95.171835,44.97,ab376999f45100d4,Yes,Duplicate
PH00000163,P00000163,2026-02-17,29.24173,89.142662,29.24173,89.142662,0.35,f30e09ecff5e2796,No,Verified
PH00000164,P00000164,2025-08-14,20.844438,95.141601,20.844438,95.141601,0.17,5239c3dfca3a99ae,No,Verified
PH00000165,P00000165,2025-09-09,34.434581,90.367633,34.434581,90.367633,0.49,3f7997c690bbfb13,No,Verified
PH00000166,P00000166,2025-12-06,27.894026,93.428532,27.894026,93.428532,0.29,0b3e4b39a54a4e2f,No,Verified
PH00000167,P00000167,2026-03-19,32.496078,78.373801,32.496078,78.373801,0.12,e8d2e49165954820,No,Verified
PH00000168,P00000168,2025-07-28,10.696515,96.64011,10.696515,96.64011,0.45,c4cddcbbadbec095,No,Verified
PH00000169,P00000169,2025-09-03,30.941793,90.428042,30.941793,90.428042,0.43,02fd620b32c311ae,No,Verified
PH00000170,P00000170,2025-03-16,30.851644,70.039798,30.851644,70.039798,0.22,e2d194a83f93912d,No,Verified
PH00000171,P00000171,2025-09-10,16.15384,84.460963,16.15384,84.460963,0.02,dbfa3e973557cc7f,No,Verified
PH00000172,P00000172,2025-08-15,32.271827,77.789801,32.271827,77.789801,0.26,5376bbb227060400,No,Verified
PH00000173,P00000173,2025-07-20,32.121567,78.058841,32.121567,78.058841,0.49,783eb41e30ec0c62,No,Verified
PH00000174,P00000174,2025-09-04,12.808416,96.351241,12.808416,96.351241,0.03,1684f1d19c17ac9c,No,Verified
PH00000175,P00000175,2025-12-03,14.256169,72.779248,14.256169,72.779248,0.07,67a5bb2c78bb91c4,No,Verified
PH00000176,P00000176,2025-11-22,8.366545,91.76346,8.366545,91.76346,0.07,fc6d0cb836a53fa2,No,Verified
PH00000177,P00000177,2025-05-06,32.358309,94.07234,32.358309,94.07234,0.5,c8764876f4ca7ec1,No,Verified
PH00000178,P00000178,2025-06-22,27.213634,94.019325,27.213634,94.019325,0.28,747348780b2473c0,No,Verified
PH00000179,P00000179,2025-05-09,27.541931,90.400346,27.541931,90.400346,0.09,3959637c7d1c8a3e,No,Verified
PH00000180,P00000180,2025-10-11,34.286645,92.774247,34.286645,92.774247,0.11,ccb3e694f7d04a77,No,Verified
PH00000181,P00000181,2025-04-29,31.85445,75.389978,31.85445,75.389978,0.29,6ee28774d77bf9aa,No,Verified
PH00000182,P00000182,2025-11-13,27.591878,94.42273,27.591878,94.42273,0.39,512d9a9c71d8dfe3,No,Verified
PH00000183,P00000183,2026-01-26,18.553122,79.994261,19.32979,80.35623,49.22,1469ca5509652a3f,Yes,Duplicate
PH00000184,P00000184,2025-04-06,9.79714,93.399213,9.79714,93.399213,0.36,95b5844b7a0d260d,No,Verified
PH00000185,P00000185,2026-01-05,32.972014,74.429038,32.972014,74.429038,0.36,a3fc08db2cf14c47,No,Verified
PH00000186,P00000186,2025-08-02,30.280784,80.664648,30.994794,81.557349,67.1,0b3e0140382c4e46,No,Mismatch
PH00000187,P00000187,2025-04-24,17.849529,82.799673,17.849529,82.799673,0.2,ce26a7b68c9aeeac,No,Verified
PH00000188,P00000188,2026-02-21,34.297705,78.023525,34.297705,78.023525,0.25,aee08dcf20014bbb,No,Verified
PH00000189,P00000189,2025-12-10,26.202475,89.202546,26.202475,89.202546,0.06,335be8b7e5aef1fd,No,Verified
PH00000190,P00000190,2025-09-24,10.811618,70.739561,10.811618,70.739561,0.02,912a676b5594229d,No,Verified
PH00000191,P00000191,2025-05-09,13.718742,82.378221,13.718742,82.378221,0.33,919df5b601c523fa,No,Verified
PH00000192,P00000192,2025-08-26,14.017324,92.189666,14.017324,92.189666,0.17,e6e6b72a4e7fea07,No,Verified
PH00000193,P00000193,2025-12-25,10.06432,83.146955,11.223078,83.679598,129.36,c4e412657efbd506,Yes,Duplicate
PH00000194,P00000194,2025-09-15,13.62192,88.429681,13.62192,88.429681,0.33,7cad204478c37adb,No,Verified
PH00000195,P00000195,2025-04-01,29.750158,93.176005,29.750158,93.176005,0.37,408f15686f750a8e,No,Verified
PH00000196,P00000196,2025-07-24,12.451687,73.869558,12.451687,73.869558,0.18,2ecda2ada5410d60,No,Verified
PH00000197,P00000197,2025-03-03,8.245136,82.590645,8.245136,82.590645,0.47,0a6b5b11f794a3a7,No,Verified
PH00000198,P00000198,2025-05-27,21.428265,94.291637,21.428265,94.291637,0.03,1e884ac82e6551a1,No,Verified
PH00000199,P00000199,2025-09-20,15.406691,70.342628,15.406691,70.342628,0.24,be0b373e5f150670,No,Verified
PH00000200,P00000200,2025-11-19,14.121408,79.895447,14.121408,79.895447,0.46,3bf3c7fa12d6fd70,No,Verified
PH00000201,P00000201,2025-11-28,19.932867,71.985656,19.932867,71.985656,0.33,74faefedbf381038,No,Verified
PH00000202,P00000202,2026-02-27,11.967823,96.579499,11.967823,96.579499,0.13,cd8a5f0ae3102337,No,Verified
PH00000203,P00000203,2025-08-03,24.357161,90.295835,24.357161,90.295835,0.46,f006815b7d36a06e,No,Verified
PH00000204,P00000204,2025-12-24,32.263955,73.590457,32.263955,73.590457,0.31,e5ec3751927c231e,No,Verified
PH00000205,P00000205,2025-02-09,9.190929,77.517161,9.190929,77.517161,0.05,66b65d3d80e74b71,No,Verified
PH00000206,P00000206,2025-05-21,15.361712,78.178039,15.361712,78.178039,0.46,7b68096dd29f0d3f,No,Verified
PH00000207,P00000207,2025-09-05,8.95939,75.004992,8.95939,75.004992,0.01,495489e292f45ed2,No,Verified
PH00000208,P00000208,2025-09-06,10.408044,72.899009,10.408044,72.899009,0.24,0894dd1aa8eb05e7,No,Verified
PH00000209,P00000209,2025-10-01,33.385364,95.918167,33.385364,95.918167,0.44,3c05e3f405235fb9,No,Verified
PH00000210,P00000210,2025-08-22,10.24536,94.778179,10.24536,94.778179,0.28,93ae3bb7385e0a9b,No,Verified
PH00000211,P00000211,2025-03-20,25.640691,74.150251,25.640691,74.150251,0.07,3b8d2d2d8c1dbbac,No,Verified
PH00000212,P00000212,2025-07-15,33.099691,72.38692,33.099691,72.38692,0.34,8e93e780a0840eb0,No,Verified
PH00000213,P00000213,2025-11-28,23.739907,92.205157,23.739907,92.205157,0.5,4b95c9c6ce0ac1ec,No,Verified
PH00000214,P00000214,2025-10-27,8.697216,82.830651,8.697216,82.830651,0.33,8a0509f840a09112,No,Verified
PH00000215,P00000215,2025-12-13,13.211396,91.056602,13.211396,91.056602,0.34,c43e7d190c27c707,No,Verified
PH00000216,P00000216,2026-02-01,22.875244,78.795094,22.875244,78.795094,0.03,cf8bbd3ec6b84436,No,Verified
PH00000217,P00000217,2025-10-19,18.723551,83.557903,18.723551,83.557903,0.49,cbd1b663b508171f,No,Verified
PH00000218,P00000218,2025-09-05,19.121953,84.595114,19.121953,84.595114,0.38,6dde6d0c5f6f0c7f,No,Verified
PH00000219,P00000219,2025-10-02,20.377862,83.786746,20.377862,83.786746,0.14,863cef92814a5ea3,No,Verified
PH00000220,P00000220,2025-09-05,28.027362,84.448307,28.027362,84.448307,0.16,b6c48b4072000d4e,No,Verified
PH00000221,P00000221,2025-11-24,25.250452,71.326572,25.250452,71.326572,0.26,f148256768e13797,No,Verified
PH00000222,P00000222,2025-10-23,28.959298,91.682171,28.959298,91.682171,0.48,0e275e8c9cf9383c,No,Verified
PH00000223,P00000223,2025-03-07,30.853449,75.448251,30.853449,75.448251,0.49,90d294ef4fb1f3ee,No,Verified
PH00000224,P00000224,2025-08-16,15.95792,86.432836,15.95792,86.432836,0.17,73bed8c7942232e1,No,Verified
PH00000225,P00000225,2025-12-08,10.316876,69.249567,10.316876,69.249567,0.32,ea41f44fd3a2f19e,No,Verified
PH00000226,P00000226,2025-09-23,22.529469,82.631581,22.529469,82.631581,0.45,f97ce3e4283fa39a,No,Verified
PH00000227,P00000227,2025-12-02,16.396095,79.702578,17.24655,80.395772,89.63,58759a8f1b66b4b3,No,Mismatch
PH00000228,P00000228,2025-03-20,14.274539,92.45937,14.274539,92.45937,0.23,cb504c6bcd359808,No,Verified
PH00000229,P00000229,2025-09-21,31.931386,90.6041,31.931386,90.6041,0.45,2fa906093438b315,No,Verified
