UC_ID,Project_ID,UC_Submission_Date,Claimed_Utilized_Amount,Actual_Utilized_Amount,Completion_Percentage,UC_Status
UC00000034,P00000034,2026-04-04,7666532,7470550,92,Verified
UC00000035,P00000035,2025-08-15,8077450,7563834,81,Verified
UC00000036,P00000036,2025-07-10,890000,883865,94,Under Review
UC00000037,P00000037,2025-09-14,7030782,6950422,97,Under Review
UC00000038,P00000038,2025-12-16,3259651,3077636,92,Under Review
UC00000039,P00000039,2026-01-06,9466872,3886151,71,Suspicious
UC00000040,P00000040,2025-12-28,3965405,3826769,96,Verified
UC00000041,P00000041,2025-10-24,1475412,1389002,98,Verified
UC00000042,P00000042,2026-01-04,4321405,4282066,80,Verified
UC00000043,P00000043,2026-02-23,4503641,4189905,93,Verified
UC00000044,P00000044,2025-12-11,2461671,2350767,93,Verified
UC00000045,P00000045,2025-12-29,4790392,4657413,82,Verified
UC00000046,P00000046,2025-09-02,8340000,8165003,93,Verified
UC00000047,P00000047,2026-02-23,7620381,7478400,90,Verified
UC00000048,P00000048,2025-12-27,8701930,8288272,90,Verified
UC00000049,P00000049,2025-07-25,5490055,5341558,91,Verified
UC00000050,P00000050,2025-11-17,6876196,6574347,92,Verified
UC00000051,P00000051,2025-11-30,8541824,8424052,85,Verified
UC00000052,P00000052,2026-01-20,9850000,9447755,97,Under Review
UC00000053,P00000053,2025-11-15,3146449,3135030,83,Verified
UC00000054,P00000054,2026-05-16,8166151,7593458,98,Verified
UC00000055,P00000055,2025-07-06,601179,569001,98,Verified
UC00000056,P00000056,2025-08-29,4866330,4847792,99,Verified
UC00000057,P00000057,2026-02-12,7204578,6966440,99,Verified
UC00000058,P00000058,2025-11-21,7583209,5807776,51,Suspicious
UC00000059,P00000059,2026-02-24,4033965,3839867,80,Under Review
UC00000060,P00000060,2025-11-21,7420274,7165954,81,Under Review
UC00000061,P00000061,2026-05-29,4130556,4105869,92,Under Review
UC00000062,P00000062,2026-01-14,2237905,2173661,94,Verified
UC00000063,P00000063,2026-04-21,7353489,7261476,87,Verified
UC00000064,P00000064,2025-10-26,6491891,6035401,98,Verified
UC00000065,P00000065,2025-10-18,7671549,7251221,88,Verified
UC00000066,P00000066,2025-08-07,6659549,6194104,98,Verified
UC00000067,P00000067,2026-01-22,7532515,7243548,91,Verified
UC00000068,P00000068,2025-05-07,5868362,5467821,94,Verified
UC00000069,P00000069,2025-10-24,3375015,1659275,46,Suspicious
UC00000070,P00000070,2025-10-09,5712854,5635787,90,Verified
UC00000071,P00000071,2025-11-01,983527,979714,90,Verified
UC00000072,P00000072,2026-04-23,2739699,2710967,80,Verified
UC00000073,P00000073,2025-09-08,4175731,3985377,98,Verified
UC00000074,P00000074,2025-10-02,2656471,2641888,95,Verified
UC00000075,P00000075,2025-12-04,1249189,1232000,96,Under Review
UC00000076,P00000076,2026-03-24,7409280,7236325,89,Verified
UC00000077,P00000077,2025-11-25,3632154,3489024,88,Verified
UC00000078,P00000078,2025-12-11,4427012,4309087,82,Under Review
UC00000079,P00000079,2025-08-02,7723855,7599320,90,Verified
UC00000080,P00000080,2025-12-15,5572886,5544189,89,Under Review
UC00000081,P00000081,2025-10-21,8780000,8648192,91,Verified
UC00000082,P00000082,2026-01-06,8410000,8181058,96,Verified
UC00000083,P00000083,2026-03-25,4818178,4606422,87,Under Review
UC00000084,P00000084,2025-11-01,8531242,8451134,82,Verified
UC00000085,P00000085,2025-12-15,6750000,6577936,84,Verified
UC00000086,P00000086,2025-12-01,8913314,4350964,63,Suspicious
UC00000087,P00000087,2025-11-14,4340383,4103573,99,Under Review
UC00000088,P00000088,2026-02-19,5329061,5292163,88,Verified
UC00000089,P00000089,2025-12-04,7663315,7234766,88,Verified
UC00000090,P00000090,2026-02-14,7352650,7034639,92,Verified
UC00000091,P00000091,2025-09-15,8367239,8186151,92,Verified
UC00000092,P00000092,2026-01-26,4204042,4082891,98,Under Review
UC00000093,P00000093,2026-01-07,1097107,1021654,86,Verified
UC00000094,P00000094,2026-01-31,891751,835865,93,Verified
UC00000095,P00000095,2025-12-16,8754650,8206502,92,Verified
UC00000096,P00000096,2026-01-29,1310415,1220297,84,Verified
UC00000097,P00000097,2025-11-10,5511824,5350172,95,Verified
UC00000098,P00000098,2025-08-12,6335716,6078934,91,Verified
UC00000099,P00000099,2025-12-13,7240000,7018583,99,Verified
UC00000100,P00000100,2025-08-19,1371972,1281178,83,Verified
UC00000101,P00000101,2026-03-04,1557805,802184,45,Suspicious
UC00000102,P00000102,2025-12-16,1200000,1187272,83,Under Review
UC00000103,P00000103,2026-02-06,2655416,2603752,94,Verified
UC00000104,P00000104,2025-10-29,5127271,3463679,58,Under Review
UC00000105,P00000105,2025-11-16,1315122,874906,69,Under Review
UC00000106,P00000106,2026-01-21,3281167,3054838,93,Under Review
UC00000107,P00000107,2026-03-19,5794905,5627178,96,Verified
UC00000108,P00000108,2026-04-13,997350,978456,81,Verified
UC00000109,P00000109,2025-11-05,6213446,5833077,94,Verified
UC00000110,P00000110,2025-11-08,1623495,1570540,97,Verified
UC00000111,P00000111,2025-10-06,3735048,3572211,94,Under Review
UC00000112,P00000112,2025-10-25,9018661,8353285,85,Verified
UC00000113,P00000113,2026-02-19,8676156,8426014,83,Verified
UC00000114,P00000114,2025-10-02,8080200,7644243,95,Under Review
UC00000115,P00000115,2025-08-16,5367043,3997548,54,Suspicious
UC00000116,P00000116,2025-10-29,9890000,9815148,90,Under Review
UC00000117,P00000117,2025-10-23,6730518,6620256,98,Verified
UC00000118,P00000118,2025-08-03,3650000,3561030,94,Verified
UC00000119,P00000119,2025-06-08,5059399,5015697,83,Under Review
UC00000120,P00000120,2025-11-09,3324600,3305070,92,Verified
UC00000121,P00000121,2025-12-12,2930939,2808576,95,Verified
UC00000122,P00000122,2026-02-16,4137477,4074883,90,Under Review
UC00000123,P00000123,2025-08-25,1370000,1347765,82,Verified
UC00000124,P00000124,2025-09-19,1940497,1832114,98,Verified
UC00000125,P00000125,2025-09-17,1991084,1938143,100,Verified
UC00000126,P00000126,2025-05-25,7120992,6982592,86,Verified
UC00000127,P00000127,2026-02-10,1623250,1604761,82,Verified
UC00000128,P00000128,2025-11-27,2393857,2268505,90,Verified
UC00000129,P00000129,2025-08-09,9064296,8790848,80,Verified
UC00000130,P00000130,2025-08-20,4650083,4378282,94,Under Review
UC00000131,P00000131,2026-01-06,4989895,4979483,86,Verified
UC00000132,P00000132,2026-03-26,9320000,9242260,98,Verified
UC00000133,P00000133,2025-12-30,2437903,2377644,96,Verified
UC00000134,P00000134,2025-11-20,3938464,1740110,64,Under Review
UC00000135,P00000135,2025-12-31,3873508,3746591,96,Verified
UC00000136,P00000136,2026-05-09,7171132,7007353,98,Verified
UC00000137,P00000137,2025-09-13,5406487,5405630,81,Verified
UC00000138,P00000138,2026-01-29,1670000,1590684,99,Under Review
UC00000139,P00000139,2026-03-10,1168934,1105483,100,Verified
UC00000140,P00000140,2026-01-16,6936207,6467749,89,Verified
UC00000141,P00000141,2025-04-20,686897,641065,94,Verified
UC00000142,P00000142,2026-02-11,5906101,5655019,99,Under Review
UC00000143,P00000143,2026-04-28,8040000,7763470,89,Verified
UC00000144,P00000144,2025-11-26,9851714,9350534,98,Verified
UC00000145,P00000145,2025-07-29,1038990,971387,91,Verified
UC00000146,P00000146,2025-08-30,8609827,8285913,89,Under Review
UC00000147,P00000147,2025-07-04,2300585,2239118,80,Verified
UC00000148,P00000148,2025-10-13,8321662,8166463,92,Verified
UC00000149,P00000149,2025-11-05,3081880,2975560,91,Verified
UC00000150,P00000150,2025-11-06,7023029,6977036,94,Verified
UC00000151,P00000151,2025-10-01,6639030,6400470,87,Verified
UC00000152,P00000152,2025-11-10,2615059,2520662,95,Verified
UC00000153,P00000153,2025-12-16,3325616,3260315,91,Verified
UC00000154,P00000154,2025-06-29,6696705,6303117,94,Verified
UC00000155,P00000155,2025-12-04,2712589,2575061,89,Under Review
UC00000156,P00000156,2026-03-14,2320000,2268749,87,Verified
UC00000157,P00000157,2025-12-29,4083612,4018819,91,Verified
UC00000158,P00000158,2025-12-09,4269686,4050028,92,Under Review
UC00000159,P00000159,2025-08-13,1475199,1386772,81,Verified
UC00000160,P00000160,2026-02-01,8090000,7690127,97,Verified
UC00000161,P00000161,2025-10-11,1633730,910595,68,Under Review
UC00000162,P00000162,2026-04-19,2890025,1527410,45,Suspicious
UC00000163,P00000163,2026-03-07,552739,529259,97,Under Review
UC00000164,P00000164,2025-12-03,3639942,3589780,93,Under Review
UC00000165,P00000165,2025-11-15,3394466,3323688,86,Verified
UC00000166,P00000166,2025-10-19,2266696,2247367,85,Under Review
UC00000167,P00000167,2026-03-16,6918953,6749132,86,Verified
UC00000168,P00000168,2026-02-18,2242603,2182133,88,Verified
UC00000169,P00000169,2025-11-24,2734483,2703300,97,Verified
UC00000170,P00000170,2025-09-03,1252454,1220436,91,Verified
UC00000171,P00000171,2026-02-21,1090000,1031337,92,Under Review
UC00000172,P00000172,2025-11-07,4017136,3866602,88,Verified
UC00000173,P00000173,2025-08-10,1025922,497494,68,Under Review
UC00000174,P00000174,2025-08-14,2053948,1965046,88,Verified
UC00000175,P00000175,2026-01-04,7262129,6729237,85,Under Review
UC00000176,P00000176,2025-10-20,2018499,1958257,82,Verified
UC00000177,P00000177,2025-10-03,7780932,7367761,92,Under Review
UC00000178,P00000178,2025-07-18,1590000,1562269,97,Under Review
UC00000179,P00000179,2025-04-12,6463778,6373224,94,Verified
UC00000180,P00000180,2026-05-11,2220332,2193789,85,Verified
UC00000181,P00000181,2025-06-26,8477365,8012605,84,Verified
UC00000182,P00000182,2025-12-31,6780006,6547011,99,Under Review
UC00000183,P00000183,2026-02-22,3902052,3615015,84,Verified
UC00000184,P00000184,2025-09-12,8082794,3896846,47,Under Review
UC00000185,P00000185,2026-02-22,1650000,1575171,86,Verified
UC00000186,P00000186,2026-01-01,3639104,3628496,88,Under Review
UC00000187,P00000187,2025-10-12,4871615,4803460,91,Verified
UC00000188,P00000188,2026-05-24,7567442,7359221,95,Verified
UC00000189,P00000189,2025-09-22,8950000,8619698,98,Verified
UC00000190,P00000190,2025-11-09,2810876,2670243,91,Verified
UC00000191,P00000191,2025-09-11,7210000,7163898,96,Verified
UC00000192,P00000192,2025-12-16,7570000,7508076,98,Verified
UC00000193,P00000193,2025-12-03,7857241,7710559,89,Verified
UC00000194,P00000194,2025-11-14,3278105,3260970,99,Under Review
UC00000195,P00000195,2025-06-02,6765285,6461019,80,Under Review
UC00000196,P00000196,2025-07-24,7775688,7325447,93,Verified
UC00000197,P00000197,2025-09-04,496331,301835,66,Suspicious
UC00000198,P00000198,2025-11-25,2222792,2155187,85,Verified
UC00000199,P00000199,2026-04-24,2595130,2499493,90,Verified
UC00000200,P00000200,2026-02-16,5586450,5521219,86,Verified
UC00000201,P00000201,2025-12-25,6310000,6235874,98,Verified
UC00000202,P00000202,2026-03-08,7376946,7225855,99,Verified
UC00000203,P00000203,2025-06-10,5144087,2995459,70,Under Review
UC00000204,P00000204,2026-03-24,6670000,6459327,96,Verified
UC00000205,P00000205,2025-10-09,5590591,5426907,92,Verified
UC00000206,P00000206,2025-06-10,7684559,7191492,88,Verified
UC00000207,P00000207,2025-11-19,2957468,2911534,81,Verified
UC00000208,P00000208,2025-07-26,1019362,965182,93,Verified
UC00000209,P00000209,2026-04-28,1580000,1532824,91,Verified
UC00000210,P00000210,2025-12-17,1616966,1615717,83,Verified
UC00000211,P00000211,2025-11-21,5189714,4822512,87,Verified
UC00000212,P00000212,2025-09-27,8507519,4279921,52,Under Review
UC00000213,P00000213,2025-12-06,7799498,4574241,56,Suspicious
UC00000214,P00000214,2025-11-24,4546048,4440163,85,Verified
UC00000215,P00000215,2026-01-07,7131932,7082379,96,Verified
UC00000216,P00000216,2026-01-11,943559,937412,93,Verified
UC00000217,P00000217,2025-09-25,7080000,7008094,81,Verified
UC00000218,P00000218,2025-12-31,4160000,4096040,95,Verified
UC00000219,P00000219,2026-03-18,1271248,1224133,100,Verified
UC00000220,P00000220,2025-12-05,8413072,8007433,80,Verified
UC00000221,P00000221,2026-02-20,8403646,7854278,97,Under Review
UC00000222,P00000222,2025-07-14,5377568,5186944,91,Verified
UC00000223,P00000223,2025-08-25,2301647,2295247,96,Verified
UC00000224,P00000224,2025-11-16,4288312,4051528,99,Verified
UC00000225,P00000225,2026-01-08,1016781,1004743,100,Verified
UC00000226,P00000226,2026-03-10,1160788,1110578,100,Verified
UC00000227,P00000227,2026-01-04,1933636,1878242,98,Verified
UC00000228,P00000228,2025-11-17,2085891,2049158,91,Under Review
UC00000229,P00000229,2025-05-10,4203500,4001749,97,Verified
UC00000230,P00000230,2025-06-05,646566,611898,93,Under Review
UC00000231,P00000231,2026-05-26,2419075,2345188,88,Verified
UC00000232,P00000232,2025-08-22,6084848,5990796,81,Verified
UC00000233,P00000233,2025-10-13,1300000,1238514,85,Under Review
UC00000234,P00000234,2025-12-07,4924581,4793452,100,Verified
UC00000235,P00000235,2026-01-04,8408022,6613281,72,Suspicious
UC00000236,P00000236,2025-07-17,1708629,1700625,85,Under Review
UC00000237,P00000237,2026-01-28,5489503,5211033,92,Verified
UC00000238,P00000238,2025-11-19,5750108,5439193,96,Under Review
UC00000239,P00000239,2025-09-08,8845073,8208973,88,Under Review
UC00000240,P00000240,2026-03-21,9109231,8445848,100,Verified
UC00000241,P00000241,2026-02-02,3560244,3350741,91,Verified
UC00000242,P00000242,2025-07-26,6482438,4434289,50,Suspicious
UC00000243,P00000243,2025-08-14,966800,907582,96,Under Review
UC00000244,P00000244,2025-06-06,6936973,6659514,80,Verified
UC00000245,P00000245,2025-06-17,9281786,7002456,41,Suspicious
UC00000246,P00000246,2026-05-13,7616543,7415093,96,Verified
UC00000247,P00000247,2025-10-17,9743217,9300393,97,Verified
UC00000248,P00000248,2025-08-08,8471997,7941874,86,Verified
UC00000249,P00000249,2025-09-16,1874506,1802277,95,Verified
UC00000250,P00000250,2025-11-01,3053451,2921817,100,Verified
UC00000251,P00000251,2025-05-19,4453313,4299818,88,Verified
UC00000252,P00000252,2025-09-09,7001267,6577895,90,Verified
UC00000253,P00000253,2025-10-24,9220829,9168756,81,Verified
UC00000254,P00000254,2026-03-15,3484266,3245851,82,Verified
UC00000255,P00000255,2026-02-06,8242226,7720409,88,Under Review
UC00000256,P00000256,2026-03-01,4006324,3849114,85,Verified
UC00000257,P00000257,2025-11-18,8892239,8775152,94,Verified
UC00000258,P00000258,2025-10-11,3306978,1768407,40,Suspicious
UC00000259,P00000259,2025-07-16,2595681,2433511,82,Verified
UC00000260,P00000260,2025-12-17,7760000,7529703,89,Under Review
UC00000261,P00000261,2026-03-29,1442024,1368546,84,Verified
UC00000262,P00000262,2026-01-20,1060000,1031465,83,Verified
UC00000263,P00000263,2026-01-04,7239673,7014989,93,Verified
UC00000264,P00000264,2025-08-13,2968830,2936453,98,Verified
UC00000265,P00000265,2025-10-13,4276446,3359297,74,Suspicious
UC00000266,P00000266,2025-09-25,1453982,1364645,83,Verified
UC00000267,P00000267,2025-11-03,4091742,4073108,89,Under Review
UC00000268,P00000268,2026-01-15,8531570,8359257,91,Verified
UC00000269,P00000269,2026-02-14,3100000,2959769,93,Verified
UC00000270,P00000270,2026-01-19,7526512,7195112,94,Under Review
UC00000271,P00000271,2026-03-11,7070000,6615656,93,Under Review
UC00000272,P00000272,2026-01-08,3983311,3930014,81,Under Review
UC00000273,P00000273,2026-03-17,4179661,4019610,92,Verified
UC00000274,P00000274,2025-08-14,5168896,2861495,63,Suspicious
UC00000275,P00000275,2025-12-13,5053483,4711784,88,Verified
UC00000276,P00000276,2026-04-14,1611294,1585492,80,Verified
UC00000277,P00000277,2025-07-18,574759,572911,82,Verified
UC00000278,P00000278,2025-09-05,2546793,2480846,89,Under Review
UC00000279,P00000279,2025-10-29,2090000,2026744,86,Verified
UC00000280,P00000280,2025-11-06,2876167,2844565,99,Verified
UC00000281,P00000281,2025-09-29,2885434,2769517,90,Verified
UC00000282,P00000282,2025-11-15,6298497,6070835,90,Verified
UC00000283,P00000283,2026-01-23,4553888,4269968,100,Verified
UC00000284,P00000284,2025-08-22,8666377,8483233,94,Verified
UC00000285,P00000285,2026-03-22,1300000,1270970,81,Verified
UC00000286,P00000286,2026-05-09,6098487,4423636,54,Suspicious
UC00000287,P00000287,2025-12-24,4138704,3862036,85,Verified
UC00000288,P00000288,2025-11-08,7190804,6685708,95,Verified
UC00000289,P00000289,2025-11-13,5183138,5141929,81,Under Review
UC00000290,P00000290,2025-08-29,8220042,7764961,98,Verified
UC00000291,P00000291,2025-09-07,4958622,4903790,81,Verified
UC00000292,P00000292,2025-11-12,1335127,1268283,82,Verified
UC00000293,P00000293,2025-12-06,1071021,1008623,90,Verified
UC00000294,P00000294,2025-10-19,6570000,6132449,80,Verified
UC00000295,P00000295,2025-12-09,7810000,7671984,96,Under Review
UC00000296,P00000296,2026-06-06,8089363,7898902,91,Verified
UC00000297,P00000297,2026-02-07,7933613,5676574,45,Under Review
UC00000298,P00000298,2025-11-06,573210,542775,89,Under Review
UC00000299,P00000299,2025-12-02,5307395,5063442,85,Verified
UC00000300,P00000300,2025-12-12,4550000,4484160,99,Verified
UC00000301,P00000301,2025-06-13,5105473,5043574,96,Verified
UC00000302,P00000302,2025-11-02,4647685,4592190,86,Verified
UC00000303,P00000303,2026-02-19,7182787,7012602,87,Verified
UC00000304,P00000304,2025-07-21,6742920,4884167,48,Under Review
UC00000305,P00000305,2025-12-31,1915901,1783058,96,Verified
UC00000306,P00000306,2025-08-03,9200000,9186068,84,Verified
UC00000307,P00000307,2025-10-19,3925685,3682510,97,Verified
UC00000308,P00000308,2026-01-07,8046162,7820991,93,Verified
UC00000309,P00000309,2026-03-23,2959907,2839963,99,Verified
UC00000310,P00000310,2025-12-28,1551086,1493618,99,Verified
UC00000311,P00000311,2026-01-14,7935349,3860686,73,Suspicious
UC00000312,P00000312,2025-07-21,3618986,3547617,98,Verified
UC00000313,P00000313,2025-12-10,3121480,3115212,82,Under Review
UC00000314,P00000314,2025-12-07,2500000,2466825,98,Verified
UC00000315,P00000315,2025-12-22,5591537,3578819,54,Suspicious
UC00000316,P00000316,2026-01-20,6994568,6991953,87,Verified
UC00000317,P00000317,2025-10-23,2311618,2274228,91,Verified
UC00000318,P00000318,2025-10-30,8693138,8669613,89,Verified
UC00000319,P00000319,2025-11-17,1833423,1702549,81,Verified
UC00000320,P00000320,2026-01-10,2783315,1809124,52,Suspicious
UC00000321,P00000321,2025-05-22,8602412,8419799,82,Verified
UC00000322,P00000322,2025-10-16,3680000,3662340,89,Verified
UC00000323,P00000323,2025-07-27,7025512,7012101,88,Verified
UC00000324,P00000324,2026-03-27,6692360,4640049,63,Suspicious
UC00000325,P00000325,2025-11-16,559638,554639,80,Verified
UC00000326,P00000326,2025-12-30,2868514,2721778,97,Under Review
UC00000327,P00000327,2025-10-25,8356168,7986404,91,Verified
UC00000328,P00000328,2025-10-22,1929445,1914886,81,Verified
UC00000329,P00000329,2025-07-17,8525182,8100630,83,Under Review
UC00000330,P00000330,2025-10-06,803535,757754,97,Under Review
UC00000331,P00000331,2025-11-26,7750000,7735256,91,Under Review
UC00000332,P00000332,2025-06-06,4167748,2701116,50,Under Review
UC00000333,P00000333,2026-03-07,2475006,2465787,91,Under Review
UC00000334,P00000334,2025-11-17,2774726,2606458,97,Verified
UC00000335,P00000335,2026-03-28,7771359,7242885,89,Verified
UC00000336,P00000336,2026-01-18,1138001,1086075,99,Verified
UC00000337,P00000337,2025-07-29,9580000,9108494,84,Verified
UC00000338,P00000338,2026-01-09,6083103,5939155,93,Verified
UC00000339,P00000339,2026-02-13,2970000,2954770,85,Verified
UC00000340,P00000340,2025-08-06,868432,850703,90,Verified
UC00000341,P00000341,2026-03-10,4263787,4061665,91,Verified
UC00000342,P00000342,2025-12-26,9443324,9262919,93,Verified
UC00000343,P00000343,2026-05-18,3755526,3547658,89,Verified
UC00000344,P00000344,2026-06-05,3884652,3675511,84,Under Review
UC00000345,P00000345,2026-03-31,989368,431071,42,Suspicious
UC00000346,P00000346,2026-03-16,1713435,1703113,89,Verified
UC00000347,P00000347,2025-08-13,6501914,6358548,87,Verified
UC00000348,P00000348,2025-07-11,7523530,6982536,97,Verified
UC00000349,P00000349,2025-12-06,2830000,2778131,92,Verified
UC00000350,P00000350,2025-09-24,560167,520123,87,Under Review
UC00000351,P00000351,2025-10-11,1857707,1839959,84,Verified
UC00000352,P00000352,2025-07-01,9054494,8387736,85,Verified
UC00000353,P00000353,2025-07-23,6270000,6073897,83,Verified
UC00000354,P00000354,2025-10-28,1554888,1468898,87,Verified
UC00000355,P00000355,2025-09-30,9289919,8620303,88,Verified
UC00000356,P00000356,2026-04-05,7109155,6942985,82,Verified
UC00000357,P00000357,2025-09-25,1997881,1866912,89,Under Review
UC00000358,P00000358,2025-11-13,3911859,3671108,90,Verified
UC00000359,P00000359,2026-01-06,9323769,8896416,84,Verified
UC00000360,P00000360,2026-01-15,6575241,6403298,93,Under Review
UC00000361,P00000361,2026-01-29,1378031,1301034,96,Verified
UC00000362,P00000362,2026-01-12,7051604,6645235,83,Verified
UC00000363,P00000363,2026-01-06,6038134,5612784,96,Verified
UC00000364,P00000364,2025-11-16,8559539,7930664,83,Verified
UC00000365,P00000365,2025-08-05,8557876,8106599,97,Verified
UC00000366,P00000366,2025-09-20,7435716,7255202,94,Under Review
UC00000367,P00000367,2025-12-17,5515719,5168792,91,Verified
UC00000368,P00000368,2026-02-22,7793254,7648132,84,Verified
UC00000369,P00000369,2025-10-27,5192133,5187409,84,Verified
UC00000370,P00000370,2025-06-29,2875697,2717453,91,Verified
UC00000371,P00000371,2026-02-25,7380000,7163948,86,Verified
UC00000372,P00000372,2025-09-18,4972379,4779193,84,Verified
UC00000373,P00000373,2026-04-16,5447487,5323999,83,Verified
UC00000374,P00000374,2026-01-08,3524510,1967210,70,Suspicious
UC00000375,P00000375,2025-08-28,8550000,8316084,90,Verified
UC00000376,P00000376,2025-12-23,3743741,3564035,81,Under Review
UC00000377,P00000377,2026-03-08,2911801,2240970,43,Suspicious
UC00000378,P00000378,2025-11-29,772673,720871,81,Verified
UC00000379,P00000379,2026-01-31,9290000,8935334,85,Verified
UC00000380,P00000380,2025-09-17,1427400,1326070,83,Verified
UC00000381,P00000381,2025-09-03,4677960,2092824,43,Suspicious
UC00000382,P00000382,2026-01-17,6500000,6249122,86,Verified
UC00000383,P00000383,2025-11-29,1584407,1541095,88,Verified
UC00000384,P00000384,2025-07-04,8127498,7857249,84,Verified
UC00000385,P00000385,2026-03-06,6020972,3490344,59,Suspicious
UC00000386,P00000386,2025-10-19,3088183,3031388,99,Verified
UC00000387,P00000387,2026-01-11,700000,668197,93,Verified
UC00000388,P00000388,2025-12-29,3741506,1795747,42,Suspicious
UC00000389,P00000389,2025-10-10,622014,589339,97,Under Review
UC00000390,P00000390,2025-05-10,2756228,2665119,95,Under Review
UC00000391,P00000391,2026-02-03,6395292,6067264,97,Under Review
UC00000392,P00000392,2025-12-01,5491586,5438841,89,Verified
UC00000393,P00000393,2025-12-23,2988427,2984391,92,Verified
UC00000394,P00000394,2025-09-30,3420000,3168848,93,Verified
UC00000395,P00000395,2026-04-17,8380697,7789359,98,Verified
UC00000396,P00000396,2026-03-08,1067250,1039072,94,Verified
UC00000397,P00000397,2026-01-14,6796110,6424350,87,Verified
UC00000398,P00000398,2026-04-08,4979050,2507980,55,Suspicious
UC00000399,P00000399,2025-09-12,3973170,3710663,97,Verified
UC00000400,P00000400,2025-11-23,2585104,2564655,87,Under Review
UC00000401,P00000401,2026-03-23,2679548,2674800,87,Under Review
UC00000402,P00000402,2026-02-21,4334397,4145654,86,Under Review
UC00000403,P00000403,2025-11-29,7000767,6835611,100,Verified
UC00000404,P00000404,2025-11-20,7741935,7494636,92,Verified
UC00000405,P00000405,2026-03-20,7525203,7433921,89,Verified
UC00000406,P00000406,2025-05-03,6101736,6001778,88,Under Review
UC00000407,P00000407,2026-01-23,5381340,5078820,82,Verified
UC00000408,P00000408,2026-05-09,4830000,4711485,97,Verified
UC00000409,P00000409,2025-11-20,3429221,3201814,80,Verified
UC00000410,P00000410,2025-08-26,1376740,1288408,89,Verified
UC00000411,P00000411,2026-01-17,5599205,5511448,100,Verified
UC00000412,P00000412,2026-04-12,6218035,6175130,89,Verified
UC00000413,P00000413,2025-10-26,7354699,7085029,92,Under Review
UC00000414,P00000414,2025-08-15,6341398,6154720,96,Verified
UC00000415,P00000415,2025-08-06,5723926,3766488,57,Suspicious
UC00000416,P00000416,2025-07-16,8910000,8604487,86,Verified
UC00000417,P00000417,2026-01-30,1349460,1279018,94,Verified
UC00000418,P00000418,2025-06-24,6396264,6143079,81,Verified
UC00000419,P00000419,2025-11-19,1536481,1422809,81,Verified
UC00000420,P00000420,2025-12-26,6060000,5979171,96,Under Review
UC00000421,P00000421,2025-09-24,3431253,3270771,97,Verified
UC00000422,P00000422,2025-09-29,7578017,7240269,95,Under Review
UC00000423,P00000423,2025-06-30,8703357,5808311,74,Suspicious
UC00000424,P00000424,2025-10-07,7467574,6952283,83,Verified
UC00000425,P00000425,2025-06-14,8240000,8219626,85,Verified
UC00000426,P00000426,2025-11-21,2308389,2287166,91,Under Review
UC00000427,P00000427,2025-12-30,5480000,5356123,82,Verified
UC00000428,P00000428,2026-05-02,4685941,4619066,97,Under Review
UC00000429,P00000429,2025-08-27,9106201,8880679,97,Verified
UC00000430,P00000430,2025-09-03,3856118,3690660,100,Verified
